C:\Users\user\AppData\Roaming\Python\Python313\site-packages\torchvision\models\_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
C:\Users\user\AppData\Roaming\Python\Python313\site-packages\torchvision\models\_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=VGG19_Weights.IMAGENET1K_V1`. You can also use `weights=VGG19_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
Using VGG19 in the optimization procedure.
L-BFGS | iteration: 000, total loss=314547324401483776.0000, content_loss=      0.0000, style loss=314547340800000000.0000, tv loss=43761576.0000
L-BFGS | iteration: 001, total loss=314547290041745408.0000, content_loss=    100.5324, style loss=314547283200000000.0000, tv loss=43761576.0000
L-BFGS | iteration: 002, total loss=314546946444361728.0000, content_loss=    137.7029, style loss=314546937600000000.0000, tv loss=43761584.0000
L-BFGS | iteration: 003, total loss=314545846932733952.0000, content_loss=    182.5355, style loss=314545862400000000.0000, tv loss=43761604.0000
L-BFGS | iteration: 004, total loss=314540280655118336.0000, content_loss=    238.1412, style loss=314540294400000000.0000, tv loss=43761732.0000
L-BFGS | iteration: 005, total loss=314509356890587136.0000, content_loss=    492.1712, style loss=314509344000000000.0000, tv loss=43762436.0000
L-BFGS | iteration: 006, total loss=314340238258339840.0000, content_loss=   4392.4265, style loss=314340249600000000.0000, tv loss=43766320.0000
L-BFGS | iteration: 007, total loss=313412834560049152.0000, content_loss= 115991.6878, style loss=313412851200000000.0000, tv loss=43787684.0000
L-BFGS | iteration: 008, total loss=308387310506868736.0000, content_loss=3130484.0088, style loss=308387308800000000.0000, tv loss=43905600.0000
L-BFGS | iteration: 009, total loss=283525668975673344.0000, content_loss=60257055.6641, style loss=283525670400000000.0000, tv loss=44605564.0000
L-BFGS | iteration: 010, total loss=146176188262383616.0000, content_loss=1376066894.5312, style loss=146176195200000000.0000, tv loss=55934812.0000
L-BFGS | iteration: 011, total loss=120079142338166784.0000, content_loss=2745486132.8125, style loss=120079142400000000.0000, tv loss=63180164.0000
