C:\Users\user\AppData\Roaming\Python\Python313\site-packages\torchvision\models\_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
C:\Users\user\AppData\Roaming\Python\Python313\site-packages\torchvision\models\_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=VGG19_Weights.IMAGENET1K_V1`. You can also use `weights=VGG19_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
Using VGG19 in the optimization procedure.
L-BFGS | iteration: 000, total loss=44219316832305152.0000, content_loss=      0.0000, style loss=44219318400000000.0000, tv loss=4232183.0000
L-BFGS | iteration: 001, total loss=44219265292697600.0000, content_loss=     42.8357, style loss=44219265600000000.0000, tv loss=4232183.0000
L-BFGS | iteration: 002, total loss=44219209458122752.0000, content_loss=     57.0136, style loss=44219208000000000.0000, tv loss=4232184.5000
L-BFGS | iteration: 003, total loss=44218767076491264.0000, content_loss=     69.3462, style loss=44218766400000000.0000, tv loss=4232190.0000
L-BFGS | iteration: 004, total loss=44216482153889792.0000, content_loss=    114.6809, style loss=44216481600000000.0000, tv loss=4232223.5000
L-BFGS | iteration: 005, total loss=44204284446769152.0000, content_loss=   1017.4708, style loss=44204284800000000.0000, tv loss=4232406.0000
L-BFGS | iteration: 006, total loss=44137995921522688.0000, content_loss=  26662.0994, style loss=44137996800000000.0000, tv loss=4233410.0000
L-BFGS | iteration: 007, total loss=43789351951269888.0000, content_loss= 713391.1133, style loss=43789353600000000.0000, tv loss=4238948.0000
L-BFGS | iteration: 008, total loss=42402219248582656.0000, content_loss=11008230.5908, style loss=42402220800000000.0000, tv loss=4286601.0000
L-BFGS | iteration: 009, total loss=38704522989666304.0000, content_loss=72169366.4551, style loss=38704524000000000.0000, tv loss=4679361.0000
L-BFGS | iteration: 010, total loss=25640445803495424.0000, content_loss=366523681.6406, style loss=25640445600000000.0000, tv loss=6965174.0000
L-BFGS | iteration: 011, total loss=1787840541380050944.0000, content_loss=4658623437.5000, style loss=1787840563200000000.0000, tv loss=24926624.0000
L-BFGS | iteration: 012, total loss=28150802648399872.0000, content_loss=926126074.2188, style loss=28150802400000000.0000, tv loss=10654298.0000
L-BFGS | iteration: 013, total loss=20518040173019136.0000, content_loss=629958984.3750, style loss=20518039200000000.0000, tv loss=8813608.0000
L-BFGS | iteration: 014, total loss=17208676603396096.0000, content_loss=709368994.1406, style loss=17208675600000000.0000, tv loss=9346974.0000
L-BFGS | iteration: 015, total loss=12883157057536000.0000, content_loss=876009667.9688, style loss=12883155600000000.0000, tv loss=9790171.0000
L-BFGS | iteration: 016, total loss=10070478538407936.0000, content_loss=879290722.6562, style loss=10070478000000000.0000, tv loss=9840266.0000
L-BFGS | iteration: 017, total loss=8626217401974784.0000, content_loss=1001920703.1250, style loss=8626216200000000.0000, tv loss=10330479.0000
L-BFGS | iteration: 018, total loss=7517611180949504.0000, content_loss=941438476.5625, style loss=7517610000000000.0000, tv loss=10135782.0000
L-BFGS | iteration: 019, total loss=6718030004355072.0000, content_loss=1027468164.0625, style loss=6718029000000000.0000, tv loss=10432033.0000
L-BFGS | iteration: 020, total loss=6033862115196928.0000, content_loss=1072727734.3750, style loss=6033861000000000.0000, tv loss=10605711.0000
L-BFGS | iteration: 021, total loss=5338705015341056.0000, content_loss=1085410937.5000, style loss=5338704000000000.0000, tv loss=10892870.0000
L-BFGS | iteration: 022, total loss=4766041993379840.0000, content_loss=1160045898.4375, style loss=4766040900000000.0000, tv loss=11201018.0000
L-BFGS | iteration: 023, total loss=4302044059926528.0000, content_loss=1159164160.1562, style loss=4302042900000000.0000, tv loss=11378234.0000
L-BFGS | iteration: 024, total loss=3921826711339008.0000, content_loss=1224502343.7500, style loss=3921825300000000.0000, tv loss=11810093.0000
L-BFGS | iteration: 025, total loss=3681970504597504.0000, content_loss=1165474414.0625, style loss=3681969300000000.0000, tv loss=11774354.0000
L-BFGS | iteration: 026, total loss=3454131347914752.0000, content_loss=1224222363.2812, style loss=3454130100000000.0000, tv loss=12037592.0000
L-BFGS | iteration: 027, total loss=3281200663756800.0000, content_loss=1253389843.7500, style loss=3281199300000000.0000, tv loss=12145673.0000
L-BFGS | iteration: 028, total loss=3083981134233600.0000, content_loss=1235992480.4688, style loss=3083979900000000.0000, tv loss=12379312.0000
L-BFGS | iteration: 029, total loss=2915973824774144.0000, content_loss=1273675488.2812, style loss=2915972400000000.0000, tv loss=12388559.0000
L-BFGS | iteration: 030, total loss=2799305064710144.0000, content_loss=1295028417.9688, style loss=2799303600000000.0000, tv loss=12565000.0000
L-BFGS | iteration: 031, total loss=2643906973925376.0000, content_loss=1289086914.0625, style loss=2643905700000000.0000, tv loss=12619076.0000
L-BFGS | iteration: 032, total loss=2532171252236288.0000, content_loss=1315538769.5312, style loss=2532169800000000.0000, tv loss=12808688.0000
L-BFGS | iteration: 033, total loss=2451146962632704.0000, content_loss=1279597070.3125, style loss=2451145500000000.0000, tv loss=12684312.0000
L-BFGS | iteration: 034, total loss=2372023464493056.0000, content_loss=1310721972.6562, style loss=2372022000000000.0000, tv loss=12725700.0000
L-BFGS | iteration: 035, total loss=2314178844950528.0000, content_loss=1338617089.8438, style loss=2314177500000000.0000, tv loss=13013226.0000
L-BFGS | iteration: 036, total loss=2225026463956992.0000, content_loss=1336280859.3750, style loss=2225025150000000.0000, tv loss=12914653.0000
L-BFGS | iteration: 037, total loss=2160454046580736.0000, content_loss=1333664941.4062, style loss=2160452700000000.0000, tv loss=12907210.0000
L-BFGS | iteration: 038, total loss=2062130836668416.0000, content_loss=1348033789.0625, style loss=2062129500000000.0000, tv loss=13016012.0000
L-BFGS | iteration: 039, total loss=1975220965474304.0000, content_loss=1359612988.2812, style loss=1975219650000000.0000, tv loss=12993220.0000
L-BFGS | iteration: 040, total loss=1932688441212928.0000, content_loss=1360129980.4688, style loss=1932687150000000.0000, tv loss=13094316.0000
L-BFGS | iteration: 041, total loss=1866740828995584.0000, content_loss=1371735351.5625, style loss=1866739500000000.0000, tv loss=13082249.0000
L-BFGS | iteration: 042, total loss=1813705364865024.0000, content_loss=1351875097.6562, style loss=1813704000000000.0000, tv loss=13129860.0000
L-BFGS | iteration: 043, total loss=1765714608259072.0000, content_loss=1376605078.1250, style loss=1765713300000000.0000, tv loss=13191484.0000
L-BFGS | iteration: 044, total loss=1710040960466944.0000, content_loss=1389203125.0000, style loss=1710039600000000.0000, tv loss=13204616.0000
L-BFGS | iteration: 045, total loss=1642696275918848.0000, content_loss=1395407421.8750, style loss=1642695000000000.0000, tv loss=13297369.0000
L-BFGS | iteration: 046, total loss=1599795592429568.0000, content_loss=1401539941.4062, style loss=1599794250000000.0000, tv loss=13178806.0000
L-BFGS | iteration: 047, total loss=1552843681038336.0000, content_loss=1421869042.9688, style loss=1552842150000000.0000, tv loss=13414700.0000
L-BFGS | iteration: 048, total loss=1523206527647744.0000, content_loss=1413475488.2812, style loss=1523205000000000.0000, tv loss=13363120.0000
L-BFGS | iteration: 049, total loss=1493570447998976.0000, content_loss=1386099707.0312, style loss=1493569050000000.0000, tv loss=13350995.0000
L-BFGS | iteration: 050, total loss=1458621628022784.0000, content_loss=1411153027.3438, style loss=1458620100000000.0000, tv loss=13389094.0000
L-BFGS | iteration: 051, total loss=1427468351176704.0000, content_loss=1424366015.6250, style loss=1427466900000000.0000, tv loss=13422876.0000
L-BFGS | iteration: 052, total loss=1383805445210112.0000, content_loss=1429913964.8438, style loss=1383804000000000.0000, tv loss=13571998.0000
L-BFGS | iteration: 053, total loss=1330890777034752.0000, content_loss=1436231640.6250, style loss=1330889250000000.0000, tv loss=13512098.0000
L-BFGS | iteration: 054, total loss=1302320251928576.0000, content_loss=1451797265.6250, style loss=1302318750000000.0000, tv loss=13583867.0000
L-BFGS | iteration: 055, total loss=1263184778362880.0000, content_loss=1445562304.6875, style loss=1263183300000000.0000, tv loss=13606025.0000
L-BFGS | iteration: 056, total loss=1218651336212480.0000, content_loss=1460803710.9375, style loss=1218649800000000.0000, tv loss=13658802.0000
L-BFGS | iteration: 057, total loss=1191328901758976.0000, content_loss=1435092578.1250, style loss=1191327375000000.0000, tv loss=13608754.0000
L-BFGS | iteration: 058, total loss=1153024370147328.0000, content_loss=1452528027.3438, style loss=1153022925000000.0000, tv loss=13585038.0000
L-BFGS | iteration: 059, total loss=1143443103416320.0000, content_loss=1472590136.7188, style loss=1143441600000000.0000, tv loss=13846903.0000
L-BFGS | iteration: 060, total loss=1111768659132416.0000, content_loss=1471104687.5000, style loss=1111767150000000.0000, tv loss=13764372.0000
L-BFGS | iteration: 061, total loss=1089427245891584.0000, content_loss=1469710058.5938, style loss=1089425775000000.0000, tv loss=13740599.0000
L-BFGS | iteration: 062, total loss=1050887296385024.0000, content_loss=1465996679.6875, style loss=1050885825000000.0000, tv loss=13828251.0000
L-BFGS | iteration: 063, total loss=1017312865943552.0000, content_loss=1485634179.6875, style loss=1017311400000000.0000, tv loss=13820186.0000
L-BFGS | iteration: 064, total loss=997238591455232.0000, content_loss=1465015820.3125, style loss=997237125000000.0000, tv loss=13827858.0000
L-BFGS | iteration: 065, total loss=978862640988160.0000, content_loss=1472301464.8438, style loss=978861150000000.0000, tv loss=13818291.0000
L-BFGS | iteration: 066, total loss=970526981881856.0000, content_loss=1485358300.7812, style loss=970525500000000.0000, tv loss=13944144.0000
L-BFGS | iteration: 067, total loss=959049285763072.0000, content_loss=1481667285.1562, style loss=959047800000000.0000, tv loss=13886312.0000
L-BFGS | iteration: 068, total loss=940063718375424.0000, content_loss=1488669433.5938, style loss=940062225000000.0000, tv loss=13915314.0000
L-BFGS | iteration: 069, total loss=912476203909120.0000, content_loss=1484052246.0938, style loss=912474750000000.0000, tv loss=13966844.0000
L-BFGS | iteration: 070, total loss=880351996018688.0000, content_loss=1492096777.3438, style loss=880350525000000.0000, tv loss=13993697.0000
L-BFGS | iteration: 071, total loss=862719074893824.0000, content_loss=1477853222.6562, style loss=862717575000000.0000, tv loss=14089327.0000
L-BFGS | iteration: 072, total loss=841202765135872.0000, content_loss=1494107714.8438, style loss=841201275000000.0000, tv loss=13998440.0000
L-BFGS | iteration: 073, total loss=831671628726272.0000, content_loss=1505024902.3438, style loss=831670125000000.0000, tv loss=14062710.0000
L-BFGS | iteration: 074, total loss=816435702005760.0000, content_loss=1502650292.9688, style loss=816434250000000.0000, tv loss=14045402.0000
L-BFGS | iteration: 075, total loss=799109803933696.0000, content_loss=1496776269.5312, style loss=799108350000000.0000, tv loss=14043377.0000
L-BFGS | iteration: 076, total loss=780026794475520.0000, content_loss=1507768750.0000, style loss=780025350000000.0000, tv loss=14160742.0000
L-BFGS | iteration: 077, total loss=762542183940096.0000, content_loss=1498683496.0938, style loss=762540675000000.0000, tv loss=14075457.0000
L-BFGS | iteration: 078, total loss=740210098831360.0000, content_loss=1515693554.6875, style loss=740208525000000.0000, tv loss=14169649.0000
L-BFGS | iteration: 079, total loss=729457648205824.0000, content_loss=1509511718.7500, style loss=729456150000000.0000, tv loss=14250736.0000
L-BFGS | iteration: 080, total loss=712245231222784.0000, content_loss=1504778710.9375, style loss=712243725000000.0000, tv loss=14206000.0000
L-BFGS | iteration: 081, total loss=695409294966784.0000, content_loss=1515119921.8750, style loss=695407725000000.0000, tv loss=14215532.0000
L-BFGS | iteration: 082, total loss=677799794835456.0000, content_loss=1513646972.6562, style loss=677798250000000.0000, tv loss=14267338.0000
L-BFGS | iteration: 083, total loss=657132277989376.0000, content_loss=1530179394.5312, style loss=657130725000000.0000, tv loss=14301514.0000
L-BFGS | iteration: 084, total loss=641884942761984.0000, content_loss=1517205859.3750, style loss=641883375000000.0000, tv loss=14289621.0000
L-BFGS | iteration: 085, total loss=629408196984832.0000, content_loss=1526836816.4062, style loss=629406675000000.0000, tv loss=14351530.0000
L-BFGS | iteration: 086, total loss=619654594691072.0000, content_loss=1538883300.7812, style loss=619653075000000.0000, tv loss=14323786.0000
L-BFGS | iteration: 087, total loss=618343623032832.0000, content_loss=1526632617.1875, style loss=618342112500000.0000, tv loss=14383194.0000
L-BFGS | iteration: 088, total loss=611934994956288.0000, content_loss=1532399218.7500, style loss=611933475000000.0000, tv loss=14353030.0000
L-BFGS | iteration: 089, total loss=601348437442560.0000, content_loss=1526558398.4375, style loss=601346887500000.0000, tv loss=14376757.0000
L-BFGS | iteration: 090, total loss=588531919486976.0000, content_loss=1530320507.8125, style loss=588530400000000.0000, tv loss=14406334.0000
L-BFGS | iteration: 091, total loss=571713901297664.0000, content_loss=1535903125.0000, style loss=571712362500000.0000, tv loss=14450041.0000
L-BFGS | iteration: 092, total loss=555828595654656.0000, content_loss=1543009960.9375, style loss=555827062500000.0000, tv loss=14426856.0000
L-BFGS | iteration: 093, total loss=545891417063424.0000, content_loss=1545983496.0938, style loss=545889862500000.0000, tv loss=14485942.0000
L-BFGS | iteration: 094, total loss=535838811226112.0000, content_loss=1545710742.1875, style loss=535837275000000.0000, tv loss=14487438.0000
L-BFGS | iteration: 095, total loss=522497501954048.0000, content_loss=1545812402.3438, style loss=522495975000000.0000, tv loss=14505373.0000
L-BFGS | iteration: 096, total loss=506833420681216.0000, content_loss=1542254980.4688, style loss=506831887500000.0000, tv loss=14521370.0000
L-BFGS | iteration: 097, total loss=496394603331584.0000, content_loss=1564497753.9062, style loss=496393012500000.0000, tv loss=14572320.0000
L-BFGS | iteration: 098, total loss=487587605118976.0000, content_loss=1555001074.2188, style loss=487586062500000.0000, tv loss=14564584.0000
L-BFGS | iteration: 099, total loss=481495965761536.0000, content_loss=1552368457.0312, style loss=481494412500000.0000, tv loss=14581382.0000
L-BFGS | iteration: 100, total loss=471724009193472.0000, content_loss=1552244921.8750, style loss=471722475000000.0000, tv loss=14573242.0000
L-BFGS | iteration: 101, total loss=464189596368896.0000, content_loss=1565897265.6250, style loss=464188012500000.0000, tv loss=14693108.0000
L-BFGS | iteration: 102, total loss=455340218908672.0000, content_loss=1566116015.6250, style loss=455338650000000.0000, tv loss=14611792.0000
L-BFGS | iteration: 103, total loss=448487665696768.0000, content_loss=1556243164.0625, style loss=448486125000000.0000, tv loss=14624860.0000
L-BFGS | iteration: 104, total loss=441494116761600.0000, content_loss=1557504394.5312, style loss=441492562500000.0000, tv loss=14671314.0000
L-BFGS | iteration: 105, total loss=431444027506688.0000, content_loss=1563277832.0312, style loss=431442450000000.0000, tv loss=14705526.0000
L-BFGS | iteration: 106, total loss=419874157363200.0000, content_loss=1562349218.7500, style loss=419872575000000.0000, tv loss=14725526.0000
L-BFGS | iteration: 107, total loss=410544783753216.0000, content_loss=1568838476.5625, style loss=410543212500000.0000, tv loss=14729364.0000
L-BFGS | iteration: 108, total loss=402091247927296.0000, content_loss=1567995019.5312, style loss=402089662500000.0000, tv loss=14733930.0000
L-BFGS | iteration: 109, total loss=397182872059904.0000, content_loss=1564355761.7188, style loss=397181287500000.0000, tv loss=14784622.0000
L-BFGS | iteration: 110, total loss=387719884701696.0000, content_loss=1569756835.9375, style loss=387718312500000.0000, tv loss=14773988.0000
L-BFGS | iteration: 111, total loss=381126908575744.0000, content_loss=1568685253.9062, style loss=381125325000000.0000, tv loss=14789420.0000
L-BFGS | iteration: 112, total loss=375475704692736.0000, content_loss=1573292578.1250, style loss=375474112500000.0000, tv loss=14826389.0000
L-BFGS | iteration: 113, total loss=367931259092992.0000, content_loss=1573483496.0938, style loss=367929675000000.0000, tv loss=14839974.0000
L-BFGS | iteration: 114, total loss=361709394984960.0000, content_loss=1576345996.0938, style loss=361707825000000.0000, tv loss=14850636.0000
L-BFGS | iteration: 115, total loss=359905844264960.0000, content_loss=1569181835.9375, style loss=359904262500000.0000, tv loss=14908189.0000
L-BFGS | iteration: 116, total loss=357453954809856.0000, content_loss=1572624804.6875, style loss=357452362500000.0000, tv loss=14882806.0000
L-BFGS | iteration: 117, total loss=349621914173440.0000, content_loss=1578792675.7812, style loss=349620337500000.0000, tv loss=14890594.0000
L-BFGS | iteration: 118, total loss=341978248118272.0000, content_loss=1583579492.1875, style loss=341976675000000.0000, tv loss=14885710.0000
L-BFGS | iteration: 119, total loss=335871576375296.0000, content_loss=1586606054.6875, style loss=335869987500000.0000, tv loss=14922350.0000
L-BFGS | iteration: 120, total loss=329083816771584.0000, content_loss=1589726562.5000, style loss=329082225000000.0000, tv loss=14937976.0000
L-BFGS | iteration: 121, total loss=321929776988160.0000, content_loss=1589741113.2812, style loss=321928200000000.0000, tv loss=14957724.0000
L-BFGS | iteration: 122, total loss=326753360805888.0000, content_loss=1591569042.9688, style loss=326751787500000.0000, tv loss=15042365.0000
L-BFGS | iteration: 123, total loss=319380747452416.0000, content_loss=1591242480.4688, style loss=319379175000000.0000, tv loss=14989076.0000
L-BFGS | iteration: 124, total loss=314719097323520.0000, content_loss=1593752441.4062, style loss=314717512500000.0000, tv loss=14974210.0000
L-BFGS | iteration: 125, total loss=314815734087680.0000, content_loss=1574846484.3750, style loss=314814150000000.0000, tv loss=14992058.0000
L-BFGS | iteration: 126, total loss=310194819039232.0000, content_loss=1584850000.0000, style loss=310193231250000.0000, tv loss=14980646.0000
L-BFGS | iteration: 127, total loss=305820629729280.0000, content_loss=1588015136.7188, style loss=305819043750000.0000, tv loss=14997718.0000
L-BFGS | iteration: 128, total loss=301237798961152.0000, content_loss=1593120703.1250, style loss=301236206250000.0000, tv loss=15016388.0000
L-BFGS | iteration: 129, total loss=295174680870912.0000, content_loss=1594412988.2812, style loss=295173056250000.0000, tv loss=15021586.0000
L-BFGS | iteration: 130, total loss=290613425602560.0000, content_loss=1600584765.6250, style loss=290611800000000.0000, tv loss=15108325.0000
L-BFGS | iteration: 131, total loss=283719499776000.0000, content_loss=1602838964.8438, style loss=283717893750000.0000, tv loss=15059702.0000
L-BFGS | iteration: 132, total loss=281250547892224.0000, content_loss=1592555273.4375, style loss=281248931250000.0000, tv loss=15080977.0000
L-BFGS | iteration: 133, total loss=278573860519936.0000, content_loss=1597005273.4375, style loss=278572256250000.0000, tv loss=15100930.0000
L-BFGS | iteration: 134, total loss=275314953420800.0000, content_loss=1598239648.4375, style loss=275313337500000.0000, tv loss=15107685.0000
L-BFGS | iteration: 135, total loss=270620101181440.0000, content_loss=1597193457.0312, style loss=270618487500000.0000, tv loss=15126128.0000
L-BFGS | iteration: 136, total loss=264082808635392.0000, content_loss=1600888281.2500, style loss=264081206250000.0000, tv loss=15130962.0000
L-BFGS | iteration: 137, total loss=258552635588608.0000, content_loss=1602624902.3438, style loss=258551006250000.0000, tv loss=15203398.0000
L-BFGS | iteration: 138, total loss=253586361548800.0000, content_loss=1607305078.1250, style loss=253584731250000.0000, tv loss=15176594.0000
L-BFGS | iteration: 139, total loss=251905670381568.0000, content_loss=1604180468.7500, style loss=251904037500000.0000, tv loss=15186426.0000
L-BFGS | iteration: 140, total loss=248817656004608.0000, content_loss=1602321484.3750, style loss=248816025000000.0000, tv loss=15172237.0000
L-BFGS | iteration: 141, total loss=246177308082176.0000, content_loss=1611597265.6250, style loss=246175687500000.0000, tv loss=15239072.0000
