C:\Users\user\AppData\Roaming\Python\Python313\site-packages\torchvision\models\_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
C:\Users\user\AppData\Roaming\Python\Python313\site-packages\torchvision\models\_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=VGG19_Weights.IMAGENET1K_V1`. You can also use `weights=VGG19_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
Using VGG19 in the optimization procedure.
L-BFGS | iteration: 000, total loss=323282531967303680.0000, content_loss=      0.0000, style loss=323282534400000000.0000, tv loss=19590112.0000
L-BFGS | iteration: 001, total loss=323282497607565312.0000, content_loss=     83.3719, style loss=323282496000000000.0000, tv loss=19590112.0000
L-BFGS | iteration: 002, total loss=323282188369920000.0000, content_loss=    120.3853, style loss=323282188800000000.0000, tv loss=19590116.0000
L-BFGS | iteration: 003, total loss=323280161145356288.0000, content_loss=    160.1247, style loss=323280153600000000.0000, tv loss=19590144.0000
L-BFGS | iteration: 004, total loss=323270299900444672.0000, content_loss=    240.1498, style loss=323270284800000000.0000, tv loss=19590286.0000
L-BFGS | iteration: 005, total loss=323215358678794240.0000, content_loss=    818.4986, style loss=323215372800000000.0000, tv loss=19591064.0000
L-BFGS | iteration: 006, total loss=322915776119963648.0000, content_loss=  14254.3912, style loss=322915776000000000.0000, tv loss=19595362.0000
L-BFGS | iteration: 007, total loss=321278568946466816.0000, content_loss= 397067.1654, style loss=321278572800000000.0000, tv loss=19619000.0000
L-BFGS | iteration: 008, total loss=312637885020897280.0000, content_loss=9441888.4277, style loss=312637881600000000.0000, tv loss=19752182.0000
L-BFGS | iteration: 009, total loss=272477003045666816.0000, content_loss=160498120.1172, style loss=272477011200000000.0000, tv loss=20635984.0000
L-BFGS | iteration: 010, total loss=250660974363672576.0000, content_loss=2082751171.8750, style loss=250660972800000000.0000, tv loss=29270368.0000
L-BFGS | iteration: 011, total loss=177197259572641792.0000, content_loss=1232630078.1250, style loss=177197260800000000.0000, tv loss=25268748.0000
L-BFGS | iteration: 012, total loss=138413447191724032.0000, content_loss=2012781445.3125, style loss=138413443200000000.0000, tv loss=28258984.0000
L-BFGS | iteration: 013, total loss=103999927243243520.0000, content_loss=2219114062.5000, style loss=103999929600000000.0000, tv loss=29709712.0000
L-BFGS | iteration: 014, total loss=84124905951461376.0000, content_loss=2421200000.0000, style loss=84124905600000000.0000, tv loss=30842620.0000
L-BFGS | iteration: 015, total loss=70496193037205504.0000, content_loss=2717748632.8125, style loss=70496188800000000.0000, tv loss=32393126.0000
L-BFGS | iteration: 016, total loss=60244050267078656.0000, content_loss=2797020898.4375, style loss=60244046400000000.0000, tv loss=33191890.0000
L-BFGS | iteration: 017, total loss=52053066597269504.0000, content_loss=2809840429.6875, style loss=52053062400000000.0000, tv loss=33500598.0000
L-BFGS | iteration: 018, total loss=45547587008200704.0000, content_loss=2866050195.3125, style loss=45547584000000000.0000, tv loss=33906768.0000
L-BFGS | iteration: 019, total loss=39698073479282688.0000, content_loss=2936957031.2500, style loss=39698071200000000.0000, tv loss=34327920.0000
L-BFGS | iteration: 020, total loss=34324755859374080.0000, content_loss=2979330664.0625, style loss=34324754400000000.0000, tv loss=34625632.0000
L-BFGS | iteration: 021, total loss=29931386567655424.0000, content_loss=3002681640.6250, style loss=29931384000000000.0000, tv loss=34870232.0000
