C:\Users\user\AppData\Roaming\Python\Python313\site-packages\torchvision\models\_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
C:\Users\user\AppData\Roaming\Python\Python313\site-packages\torchvision\models\_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=VGG19_Weights.IMAGENET1K_V1`. You can also use `weights=VGG19_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
Using VGG19 in the optimization procedure.
L-BFGS | iteration: 000, total loss=37718982614056960.0000, content_loss=      0.0000, style loss=37718980800000000.0000, tv loss=4232183.0000
L-BFGS | iteration: 001, total loss=37718982614056960.0000, content_loss=     42.3467, style loss=37718980800000000.0000, tv loss=4232183.0000
L-BFGS | iteration: 002, total loss=37718931074449408.0000, content_loss=     52.2376, style loss=37718930400000000.0000, tv loss=4232183.5000
L-BFGS | iteration: 003, total loss=37718424268308480.0000, content_loss=     66.3658, style loss=37718426400000000.0000, tv loss=4232186.0000
L-BFGS | iteration: 004, total loss=37715645424467968.0000, content_loss=    143.4898, style loss=37715647200000000.0000, tv loss=4232198.0000
L-BFGS | iteration: 005, total loss=37700754772852736.0000, content_loss=   1758.2592, style loss=37700755200000000.0000, tv loss=4232266.0000
L-BFGS | iteration: 006, total loss=37619635725533184.0000, content_loss=  48961.4367, style loss=37619635200000000.0000, tv loss=4232640.5000
L-BFGS | iteration: 007, total loss=37204703230033920.0000, content_loss=1324765.4915, style loss=37204704000000000.0000, tv loss=4234724.0000
L-BFGS | iteration: 008, total loss=34727486352785408.0000, content_loss=74568414.3066, style loss=34727486400000000.0000, tv loss=4446517.0000
L-BFGS | iteration: 009, total loss=32002144919879680.0000, content_loss=209241674.8047, style loss=32002144800000000.0000, tv loss=4774768.0000
L-BFGS | iteration: 010, total loss=27792333940457472.0000, content_loss=474042187.5000, style loss=27792333600000000.0000, tv loss=5687812.5000
L-BFGS | iteration: 011, total loss=22618985702883328.0000, content_loss=1027818750.0000, style loss=22618984800000000.0000, tv loss=8087972.5000
L-BFGS | iteration: 012, total loss=20131873220984832.0000, content_loss=1076024804.6875, style loss=20131872000000000.0000, tv loss=9051904.0000
L-BFGS | iteration: 013, total loss=17241449351348224.0000, content_loss=1046259082.0312, style loss=17241448800000000.0000, tv loss=8751821.0000
L-BFGS | iteration: 014, total loss=14978736025763840.0000, content_loss=1301663769.5312, style loss=14978734800000000.0000, tv loss=9278408.0000
L-BFGS | iteration: 015, total loss=13230420195803136.0000, content_loss=1552244140.6250, style loss=13230418800000000.0000, tv loss=10056150.0000
L-BFGS | iteration: 016, total loss=11732368888954880.0000, content_loss=1523977148.4375, style loss=11732367600000000.0000, tv loss=10471890.0000
L-BFGS | iteration: 017, total loss=10423343387770880.0000, content_loss=1629764648.4375, style loss=10423341600000000.0000, tv loss=10967076.0000
L-BFGS | iteration: 018, total loss=9261499973369856.0000, content_loss=1659837500.0000, style loss=9261497400000000.0000, tv loss=11274782.0000
L-BFGS | iteration: 019, total loss=8280327579500544.0000, content_loss=1727439648.4375, style loss=8280325800000000.0000, tv loss=11663871.0000
L-BFGS | iteration: 020, total loss=7461796470325248.0000, content_loss=1737254101.5625, style loss=7461795000000000.0000, tv loss=11932504.0000
L-BFGS | iteration: 021, total loss=6764025345998848.0000, content_loss=1792063671.8750, style loss=6764023800000000.0000, tv loss=12203729.0000
L-BFGS | iteration: 022, total loss=6153636941922304.0000, content_loss=1768680664.0625, style loss=6153635400000000.0000, tv loss=12341396.0000
L-BFGS | iteration: 023, total loss=5640906430480384.0000, content_loss=1875701171.8750, style loss=5640904800000000.0000, tv loss=12690312.0000
L-BFGS | iteration: 024, total loss=5219179833589760.0000, content_loss=1787028710.9375, style loss=5219178000000000.0000, tv loss=12725756.0000
L-BFGS | iteration: 025, total loss=4829237068431360.0000, content_loss=1916720898.4375, style loss=4829235000000000.0000, tv loss=13056610.0000
L-BFGS | iteration: 026, total loss=4503236702633984.0000, content_loss=1845780664.0625, style loss=4503234900000000.0000, tv loss=13043692.0000
L-BFGS | iteration: 027, total loss=4188633032556544.0000, content_loss=1900014843.7500, style loss=4188631200000000.0000, tv loss=13232872.0000
L-BFGS | iteration: 028, total loss=3917190025707520.0000, content_loss=1901147656.2500, style loss=3917188200000000.0000, tv loss=13354573.0000
L-BFGS | iteration: 029, total loss=3665708416237568.0000, content_loss=1922285742.1875, style loss=3665706600000000.0000, tv loss=13485356.0000
L-BFGS | iteration: 030, total loss=3435476425900032.0000, content_loss=1928960937.5000, style loss=3435474600000000.0000, tv loss=13571158.0000
L-BFGS | iteration: 031, total loss=3228617110716416.0000, content_loss=1949213671.8750, style loss=3228615300000000.0000, tv loss=13668933.0000
L-BFGS | iteration: 032, total loss=3042277001789440.0000, content_loss=1946028515.6250, style loss=3042275100000000.0000, tv loss=13710858.0000
L-BFGS | iteration: 033, total loss=2872766722211840.0000, content_loss=1967070117.1875, style loss=2872764900000000.0000, tv loss=13807986.0000
L-BFGS | iteration: 034, total loss=2722137118867456.0000, content_loss=1956688085.9375, style loss=2722135200000000.0000, tv loss=13841054.0000
L-BFGS | iteration: 035, total loss=2580906246144000.0000, content_loss=1978110351.5625, style loss=2580904500000000.0000, tv loss=13925132.0000
L-BFGS | iteration: 036, total loss=2456206702542848.0000, content_loss=1952446484.3750, style loss=2456204850000000.0000, tv loss=13911722.0000
L-BFGS | iteration: 037, total loss=2339417146523648.0000, content_loss=1994309960.9375, style loss=2339415150000000.0000, tv loss=14052386.0000
L-BFGS | iteration: 038, total loss=2237085121511424.0000, content_loss=1946484375.0000, style loss=2237083050000000.0000, tv loss=13982151.0000
L-BFGS | iteration: 039, total loss=2137386045669376.0000, content_loss=2003120507.8125, style loss=2137384050000000.0000, tv loss=14143600.0000
L-BFGS | iteration: 040, total loss=2047079660650496.0000, content_loss=1977882617.1875, style loss=2047077600000000.0000, tv loss=14089851.0000
L-BFGS | iteration: 041, total loss=1956201373892608.0000, content_loss=1990522851.5625, style loss=1956199350000000.0000, tv loss=14180956.0000
L-BFGS | iteration: 042, total loss=1870952447082496.0000, content_loss=1998142773.4375, style loss=1870950450000000.0000, tv loss=14181534.0000
L-BFGS | iteration: 043, total loss=1791816600911872.0000, content_loss=2006285546.8750, style loss=1791814650000000.0000, tv loss=14257448.0000
L-BFGS | iteration: 044, total loss=1716296446115840.0000, content_loss=2002642578.1250, style loss=1716294450000000.0000, tv loss=14250811.0000
L-BFGS | iteration: 045, total loss=1646561209614336.0000, content_loss=2015286132.8125, style loss=1646559150000000.0000, tv loss=14323044.0000
L-BFGS | iteration: 046, total loss=1581397965799424.0000, content_loss=2008261328.1250, style loss=1581396000000000.0000, tv loss=14323220.0000
L-BFGS | iteration: 047, total loss=1518132963311616.0000, content_loss=2031837890.6250, style loss=1518130950000000.0000, tv loss=14404199.0000
L-BFGS | iteration: 048, total loss=1460521211527168.0000, content_loss=2010901757.8125, style loss=1460519250000000.0000, tv loss=14364604.0000
L-BFGS | iteration: 049, total loss=1407104569049088.0000, content_loss=2049644335.9375, style loss=1407102600000000.0000, tv loss=14482897.0000
L-BFGS | iteration: 050, total loss=1357652449820672.0000, content_loss=2024607812.5000, style loss=1357650450000000.0000, tv loss=14420146.0000
L-BFGS | iteration: 051, total loss=1307494211125248.0000, content_loss=2044951367.1875, style loss=1307492250000000.0000, tv loss=14513991.0000
L-BFGS | iteration: 052, total loss=1258955040882688.0000, content_loss=2046328320.3125, style loss=1258953000000000.0000, tv loss=14476786.0000
L-BFGS | iteration: 053, total loss=1213583006367744.0000, content_loss=2051434570.3125, style loss=1213581000000000.0000, tv loss=14583831.0000
L-BFGS | iteration: 054, total loss=1167631553921024.0000, content_loss=2061724218.7500, style loss=1167629550000000.0000, tv loss=14538654.0000
L-BFGS | iteration: 055, total loss=1125768910340096.0000, content_loss=2060014843.7500, style loss=1125766800000000.0000, tv loss=14624108.0000
L-BFGS | iteration: 056, total loss=1084827537244160.0000, content_loss=2066965820.3125, style loss=1084825425000000.0000, tv loss=14585761.0000
L-BFGS | iteration: 057, total loss=1046764463325184.0000, content_loss=2071382031.2500, style loss=1046762400000000.0000, tv loss=14641712.0000
