C:\Users\user\AppData\Roaming\Python\Python313\site-packages\torchvision\models\_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
C:\Users\user\AppData\Roaming\Python\Python313\site-packages\torchvision\models\_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=VGG19_Weights.IMAGENET1K_V1`. You can also use `weights=VGG19_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
Using VGG19 in the optimization procedure.
L-BFGS | iteration: 000, total loss=36776915897417728.0000, content_loss=      0.0000, style loss=36776916000000000.0000, tv loss=3043441.0000
L-BFGS | iteration: 001, total loss=36776903012515840.0000, content_loss=     27.7871, style loss=36776901600000000.0000, tv loss=3043441.5000
L-BFGS | iteration: 002, total loss=36776838588006400.0000, content_loss=     34.8842, style loss=36776839200000000.0000, tv loss=3043445.0000
L-BFGS | iteration: 003, total loss=36776396206374912.0000, content_loss=     47.8533, style loss=36776397600000000.0000, tv loss=3043462.0000
L-BFGS | iteration: 004, total loss=36773939485081600.0000, content_loss=    141.5108, style loss=36773940000000000.0000, tv loss=3043557.0000
L-BFGS | iteration: 005, total loss=36760466172674048.0000, content_loss=   2201.8170, style loss=36760466400000000.0000, tv loss=3044079.5000
L-BFGS | iteration: 006, total loss=36689788190851072.0000, content_loss=  59781.4739, style loss=36689786400000000.0000, tv loss=3046954.0000
L-BFGS | iteration: 007, total loss=35908248024383488.0000, content_loss=10223461.1511, style loss=35908248000000000.0000, tv loss=3109963.2500
L-BFGS | iteration: 008, total loss=35050059871551488.0000, content_loss=40300173.9502, style loss=35050060800000000.0000, tv loss=3206246.5000
L-BFGS | iteration: 009, total loss=33810654716493824.0000, content_loss=110821362.3047, style loss=33810655200000000.0000, tv loss=3439795.5000
L-BFGS | iteration: 010, total loss=31842170273005568.0000, content_loss=247893066.4062, style loss=31842170400000000.0000, tv loss=3970733.2500
L-BFGS | iteration: 011, total loss=27937486655193088.0000, content_loss=577687792.9688, style loss=27937485600000000.0000, tv loss=5407021.0000
L-BFGS | iteration: 012, total loss=28902372533075968.0000, content_loss=1839711328.1250, style loss=28902369600000000.0000, tv loss=10001772.0000
L-BFGS | iteration: 013, total loss=24629895833321472.0000, content_loss=1161800585.9375, style loss=24629894400000000.0000, tv loss=7718911.0000
L-BFGS | iteration: 014, total loss=22805213337354240.0000, content_loss=1276048632.8125, style loss=22805210400000000.0000, tv loss=8928038.0000
L-BFGS | iteration: 015, total loss=19749835880005632.0000, content_loss=1229973339.8438, style loss=19749834000000000.0000, tv loss=8665303.0000
L-BFGS | iteration: 016, total loss=17232515819372544.0000, content_loss=1493947265.6250, style loss=17232514800000000.0000, tv loss=9107902.0000
