C:\Users\user\AppData\Roaming\Python\Python313\site-packages\torchvision\models\_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
C:\Users\user\AppData\Roaming\Python\Python313\site-packages\torchvision\models\_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=VGG19_Weights.IMAGENET1K_V1`. You can also use `weights=VGG19_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
Using VGG19 in the optimization procedure.
L-BFGS | iteration: 000, total loss=452989719672782848.0000, content_loss=      0.0000, style loss=452989708800000000.0000, tv loss=3043441.0000
L-BFGS | iteration: 001, total loss=452989616593567744.0000, content_loss=     26.9104, style loss=452989632000000000.0000, tv loss=3043442.2500
L-BFGS | iteration: 002, total loss=452989479154614272.0000, content_loss=     35.3336, style loss=452989478400000000.0000, tv loss=3043448.5000
L-BFGS | iteration: 003, total loss=452988173484556288.0000, content_loss=     46.2251, style loss=452988172800000000.0000, tv loss=3043481.0000
L-BFGS | iteration: 004, total loss=452981404616097792.0000, content_loss=     96.0937, style loss=452981414400000000.0000, tv loss=3043661.5000
L-BFGS | iteration: 005, total loss=452943505824677888.0000, content_loss=   1037.0191, style loss=452943513600000000.0000, tv loss=3044655.5000
L-BFGS | iteration: 006, total loss=452737794071068672.0000, content_loss=  27907.1420, style loss=452737804800000000.0000, tv loss=3050126.0000
L-BFGS | iteration: 007, total loss=451676730990526464.0000, content_loss= 784488.7257, style loss=451676736000000000.0000, tv loss=3080239.5000
L-BFGS | iteration: 008, total loss=438418751063326720.0000, content_loss=79982098.3887, style loss=438418752000000000.0000, tv loss=3707657.5000
L-BFGS | iteration: 009, total loss=384690737414930432.0000, content_loss=387108154.2969, style loss=384690739200000000.0000, tv loss=6991494.5000
L-BFGS | iteration: 010, total loss=195781376904003584.0000, content_loss=2867671289.0625, style loss=195781382400000000.0000, tv loss=23727206.0000
L-BFGS | iteration: 011, total loss=135891906251980800.0000, content_loss=3500950390.6250, style loss=135891907200000000.0000, tv loss=30250702.0000
L-BFGS | iteration: 012, total loss=154492636516843520.0000, content_loss=1723348046.8750, style loss=154492636800000000.0000, tv loss=23363556.0000
L-BFGS | iteration: 013, total loss=103548801058340864.0000, content_loss=2674583593.7500, style loss=103548796800000000.0000, tv loss=27618916.0000
L-BFGS | iteration: 014, total loss=82681221414387712.0000, content_loss=3045916601.5625, style loss=82681219200000000.0000, tv loss=29467060.0000
L-BFGS | iteration: 015, total loss=70054962456952832.0000, content_loss=3713148046.8750, style loss=70054958400000000.0000, tv loss=32272056.0000
L-BFGS | iteration: 016, total loss=56914166417457152.0000, content_loss=3594317578.1250, style loss=56914161600000000.0000, tv loss=32201860.0000
L-BFGS | iteration: 017, total loss=48687336950595584.0000, content_loss=3417627343.7500, style loss=48687331200000000.0000, tv loss=31839184.0000
L-BFGS | iteration: 018, total loss=42442415847505920.0000, content_loss=3442285937.5000, style loss=42442411200000000.0000, tv loss=32249080.0000
L-BFGS | iteration: 019, total loss=36658460699394048.0000, content_loss=3585056640.6250, style loss=36658456800000000.0000, tv loss=33189264.0000
L-BFGS | iteration: 020, total loss=32178434000027648.0000, content_loss=3726681640.6250, style loss=32178429600000000.0000, tv loss=34043360.0000
L-BFGS | iteration: 021, total loss=28014018677440512.0000, content_loss=3725991796.8750, style loss=28014014400000000.0000, tv loss=34168552.0000
L-BFGS | iteration: 022, total loss=24396530932776960.0000, content_loss=3655666406.2500, style loss=24396525600000000.0000, tv loss=34000196.0000
L-BFGS | iteration: 023, total loss=21406299539374080.0000, content_loss=3609836718.7500, style loss=21406296000000000.0000, tv loss=34006824.0000
L-BFGS | iteration: 024, total loss=18827770826063872.0000, content_loss=3631396484.3750, style loss=18827766000000000.0000, tv loss=34349788.0000
L-BFGS | iteration: 025, total loss=16674915247718400.0000, content_loss=3654166406.2500, style loss=16674912000000000.0000, tv loss=34727764.0000
L-BFGS | iteration: 026, total loss=14840002139652096.0000, content_loss=3638630859.3750, style loss=14839999200000000.0000, tv loss=34936304.0000
L-BFGS | iteration: 027, total loss=13207945705684992.0000, content_loss=3608530859.3750, style loss=13207942800000000.0000, tv loss=35071736.0000
L-BFGS | iteration: 028, total loss=11671179563630592.0000, content_loss=3606276562.5000, style loss=11671176000000000.0000, tv loss=35350144.0000
L-BFGS | iteration: 029, total loss=10175216684630016.0000, content_loss=3585920312.5000, style loss=10175214000000000.0000, tv loss=35562784.0000
L-BFGS | iteration: 030, total loss=8869033914925056.0000, content_loss=3610549218.7500, style loss=8869030200000000.0000, tv loss=35763688.0000
L-BFGS | iteration: 031, total loss=7894203040268288.0000, content_loss=3581970703.1250, style loss=7894199400000000.0000, tv loss=35687528.0000
L-BFGS | iteration: 032, total loss=7395995423866880.0000, content_loss=3837752343.7500, style loss=7395991800000000.0000, tv loss=36596152.0000
L-BFGS | iteration: 033, total loss=6466893602881536.0000, content_loss=3700907031.2500, style loss=6466890000000000.0000, tv loss=36206092.0000
L-BFGS | iteration: 034, total loss=6787651961094144.0000, content_loss=3637953125.0000, style loss=6787648200000000.0000, tv loss=36219744.0000
L-BFGS | iteration: 035, total loss=6285826371616768.0000, content_loss=3675964062.5000, style loss=6285822600000000.0000, tv loss=36204944.0000
L-BFGS | iteration: 036, total loss=6030581297053696.0000, content_loss=3694043750.0000, style loss=6030577800000000.0000, tv loss=36350828.0000
L-BFGS | iteration: 037, total loss=5863896300650496.0000, content_loss=3806805859.3750, style loss=5863892400000000.0000, tv loss=37078212.0000
L-BFGS | iteration: 038, total loss=5545423938781184.0000, content_loss=3761203125.0000, style loss=5545420200000000.0000, tv loss=36762232.0000
L-BFGS | iteration: 039, total loss=5000794705231872.0000, content_loss=3821039843.7500, style loss=5000791200000000.0000, tv loss=37105376.0000
L-BFGS | iteration: 040, total loss=4670428505178112.0000, content_loss=3786971093.7500, style loss=4670424600000000.0000, tv loss=36980760.0000
L-BFGS | iteration: 041, total loss=5093271256694784.0000, content_loss=3738533984.3750, style loss=5093267400000000.0000, tv loss=37159604.0000
L-BFGS | iteration: 042, total loss=4437791870025728.0000, content_loss=3767670312.5000, style loss=4437788100000000.0000, tv loss=37044832.0000
L-BFGS | iteration: 043, total loss=4270034742411264.0000, content_loss=3774883203.1250, style loss=4270031100000000.0000, tv loss=37185020.0000
L-BFGS | iteration: 044, total loss=3989278098980864.0000, content_loss=3785109765.6250, style loss=3989274300000000.0000, tv loss=37568280.0000
L-BFGS | iteration: 045, total loss=3676825402212352.0000, content_loss=3793311718.7500, style loss=3676821600000000.0000, tv loss=37600288.0000
L-BFGS | iteration: 046, total loss=3676018753667072.0000, content_loss=3752353125.0000, style loss=3676014900000000.0000, tv loss=37584464.0000
L-BFGS | iteration: 047, total loss=3550726236143616.0000, content_loss=3772234375.0000, style loss=3550722600000000.0000, tv loss=37587756.0000
L-BFGS | iteration: 048, total loss=3460112626745344.0000, content_loss=3773695312.5000, style loss=3460108800000000.0000, tv loss=37526808.0000
L-BFGS | iteration: 049, total loss=3277115612987392.0000, content_loss=3821819921.8750, style loss=3277111800000000.0000, tv loss=37598712.0000
L-BFGS | iteration: 050, total loss=3044037401509888.0000, content_loss=3868272656.2500, style loss=3044033700000000.0000, tv loss=37746356.0000
L-BFGS | iteration: 051, total loss=2865262072168448.0000, content_loss=3842130078.1250, style loss=2865258300000000.0000, tv loss=37953264.0000
L-BFGS | iteration: 052, total loss=2672222082695168.0000, content_loss=3814781640.6250, style loss=2672218200000000.0000, tv loss=38079036.0000
L-BFGS | iteration: 053, total loss=3317769357492224.0000, content_loss=3768061328.1250, style loss=3317765700000000.0000, tv loss=38118324.0000
L-BFGS | iteration: 054, total loss=2625926361776128.0000, content_loss=3805289453.1250, style loss=2625922500000000.0000, tv loss=38083400.0000
L-BFGS | iteration: 055, total loss=2532968505540608.0000, content_loss=3807895312.5000, style loss=2532964800000000.0000, tv loss=37892220.0000
L-BFGS | iteration: 056, total loss=2464721475207168.0000, content_loss=3839736718.7500, style loss=2464717650000000.0000, tv loss=37978120.0000
L-BFGS | iteration: 057, total loss=2331275230707712.0000, content_loss=3913329296.8750, style loss=2331271200000000.0000, tv loss=38277840.0000
L-BFGS | iteration: 058, total loss=2220461584809984.0000, content_loss=3956101171.8750, style loss=2220457650000000.0000, tv loss=38382580.0000
L-BFGS | iteration: 059, total loss=2168187940503552.0000, content_loss=3918424218.7500, style loss=2168184000000000.0000, tv loss=38397424.0000
L-BFGS | iteration: 060, total loss=2095590108299264.0000, content_loss=3874205078.1250, style loss=2095586250000000.0000, tv loss=38223568.0000
L-BFGS | iteration: 061, total loss=2049675431510016.0000, content_loss=3862394140.6250, style loss=2049671550000000.0000, tv loss=38237408.0000
L-BFGS | iteration: 062, total loss=2020925591519232.0000, content_loss=3879643750.0000, style loss=2020921650000000.0000, tv loss=38425084.0000
L-BFGS | iteration: 063, total loss=1955622492831744.0000, content_loss=3877259375.0000, style loss=1955618550000000.0000, tv loss=38343032.0000
L-BFGS | iteration: 064, total loss=1865448446492672.0000, content_loss=3911414843.7500, style loss=1865444550000000.0000, tv loss=38489336.0000
L-BFGS | iteration: 065, total loss=1798126444740608.0000, content_loss=3903224218.7500, style loss=1798122600000000.0000, tv loss=38514408.0000
L-BFGS | iteration: 066, total loss=1718733705838592.0000, content_loss=3933170312.5000, style loss=1718729850000000.0000, tv loss=38536616.0000
L-BFGS | iteration: 067, total loss=3885140711309312.0000, content_loss=3914788671.8750, style loss=3885136800000000.0000, tv loss=39060984.0000
L-BFGS | iteration: 068, total loss=1687102882316288.0000, content_loss=3936497265.6250, style loss=1687099050000000.0000, tv loss=38603528.0000
L-BFGS | iteration: 069, total loss=1655752439627776.0000, content_loss=3941657031.2500, style loss=1655748600000000.0000, tv loss=38686772.0000
L-BFGS | iteration: 070, total loss=1596655300247552.0000, content_loss=3934937890.6250, style loss=1596651450000000.0000, tv loss=38851208.0000
L-BFGS | iteration: 071, total loss=1550604258246656.0000, content_loss=3933378125.0000, style loss=1550600400000000.0000, tv loss=38821440.0000
