C:\Users\user\AppData\Roaming\Python\Python313\site-packages\torchvision\models\_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
C:\Users\user\AppData\Roaming\Python\Python313\site-packages\torchvision\models\_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=VGG19_Weights.IMAGENET1K_V1`. You can also use `weights=VGG19_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
Using VGG19 in the optimization procedure.
L-BFGS | iteration: 000, total loss=111972760934154240.0000, content_loss=      0.0000, style loss=111972758400000000.0000, tv loss=3043441.0000
L-BFGS | iteration: 001, total loss=111972717984481280.0000, content_loss=     27.8100, style loss=111972720000000000.0000, tv loss=3043442.5000
L-BFGS | iteration: 002, total loss=111972597725396992.0000, content_loss=     36.3052, style loss=111972595200000000.0000, tv loss=3043449.5000
L-BFGS | iteration: 003, total loss=111971893350760448.0000, content_loss=     44.9583, style loss=111971894400000000.0000, tv loss=3043487.5000
L-BFGS | iteration: 004, total loss=111968139549343744.0000, content_loss=     94.2078, style loss=111968140800000000.0000, tv loss=3043696.7500
L-BFGS | iteration: 005, total loss=111947326137827328.0000, content_loss=   1192.2959, style loss=111947328000000000.0000, tv loss=3044848.5000
L-BFGS | iteration: 006, total loss=111833088597688320.0000, content_loss=  32967.7820, style loss=111833088000000000.0000, tv loss=3051187.2500
L-BFGS | iteration: 007, total loss=111210387059245056.0000, content_loss= 942392.0631, style loss=111210384000000000.0000, tv loss=3086078.0000
L-BFGS | iteration: 008, total loss=108129942025273344.0000, content_loss=21257608.0322, style loss=108129945600000000.0000, tv loss=3284080.0000
L-BFGS | iteration: 009, total loss=82181622228582400.0000, content_loss=248721508.7891, style loss=82181625600000000.0000, tv loss=6117873.0000
L-BFGS | iteration: 010, total loss=488172717372080128.0000, content_loss=2977478125.0000, style loss=488172710400000000.0000, tv loss=27287348.0000
L-BFGS | iteration: 011, total loss=28207620770758656.0000, content_loss=1054897070.3125, style loss=28207620000000000.0000, tv loss=14682749.0000
L-BFGS | iteration: 012, total loss=17255750518702080.0000, content_loss=997461230.4688, style loss=17255749200000000.0000, tv loss=15903567.0000
L-BFGS | iteration: 013, total loss=11846332624928768.0000, content_loss=1135913183.5938, style loss=11846331600000000.0000, tv loss=17834500.0000
L-BFGS | iteration: 014, total loss=7115388030550016.0000, content_loss=1143577246.0938, style loss=7115386800000000.0000, tv loss=18660986.0000
L-BFGS | iteration: 015, total loss=5960501389426688.0000, content_loss=1233062988.2812, style loss=5960500200000000.0000, tv loss=19989372.0000
L-BFGS | iteration: 016, total loss=4605329149001728.0000, content_loss=1182362695.3125, style loss=4605327900000000.0000, tv loss=19845068.0000
L-BFGS | iteration: 017, total loss=3990132529037312.0000, content_loss=1176076855.4688, style loss=3990131400000000.0000, tv loss=20034432.0000
L-BFGS | iteration: 018, total loss=2898297349996544.0000, content_loss=1261561718.7500, style loss=2898296100000000.0000, tv loss=20699346.0000
L-BFGS | iteration: 019, total loss=2284879920234496.0000, content_loss=1277441796.8750, style loss=2284878450000000.0000, tv loss=20759436.0000
L-BFGS | iteration: 020, total loss=2075374905196544.0000, content_loss=1390033398.4375, style loss=2075373600000000.0000, tv loss=21561354.0000
L-BFGS | iteration: 021, total loss=1853314627010560.0000, content_loss=1359631738.2812, style loss=1853313300000000.0000, tv loss=21197912.0000
L-BFGS | iteration: 022, total loss=1749611299471360.0000, content_loss=1367153808.5938, style loss=1749609900000000.0000, tv loss=21256440.0000
L-BFGS | iteration: 023, total loss=1577373581443072.0000, content_loss=1441827246.0938, style loss=1577372100000000.0000, tv loss=22019924.0000
L-BFGS | iteration: 024, total loss=1426905039372288.0000, content_loss=1408398437.5000, style loss=1426903650000000.0000, tv loss=21679436.0000
L-BFGS | iteration: 025, total loss=1205102593441792.0000, content_loss=1414965039.0625, style loss=1205101125000000.0000, tv loss=21678472.0000
L-BFGS | iteration: 026, total loss=1089538982150144.0000, content_loss=1458503613.2812, style loss=1089537525000000.0000, tv loss=21953624.0000
L-BFGS | iteration: 027, total loss=973306966573056.0000, content_loss=1442210839.8438, style loss=973305525000000.0000, tv loss=21826608.0000
L-BFGS | iteration: 028, total loss=877882054279168.0000, content_loss=1434467968.7500, style loss=877880625000000.0000, tv loss=21972732.0000
L-BFGS | iteration: 029, total loss=777872599941120.0000, content_loss=1445829394.5312, style loss=777871125000000.0000, tv loss=22080166.0000
L-BFGS | iteration: 030, total loss=681799013367808.0000, content_loss=1426290234.3750, style loss=681797625000000.0000, tv loss=22097056.0000
L-BFGS | iteration: 031, total loss=615326676942848.0000, content_loss=1437450000.0000, style loss=615325275000000.0000, tv loss=22036258.0000
L-BFGS | iteration: 032, total loss=704546301018112.0000, content_loss=1475245312.5000, style loss=704544825000000.0000, tv loss=22467652.0000
L-BFGS | iteration: 033, total loss=586925199065088.0000, content_loss=1452227246.0938, style loss=586923712500000.0000, tv loss=22178070.0000
L-BFGS | iteration: 034, total loss=559192763006976.0000, content_loss=1456837890.6250, style loss=559191300000000.0000, tv loss=22194774.0000
L-BFGS | iteration: 035, total loss=504536384929792.0000, content_loss=1469690234.3750, style loss=504534862500000.0000, tv loss=22213624.0000
L-BFGS | iteration: 036, total loss=474207775358976.0000, content_loss=1450204101.5625, style loss=474206287500000.0000, tv loss=22297964.0000
L-BFGS | iteration: 037, total loss=436072760737792.0000, content_loss=1468570605.4688, style loss=436071262500000.0000, tv loss=22248928.0000
L-BFGS | iteration: 038, total loss=440505770967040.0000, content_loss=1497867089.8438, style loss=440504212500000.0000, tv loss=22465592.0000
L-BFGS | iteration: 039, total loss=416734301388800.0000, content_loss=1484328222.6562, style loss=416732775000000.0000, tv loss=22349146.0000
L-BFGS | iteration: 040, total loss=402077624827904.0000, content_loss=1483539843.7500, style loss=402076125000000.0000, tv loss=22355476.0000
L-BFGS | iteration: 041, total loss=368976144105472.0000, content_loss=1483242089.8438, style loss=368974650000000.0000, tv loss=22377660.0000
L-BFGS | iteration: 042, total loss=336170277928960.0000, content_loss=1495750097.6562, style loss=336168750000000.0000, tv loss=22420482.0000
L-BFGS | iteration: 043, total loss=340550641254400.0000, content_loss=1503212402.3438, style loss=340549087500000.0000, tv loss=22567910.0000
L-BFGS | iteration: 044, total loss=324001595392000.0000, content_loss=1499696972.6562, style loss=324000037500000.0000, tv loss=22487404.0000
L-BFGS | iteration: 045, total loss=307939424337920.0000, content_loss=1498540136.7188, style loss=307937887500000.0000, tv loss=22463256.0000
L-BFGS | iteration: 046, total loss=292673734836224.0000, content_loss=1508327832.0312, style loss=292672200000000.0000, tv loss=22516518.0000
L-BFGS | iteration: 047, total loss=274701830062080.0000, content_loss=1516422558.5938, style loss=274700306250000.0000, tv loss=22560768.0000
L-BFGS | iteration: 048, total loss=256000300941312.0000, content_loss=1518687792.9688, style loss=255998756250000.0000, tv loss=22627194.0000
L-BFGS | iteration: 049, total loss=242925833289728.0000, content_loss=1526846777.3438, style loss=242924287500000.0000, tv loss=22608470.0000
