C:\Users\user\AppData\Roaming\Python\Python313\site-packages\torchvision\models\_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
C:\Users\user\AppData\Roaming\Python\Python313\site-packages\torchvision\models\_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=VGG19_Weights.IMAGENET1K_V1`. You can also use `weights=VGG19_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
Using VGG19 in the optimization procedure.
L-BFGS | iteration: 000, total loss=459633621762834432.0000, content_loss=      0.0000, style loss=459633638400000000.0000, tv loss=5634247.0000
L-BFGS | iteration: 001, total loss=459633553043357696.0000, content_loss=     42.4384, style loss=459633561600000000.0000, tv loss=5634248.0000
L-BFGS | iteration: 002, total loss=459633381244665856.0000, content_loss=     56.9191, style loss=459633369600000000.0000, tv loss=5634253.0000
L-BFGS | iteration: 003, total loss=459632384812253184.0000, content_loss=     77.2469, style loss=459632371200000000.0000, tv loss=5634281.0000
L-BFGS | iteration: 004, total loss=459626612376207360.0000, content_loss=    129.9279, style loss=459626611200000000.0000, tv loss=5634434.0000
L-BFGS | iteration: 005, total loss=459595310654554112.0000, content_loss=    877.9429, style loss=459595315200000000.0000, tv loss=5635275.0000
L-BFGS | iteration: 006, total loss=459424061718528000.0000, content_loss=  21296.1078, style loss=459424051200000000.0000, tv loss=5639903.5000
L-BFGS | iteration: 007, total loss=458489751712825344.0000, content_loss= 586801.5289, style loss=458489740800000000.0000, tv loss=5665381.0000
L-BFGS | iteration: 008, total loss=453799578706116608.0000, content_loss=11988299.5605, style loss=453799564800000000.0000, tv loss=5810952.0000
L-BFGS | iteration: 009, total loss=414543577620676608.0000, content_loss=282363549.8047, style loss=414543590400000000.0000, tv loss=8641668.0000
L-BFGS | iteration: 010, total loss=287074548912750592.0000, content_loss=1341877343.7500, style loss=287074540800000000.0000, tv loss=18669000.0000
L-BFGS | iteration: 011, total loss=460243288041174597632.0000, content_loss=91231168750.0000, style loss=460243284787200000000.0000, tv loss=211217920.0000
L-BFGS | iteration: 012, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 013, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 014, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 015, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 016, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 017, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 018, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 019, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 020, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 021, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 022, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 023, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 024, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 025, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 026, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 027, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 028, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 029, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 030, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 031, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 032, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 033, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 034, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 035, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 036, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 037, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 038, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 039, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 040, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 041, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 042, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 043, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 044, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 045, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 046, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 047, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 048, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 049, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 050, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 051, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 052, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 053, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 054, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 055, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 056, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 057, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 058, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 059, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 060, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 061, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 062, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 063, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 064, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 065, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 066, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 067, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 068, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 069, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 070, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 071, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 072, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 073, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 074, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 075, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 076, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 077, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 078, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 079, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 080, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 081, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 082, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 083, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 084, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 085, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 086, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 087, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 088, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 089, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 090, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 091, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 092, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 093, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 094, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 095, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 096, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 097, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 098, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 099, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 100, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 101, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 102, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 103, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 104, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 105, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 106, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 107, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 108, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 109, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 110, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 111, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 112, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 113, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 114, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 115, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 116, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 117, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 118, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 119, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 120, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 121, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 122, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 123, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 124, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 125, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 126, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 127, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 128, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 129, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 130, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 131, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 132, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 133, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 134, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 135, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 136, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 137, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
L-BFGS | iteration: 138, total loss=         nan, content_loss=         nan, style loss=         nan, tv loss=         nan
