C:\Users\user\AppData\Roaming\Python\Python313\site-packages\torchvision\models\_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
C:\Users\user\AppData\Roaming\Python\Python313\site-packages\torchvision\models\_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=VGG19_Weights.IMAGENET1K_V1`. You can also use `weights=VGG19_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
Using VGG19 in the optimization procedure.
L-BFGS | iteration: 000, total loss=74399407776202752.0000, content_loss=      0.0000, style loss=74399409600000000.0000, tv loss=13714633.0000
L-BFGS | iteration: 001, total loss=74399407776202752.0000, content_loss=     62.1828, style loss=74399409600000000.0000, tv loss=13714633.0000
L-BFGS | iteration: 002, total loss=74399321876856832.0000, content_loss=     85.5595, style loss=74399318400000000.0000, tv loss=13714635.0000
L-BFGS | iteration: 003, total loss=74399004049276928.0000, content_loss=    110.5812, style loss=74399001600000000.0000, tv loss=13714649.0000
L-BFGS | iteration: 004, total loss=74397079903928320.0000, content_loss=    158.8109, style loss=74397081600000000.0000, tv loss=13714721.0000
L-BFGS | iteration: 005, total loss=74386308125949952.0000, content_loss=    788.3010, style loss=74386305600000000.0000, tv loss=13715118.0000
L-BFGS | iteration: 006, total loss=74327930930462720.0000, content_loss=  16601.4150, style loss=74327932800000000.0000, tv loss=13717302.0000
L-BFGS | iteration: 007, total loss=74017275945943040.0000, content_loss= 372580.6236, style loss=74017276800000000.0000, tv loss=13729322.0000
L-BFGS | iteration: 008, total loss=72653872937566208.0000, content_loss=5451723.0988, style loss=72653875200000000.0000, tv loss=13798570.0000
L-BFGS | iteration: 009, total loss=67337008367796224.0000, content_loss=83991131.5918, style loss=67337006400000000.0000, tv loss=14339564.0000
L-BFGS | iteration: 010, total loss=52128185575276544.0000, content_loss=465058740.2344, style loss=52128187200000000.0000, tv loss=17321684.0000
L-BFGS | iteration: 011, total loss=86630211914825728.0000, content_loss=1693419335.9375, style loss=86630208000000000.0000, tv loss=29785448.0000
