C:\Users\user\AppData\Roaming\Python\Python313\site-packages\torchvision\models\_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
C:\Users\user\AppData\Roaming\Python\Python313\site-packages\torchvision\models\_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=VGG19_Weights.IMAGENET1K_V1`. You can also use `weights=VGG19_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
Using VGG19 in the optimization procedure.
L-BFGS | iteration: 000, total loss=448979113571516416.0000, content_loss=      0.0000, style loss=448979097600000000.0000, tv loss=6513752.0000
L-BFGS | iteration: 001, total loss=448979113571516416.0000, content_loss=     29.6338, style loss=448979097600000000.0000, tv loss=6513752.5000
L-BFGS | iteration: 002, total loss=448978907413086208.0000, content_loss=     40.6628, style loss=448978905600000000.0000, tv loss=6513759.0000
L-BFGS | iteration: 003, total loss=448978014059888640.0000, content_loss=     50.7247, style loss=448978022400000000.0000, tv loss=6513791.0000
L-BFGS | iteration: 004, total loss=448973100617302016.0000, content_loss=     82.6565, style loss=448973107200000000.0000, tv loss=6513967.0000
L-BFGS | iteration: 005, total loss=448945956423991296.0000, content_loss=    462.4066, style loss=448945958400000000.0000, tv loss=6514936.0000
L-BFGS | iteration: 006, total loss=448795666928369664.0000, content_loss=  10785.6110, style loss=448795660800000000.0000, tv loss=6520268.5000
L-BFGS | iteration: 007, total loss=447983127835443200.0000, content_loss= 297050.6907, style loss=447983116800000000.0000, tv loss=6549618.5000
L-BFGS | iteration: 008, total loss=443920466730549248.0000, content_loss=6027261.3525, style loss=443920473600000000.0000, tv loss=6713967.0000
L-BFGS | iteration: 009, total loss=409274099425083392.0000, content_loss=152471704.1016, style loss=409274112000000000.0000, tv loss=9525196.0000
L-BFGS | iteration: 010, total loss=306502163461308416.0000, content_loss=626089111.3281, style loss=306502176000000000.0000, tv loss=19749898.0000
L-BFGS | iteration: 011, total loss=21481393967348056064.0000, content_loss=17433487500.0000, style loss=21481394995200000000.0000, tv loss=121414800.0000
L-BFGS | iteration: 012, total loss=329444607446220800.0000, content_loss=2674025781.2500, style loss=329444620800000000.0000, tv loss=45207832.0000
L-BFGS | iteration: 013, total loss=221044202740383744.0000, content_loss=1572572949.2188, style loss=221044204800000000.0000, tv loss=33618128.0000
L-BFGS | iteration: 014, total loss=185974025242017792.0000, content_loss=2373401562.5000, style loss=185974022400000000.0000, tv loss=42449172.0000
L-BFGS | iteration: 015, total loss=142468145427251200.0000, content_loss=2263820703.1250, style loss=142468147200000000.0000, tv loss=43239112.0000
L-BFGS | iteration: 016, total loss=119301959416020992.0000, content_loss=2465631054.6875, style loss=119301955200000000.0000, tv loss=45993616.0000
L-BFGS | iteration: 017, total loss=100119200953008128.0000, content_loss=2889055859.3750, style loss=100119196800000000.0000, tv loss=50786096.0000
L-BFGS | iteration: 018, total loss=84661149798236160.0000, content_loss=2999063281.2500, style loss=84661152000000000.0000, tv loss=52249164.0000
L-BFGS | iteration: 019, total loss=72352134305153024.0000, content_loss=3162919531.2500, style loss=72352137600000000.0000, tv loss=53272012.0000
L-BFGS | iteration: 020, total loss=62606557157785600.0000, content_loss=3402300000.0000, style loss=62606553600000000.0000, tv loss=54750708.0000
