C:\Users\user\AppData\Roaming\Python\Python313\site-packages\torchvision\models\_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
C:\Users\user\AppData\Roaming\Python\Python313\site-packages\torchvision\models\_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=VGG19_Weights.IMAGENET1K_V1`. You can also use `weights=VGG19_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
Using VGG19 in the optimization procedure.
L-BFGS | iteration: 000, total loss=98832136693350400.0000, content_loss=      0.0000, style loss=98832134400000000.0000, tv loss=13714633.0000
L-BFGS | iteration: 001, total loss=98832102333612032.0000, content_loss=     60.9525, style loss=98832105600000000.0000, tv loss=13714633.0000
L-BFGS | iteration: 002, total loss=98832042204069888.0000, content_loss=     87.8466, style loss=98832038400000000.0000, tv loss=13714639.0000
L-BFGS | iteration: 003, total loss=98831569757667328.0000, content_loss=    107.3566, style loss=98831568000000000.0000, tv loss=13714664.0000
L-BFGS | iteration: 004, total loss=98828958417551360.0000, content_loss=    151.3369, style loss=98828956800000000.0000, tv loss=13714801.0000
L-BFGS | iteration: 005, total loss=98814140780380160.0000, content_loss=    454.0698, style loss=98814144000000000.0000, tv loss=13715557.0000
L-BFGS | iteration: 006, total loss=98733464114692096.0000, content_loss=   7536.0157, style loss=98733465600000000.0000, tv loss=13719719.0000
L-BFGS | iteration: 007, total loss=98290893504643072.0000, content_loss= 205259.1085, style loss=98290896000000000.0000, tv loss=13742628.0000
L-BFGS | iteration: 008, total loss=95956819297435648.0000, content_loss=4489700.3174, style loss=95956819200000000.0000, tv loss=13871899.0000
L-BFGS | iteration: 009, total loss=85833478301548544.0000, content_loss=72152178.9551, style loss=85833475200000000.0000, tv loss=14761807.0000
L-BFGS | iteration: 010, total loss=40941221698338816.0000, content_loss=580968017.5781, style loss=40941220800000000.0000, tv loss=21734030.0000
L-BFGS | iteration: 011, total loss=332847527214710784.0000, content_loss=2304383203.1250, style loss=332847513600000000.0000, tv loss=42395336.0000
L-BFGS | iteration: 012, total loss=25543111107149824.0000, content_loss=985932714.8438, style loss=25543111200000000.0000, tv loss=26807964.0000
