C:\Users\user\AppData\Roaming\Python\Python313\site-packages\torchvision\models\_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
C:\Users\user\AppData\Roaming\Python\Python313\site-packages\torchvision\models\_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=VGG19_Weights.IMAGENET1K_V1`. You can also use `weights=VGG19_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
Using VGG19 in the optimization procedure.
L-BFGS | iteration: 000, total loss=445795340214337536.0000, content_loss=      0.0000, style loss=445795353600000000.0000, tv loss=3956215.0000
L-BFGS | iteration: 001, total loss=445795202775384064.0000, content_loss=     35.9419, style loss=445795200000000000.0000, tv loss=3956216.0000
L-BFGS | iteration: 002, total loss=445794790458523648.0000, content_loss=     49.9439, style loss=445794777600000000.0000, tv loss=3956221.0000
L-BFGS | iteration: 003, total loss=445792900672913408.0000, content_loss=     67.0840, style loss=445792896000000000.0000, tv loss=3956247.7500
L-BFGS | iteration: 004, total loss=445782283513757696.0000, content_loss=    160.1973, style loss=445782297600000000.0000, tv loss=3956394.0000
L-BFGS | iteration: 005, total loss=445727651529752576.0000, content_loss=   1501.3379, style loss=445727654400000000.0000, tv loss=3957200.0000
L-BFGS | iteration: 006, total loss=445431367505805312.0000, content_loss=  41978.7139, style loss=445431360000000000.0000, tv loss=3961637.2500
L-BFGS | iteration: 007, total loss=443878135532879872.0000, content_loss=1145378.3989, style loss=443878118400000000.0000, tv loss=3986075.7500
L-BFGS | iteration: 008, total loss=420128512574226432.0000, content_loss=88279260.2539, style loss=420128524800000000.0000, tv loss=4667201.0000
L-BFGS | iteration: 009, total loss=337199050640064512.0000, content_loss=604293212.8906, style loss=337199040000000000.0000, tv loss=8319360.0000
L-BFGS | iteration: 010, total loss=5099934052345970688.0000, content_loss=15403584375.0000, style loss=5099933798400000000.0000, tv loss=40946580.0000
L-BFGS | iteration: 011, total loss=235505048388370432.0000, content_loss=3074094531.2500, style loss=235505049600000000.0000, tv loss=18084998.0000
L-BFGS | iteration: 012, total loss=177131117076283392.0000, content_loss=1943113085.9375, style loss=177131116800000000.0000, tv loss=17927116.0000
L-BFGS | iteration: 013, total loss=145665018434682880.0000, content_loss=2371569921.8750, style loss=145665014400000000.0000, tv loss=20531036.0000
