C:\Users\user\AppData\Roaming\Python\Python313\site-packages\torchvision\models\_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
C:\Users\user\AppData\Roaming\Python\Python313\site-packages\torchvision\models\_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=VGG19_Weights.IMAGENET1K_V1`. You can also use `weights=VGG19_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
Using VGG19 in the optimization procedure.
L-BFGS | iteration: 000, total loss=16147923834241024.0000, content_loss=      0.0000, style loss=16147923600000000.0000, tv loss=3956215.0000
L-BFGS | iteration: 001, total loss=16147901285662720.0000, content_loss=     34.7024, style loss=16147900800000000.0000, tv loss=3956216.0000
L-BFGS | iteration: 002, total loss=16147753109291008.0000, content_loss=     47.5432, style loss=16147753200000000.0000, tv loss=3956220.0000
L-BFGS | iteration: 003, total loss=16146895189573632.0000, content_loss=     73.8264, style loss=16146895200000000.0000, tv loss=3956243.0000
L-BFGS | iteration: 004, total loss=16142764504776704.0000, content_loss=    180.1025, style loss=16142764800000000.0000, tv loss=3956368.7500
L-BFGS | iteration: 005, total loss=16122334419091456.0000, content_loss=   2339.5471, style loss=16122334800000000.0000, tv loss=3957061.5000
L-BFGS | iteration: 006, total loss=16018822486032384.0000, content_loss=  66409.3137, style loss=16018822800000000.0000, tv loss=3960873.5000
L-BFGS | iteration: 007, total loss=15303792035627008.0000, content_loss=3482164.3829, style loss=15303792000000000.0000, tv loss=3999283.5000
L-BFGS | iteration: 008, total loss=14100118860988416.0000, content_loss=16389857.4829, style loss=14100118800000000.0000, tv loss=4106845.2500
L-BFGS | iteration: 009, total loss=11960028999188480.0000, content_loss=53729217.5293, style loss=11960029200000000.0000, tv loss=4402298.0000
L-BFGS | iteration: 010, total loss=9051337559900160.0000, content_loss=139982519.5312, style loss=9051337800000000.0000, tv loss=5091971.0000
L-BFGS | iteration: 011, total loss=6777497584664576.0000, content_loss=270300756.8359, style loss=6777496800000000.0000, tv loss=6093841.0000
L-BFGS | iteration: 012, total loss=5847993647366144.0000, content_loss=308844067.3828, style loss=5847993000000000.0000, tv loss=6350754.0000
L-BFGS | iteration: 013, total loss=4659235820404736.0000, content_loss=297943774.4141, style loss=4659235200000000.0000, tv loss=6191059.0000
L-BFGS | iteration: 014, total loss=3826028539543552.0000, content_loss=322728930.6641, style loss=3826028400000000.0000, tv loss=6116767.0000
L-BFGS | iteration: 015, total loss=3304725004943360.0000, content_loss=369986132.8125, style loss=3304724700000000.0000, tv loss=6208266.0000
L-BFGS | iteration: 016, total loss=2925816279203840.0000, content_loss=355790063.4766, style loss=2925816000000000.0000, tv loss=6082974.0000
L-BFGS | iteration: 017, total loss=2576448338526208.0000, content_loss=363888232.4219, style loss=2576448000000000.0000, tv loss=6072124.0000
L-BFGS | iteration: 018, total loss=2316071583350784.0000, content_loss=379230883.7891, style loss=2316071250000000.0000, tv loss=6086312.0000
L-BFGS | iteration: 019, total loss=2088449993605120.0000, content_loss=406471801.7578, style loss=2088449550000000.0000, tv loss=6130483.0000
L-BFGS | iteration: 020, total loss=1901499194015744.0000, content_loss=438147460.9375, style loss=1901498850000000.0000, tv loss=6203893.5000
L-BFGS | iteration: 021, total loss=1746503353761792.0000, content_loss=456921533.2031, style loss=1746502950000000.0000, tv loss=6240158.0000
L-BFGS | iteration: 022, total loss=1605940348452864.0000, content_loss=487498388.6719, style loss=1605939750000000.0000, tv loss=6328009.5000
L-BFGS | iteration: 023, total loss=1492191360843776.0000, content_loss=498857275.3906, style loss=1492190850000000.0000, tv loss=6366599.0000
L-BFGS | iteration: 024, total loss=1373294720712704.0000, content_loss=521940673.8281, style loss=1373294250000000.0000, tv loss=6439608.0000
L-BFGS | iteration: 025, total loss=1271891213942784.0000, content_loss=541728027.3438, style loss=1271890650000000.0000, tv loss=6517205.0000
