C:\Users\user\AppData\Roaming\Python\Python313\site-packages\torchvision\models\_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
C:\Users\user\AppData\Roaming\Python\Python313\site-packages\torchvision\models\_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=VGG19_Weights.IMAGENET1K_V1`. You can also use `weights=VGG19_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
Using VGG19 in the optimization procedure.
L-BFGS | iteration: 000, total loss=104336326261735424.0000, content_loss=      0.0000, style loss=104336323200000000.0000, tv loss=3956215.0000
L-BFGS | iteration: 001, total loss=104336300491931648.0000, content_loss=     35.7083, style loss=104336304000000000.0000, tv loss=3956216.0000
L-BFGS | iteration: 002, total loss=104335991254286336.0000, content_loss=     49.2926, style loss=104335987200000000.0000, tv loss=3956222.0000
L-BFGS | iteration: 003, total loss=104334848792985600.0000, content_loss=     66.5425, style loss=104334844800000000.0000, tv loss=3956252.7500
L-BFGS | iteration: 004, total loss=104328277493022720.0000, content_loss=    150.8119, style loss=104328278400000000.0000, tv loss=3956424.0000
L-BFGS | iteration: 005, total loss=104294888417263616.0000, content_loss=   1559.5993, style loss=104294889600000000.0000, tv loss=3957365.0000
L-BFGS | iteration: 006, total loss=104116561375133696.0000, content_loss=  43780.8543, style loss=104116560000000000.0000, tv loss=3962543.5000
L-BFGS | iteration: 007, total loss=103241350119424000.0000, content_loss=1193598.4612, style loss=103241347200000000.0000, tv loss=3991083.0000
L-BFGS | iteration: 008, total loss=96845104433594368.0000, content_loss=29838885.4980, style loss=96845107200000000.0000, tv loss=4298114.5000
L-BFGS | iteration: 009, total loss=72030308110696448.0000, content_loss=218615429.6875, style loss=72030307200000000.0000, tv loss=6099827.0000
L-BFGS | iteration: 010, total loss=106867883065212928.0000, content_loss=1844947851.5625, style loss=106867881600000000.0000, tv loss=16418952.0000
L-BFGS | iteration: 011, total loss=28162356110426112.0000, content_loss=889585546.8750, style loss=28162356000000000.0000, tv loss=11364780.0000
L-BFGS | iteration: 012, total loss=16290675662258176.0000, content_loss=969558691.4062, style loss=16290674400000000.0000, tv loss=13608559.0000
L-BFGS | iteration: 013, total loss=7876034254864384.0000, content_loss=954701367.1875, style loss=7876033200000000.0000, tv loss=14857478.0000
L-BFGS | iteration: 014, total loss=5761982095425536.0000, content_loss=1106632910.1562, style loss=5761981200000000.0000, tv loss=16137868.0000
L-BFGS | iteration: 015, total loss=3729900997443584.0000, content_loss=1169365039.0625, style loss=3729900000000000.0000, tv loss=16907644.0000
L-BFGS | iteration: 016, total loss=2882824730312704.0000, content_loss=1153335253.9062, style loss=2882823600000000.0000, tv loss=17340352.0000
L-BFGS | iteration: 017, total loss=2011601888608256.0000, content_loss=1200727148.4375, style loss=2011600650000000.0000, tv loss=17881428.0000
L-BFGS | iteration: 018, total loss=1691939955015680.0000, content_loss=1290697753.9062, style loss=1691938650000000.0000, tv loss=18410516.0000
L-BFGS | iteration: 019, total loss=1301356837076992.0000, content_loss=1316704785.1562, style loss=1301355450000000.0000, tv loss=18483546.0000
L-BFGS | iteration: 020, total loss=1148170386014208.0000, content_loss=1361236621.0938, style loss=1148169000000000.0000, tv loss=18752786.0000
L-BFGS | iteration: 021, total loss=981976760713216.0000, content_loss=1374315625.0000, style loss=981975450000000.0000, tv loss=18887576.0000
L-BFGS | iteration: 022, total loss=928300071387136.0000, content_loss=1446265527.3438, style loss=928298625000000.0000, tv loss=19542884.0000
L-BFGS | iteration: 023, total loss=884171027251200.0000, content_loss=1419328515.6250, style loss=884169600000000.0000, tv loss=19289882.0000
L-BFGS | iteration: 024, total loss=785694205149184.0000, content_loss=1431261425.7812, style loss=785692800000000.0000, tv loss=19425076.0000
L-BFGS | iteration: 025, total loss=690918906658816.0000, content_loss=1433217285.1562, style loss=690917475000000.0000, tv loss=19573448.0000
L-BFGS | iteration: 026, total loss=610823806386176.0000, content_loss=1443321582.0312, style loss=610822312500000.0000, tv loss=19989884.0000
L-BFGS | iteration: 027, total loss=515355608875008.0000, content_loss=1425139648.4375, style loss=515354175000000.0000, tv loss=20008268.0000
L-BFGS | iteration: 028, total loss=482059847991296.0000, content_loss=1439942968.7500, style loss=482058375000000.0000, tv loss=20246752.0000
L-BFGS | iteration: 029, total loss=446779979988992.0000, content_loss=1445835156.2500, style loss=446778487500000.0000, tv loss=20307538.0000
L-BFGS | iteration: 030, total loss=391727122743296.0000, content_loss=1468270019.5312, style loss=391725600000000.0000, tv loss=20470882.0000
L-BFGS | iteration: 031, total loss=367330030780416.0000, content_loss=1484665429.6875, style loss=367328512500000.0000, tv loss=20578172.0000
L-BFGS | iteration: 032, total loss=337587482918912.0000, content_loss=1501443261.7188, style loss=337585950000000.0000, tv loss=20857316.0000
L-BFGS | iteration: 033, total loss=334081011220480.0000, content_loss=1497869433.5938, style loss=334079475000000.0000, tv loss=20708156.0000
L-BFGS | iteration: 034, total loss=312086114598912.0000, content_loss=1505456445.3125, style loss=312084581250000.0000, tv loss=20811332.0000
L-BFGS | iteration: 035, total loss=301756114272256.0000, content_loss=1513020703.1250, style loss=301754587500000.0000, tv loss=20923430.0000
