C:\Users\user\AppData\Roaming\Python\Python313\site-packages\torchvision\models\_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
C:\Users\user\AppData\Roaming\Python\Python313\site-packages\torchvision\models\_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=VGG19_Weights.IMAGENET1K_V1`. You can also use `weights=VGG19_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
Using VGG19 in the optimization procedure.
L-BFGS | iteration: 000, total loss=449744201865756672.0000, content_loss=      0.0000, style loss=449744217600000000.0000, tv loss=4232183.0000
L-BFGS | iteration: 001, total loss=449744133146279936.0000, content_loss=     40.2481, style loss=449744140800000000.0000, tv loss=4232184.0000
L-BFGS | iteration: 002, total loss=449744030067064832.0000, content_loss=     54.5520, style loss=449744025600000000.0000, tv loss=4232189.0000
L-BFGS | iteration: 003, total loss=449742209000931328.0000, content_loss=     66.7743, style loss=449742220800000000.0000, tv loss=4232214.0000
L-BFGS | iteration: 004, total loss=449734065742938112.0000, content_loss=    126.7318, style loss=449734080000000000.0000, tv loss=4232355.0000
L-BFGS | iteration: 005, total loss=449689295003844608.0000, content_loss=   1136.4508, style loss=449689305600000000.0000, tv loss=4233129.5000
L-BFGS | iteration: 006, total loss=449443073118699520.0000, content_loss=  30561.7034, style loss=449443084800000000.0000, tv loss=4237393.0000
L-BFGS | iteration: 007, total loss=448111839415369728.0000, content_loss= 872861.0039, style loss=448111833600000000.0000, tv loss=4260876.5000
L-BFGS | iteration: 008, total loss=441630665046228992.0000, content_loss=18425857.5439, style loss=441630681600000000.0000, tv loss=4399940.0000
L-BFGS | iteration: 009, total loss=398804309187231744.0000, content_loss=302203027.3438, style loss=398804313600000000.0000, tv loss=6493942.0000
L-BFGS | iteration: 010, total loss=195702349505757184.0000, content_loss=2775998828.1250, style loss=195702355200000000.0000, tv loss=18194708.0000
L-BFGS | iteration: 011, total loss=3050701114136592384.0000, content_loss=10653711718.7500, style loss=3050701209600000000.0000, tv loss=45919856.0000
L-BFGS | iteration: 012, total loss=170670541370294272.0000, content_loss=3430049218.7500, style loss=170670547200000000.0000, tv loss=22909760.0000
L-BFGS | iteration: 013, total loss=127599904951369728.0000, content_loss=2984328515.6250, style loss=127599907200000000.0000, tv loss=23775924.0000
L-BFGS | iteration: 014, total loss=98212158164172800.0000, content_loss=2986068554.6875, style loss=98212156800000000.0000, tv loss=24909716.0000
L-BFGS | iteration: 015, total loss=79124258348859392.0000, content_loss=3233308203.1250, style loss=79124260800000000.0000, tv loss=26813224.0000
L-BFGS | iteration: 016, total loss=65833593720537088.0000, content_loss=3253299023.4375, style loss=65833588800000000.0000, tv loss=27786866.0000
L-BFGS | iteration: 017, total loss=55521561926434816.0000, content_loss=3258499414.0625, style loss=55521556800000000.0000, tv loss=28330692.0000
L-BFGS | iteration: 018, total loss=47435104875708416.0000, content_loss=3360782812.5000, style loss=47435102400000000.0000, tv loss=29154984.0000
L-BFGS | iteration: 019, total loss=41281228489359360.0000, content_loss=3443173437.5000, style loss=41281224000000000.0000, tv loss=29688796.0000
L-BFGS | iteration: 020, total loss=36012626467094528.0000, content_loss=3489638281.2500, style loss=36012621600000000.0000, tv loss=30047776.0000
L-BFGS | iteration: 021, total loss=31295197597925376.0000, content_loss=3496530468.7500, style loss=31295193600000000.0000, tv loss=30261336.0000
L-BFGS | iteration: 022, total loss=27706247763460096.0000, content_loss=3480262890.6250, style loss=27706243200000000.0000, tv loss=30381764.0000
L-BFGS | iteration: 023, total loss=24635717661491200.0000, content_loss=3488769531.2500, style loss=24635714400000000.0000, tv loss=30664644.0000
L-BFGS | iteration: 024, total loss=21846093453066240.0000, content_loss=3485217187.5000, style loss=21846088800000000.0000, tv loss=30912640.0000
L-BFGS | iteration: 025, total loss=19457305657475072.0000, content_loss=3482308984.3750, style loss=19457301600000000.0000, tv loss=31193056.0000
L-BFGS | iteration: 026, total loss=17548398852833280.0000, content_loss=3477830468.7500, style loss=17548395600000000.0000, tv loss=31477498.0000
L-BFGS | iteration: 027, total loss=15809731666903040.0000, content_loss=3451277343.7500, style loss=15809728800000000.0000, tv loss=31669864.0000
L-BFGS | iteration: 028, total loss=14257965351567360.0000, content_loss=3407636718.7500, style loss=14257962000000000.0000, tv loss=31847236.0000
L-BFGS | iteration: 029, total loss=12739384101044224.0000, content_loss=3383232031.2500, style loss=12739381200000000.0000, tv loss=32173534.0000
L-BFGS | iteration: 030, total loss=11314186176954368.0000, content_loss=3344175781.2500, style loss=11314183200000000.0000, tv loss=32424312.0000
L-BFGS | iteration: 031, total loss=10042560177242112.0000, content_loss=3404407421.8750, style loss=10042557000000000.0000, tv loss=32823300.0000
L-BFGS | iteration: 032, total loss=9114933140652032.0000, content_loss=3341804687.5000, style loss=9114929400000000.0000, tv loss=32674590.0000
L-BFGS | iteration: 033, total loss=8148538118635520.0000, content_loss=3525838671.8750, style loss=8148534600000000.0000, tv loss=33382964.0000
L-BFGS | iteration: 034, total loss=7347395184558080.0000, content_loss=3508198437.5000, style loss=7347391200000000.0000, tv loss=33474804.0000
L-BFGS | iteration: 035, total loss=7963080893923328.0000, content_loss=3530257031.2500, style loss=7963077000000000.0000, tv loss=33836312.0000
L-BFGS | iteration: 036, total loss=7058924779864064.0000, content_loss=3516030468.7500, style loss=7058920800000000.0000, tv loss=33605392.0000
L-BFGS | iteration: 037, total loss=6500836729421824.0000, content_loss=3522599609.3750, style loss=6500833200000000.0000, tv loss=33717376.0000
L-BFGS | iteration: 038, total loss=5805382203080704.0000, content_loss=3558543750.0000, style loss=5805378600000000.0000, tv loss=33912780.0000
L-BFGS | iteration: 039, total loss=5412704080625664.0000, content_loss=3627581640.6250, style loss=5412700200000000.0000, tv loss=34210960.0000
L-BFGS | iteration: 040, total loss=5457231617196032.0000, content_loss=3687946484.3750, style loss=5457228000000000.0000, tv loss=34598024.0000
L-BFGS | iteration: 041, total loss=5226594020884480.0000, content_loss=3660507812.5000, style loss=5226590400000000.0000, tv loss=34404064.0000
