C:\Users\user\AppData\Roaming\Python\Python313\site-packages\torchvision\models\_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
C:\Users\user\AppData\Roaming\Python\Python313\site-packages\torchvision\models\_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=VGG19_Weights.IMAGENET1K_V1`. You can also use `weights=VGG19_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
Using VGG19 in the optimization procedure.
L-BFGS | iteration: 000, total loss=1424053046870016.0000, content_loss=      0.0000, style loss=1424053050000000.0000, tv loss=3956215.0000
L-BFGS | iteration: 001, total loss=1424042846322688.0000, content_loss=     35.7677, style loss=1424042850000000.0000, tv loss=3956216.0000
L-BFGS | iteration: 002, total loss=1424015197470720.0000, content_loss=     47.3012, style loss=1424015250000000.0000, tv loss=3956219.2500
L-BFGS | iteration: 003, total loss=1423799912235008.0000, content_loss=     85.9327, style loss=1423799850000000.0000, tv loss=3956238.5000
L-BFGS | iteration: 004, total loss=1422812203974656.0000, content_loss=    364.2207, style loss=1422812250000000.0000, tv loss=3956344.5000
L-BFGS | iteration: 005, total loss=1417243510439936.0000, content_loss=   7512.9338, style loss=1417243500000000.0000, tv loss=3956927.2500
L-BFGS | iteration: 006, total loss=1386824270348288.0000, content_loss= 220372.5338, style loss=1386824250000000.0000, tv loss=3960135.5000
L-BFGS | iteration: 007, total loss=1240645863735296.0000, content_loss=5001762.3901, style loss=1240645800000000.0000, tv loss=3977817.0000
L-BFGS | iteration: 008, total loss=757636458872832.0000, content_loss=97861932.3730, style loss=757636425000000.0000, tv loss=4157540.0000
L-BFGS | iteration: 009, total loss=594096519380992.0000, content_loss=139274414.0625, style loss=594096412500000.0000, tv loss=4239088.0000
L-BFGS | iteration: 010, total loss=432145852006400.0000, content_loss=229170605.4688, style loss=432145612500000.0000, tv loss=4410402.5000
L-BFGS | iteration: 011, total loss=336653965066240.0000, content_loss=296538110.3516, style loss=336653662500000.0000, tv loss=4483172.5000
L-BFGS | iteration: 012, total loss=272943846260736.0000, content_loss=345771118.1641, style loss=272943487500000.0000, tv loss=4565185.0000
L-BFGS | iteration: 013, total loss=219315894747136.0000, content_loss=386547827.1484, style loss=219315506250000.0000, tv loss=4618062.5000
L-BFGS | iteration: 014, total loss=170167342465024.0000, content_loss=425735937.5000, style loss=170166918750000.0000, tv loss=4710368.0000
L-BFGS | iteration: 015, total loss=162558354915328.0000, content_loss=451978369.1406, style loss=162557906250000.0000, tv loss=4785949.0000
L-BFGS | iteration: 016, total loss=131635051757568.0000, content_loss=450457080.0781, style loss=131634590625000.0000, tv loss=4778134.0000
