C:\Users\user\AppData\Roaming\Python\Python313\site-packages\torchvision\models\_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
C:\Users\user\AppData\Roaming\Python\Python313\site-packages\torchvision\models\_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=VGG19_Weights.IMAGENET1K_V1`. You can also use `weights=VGG19_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
Using VGG19 in the optimization procedure.
L-BFGS | iteration: 000, total loss=423420312948834304.0000, content_loss=      0.0000, style loss=423420326400000000.0000, tv loss=13714633.0000
L-BFGS | iteration: 001, total loss=423420278589095936.0000, content_loss=     66.3226, style loss=423420288000000000.0000, tv loss=13714633.0000
L-BFGS | iteration: 002, total loss=423420141150142464.0000, content_loss=     89.2909, style loss=423420134400000000.0000, tv loss=13714638.0000
L-BFGS | iteration: 003, total loss=423419316516421632.0000, content_loss=    110.7897, style loss=423419328000000000.0000, tv loss=13714659.0000
L-BFGS | iteration: 004, total loss=423414677951741952.0000, content_loss=    157.9749, style loss=423414681600000000.0000, tv loss=13714779.0000
L-BFGS | iteration: 005, total loss=423387671197384704.0000, content_loss=    496.5895, style loss=423387686400000000.0000, tv loss=13715434.0000
L-BFGS | iteration: 006, total loss=423238927889989632.0000, content_loss=   8205.5986, style loss=423238924800000000.0000, tv loss=13719046.0000
L-BFGS | iteration: 007, total loss=422425804681510912.0000, content_loss= 225930.3570, style loss=422425804800000000.0000, tv loss=13738924.0000
L-BFGS | iteration: 008, total loss=418109774865891328.0000, content_loss=5075392.5323, style loss=418109760000000000.0000, tv loss=13850168.0000
L-BFGS | iteration: 009, total loss=398786270324588544.0000, content_loss=75168847.6562, style loss=398786265600000000.0000, tv loss=14651862.0000
L-BFGS | iteration: 010, total loss=301969701653708800.0000, content_loss=693658593.7500, style loss=301969708800000000.0000, tv loss=22300580.0000
L-BFGS | iteration: 011, total loss=1251633184647413760.0000, content_loss=5793268359.3750, style loss=1251633177600000000.0000, tv loss=65243372.0000
L-BFGS | iteration: 012, total loss=198765520181264384.0000, content_loss=2174866992.1875, style loss=198765523200000000.0000, tv loss=37223208.0000
L-BFGS | iteration: 013, total loss=155767984105717760.0000, content_loss=2829993750.0000, style loss=155767987200000000.0000, tv loss=43758244.0000
L-BFGS | iteration: 014, total loss=119993586589630464.0000, content_loss=2631820898.4375, style loss=119993587200000000.0000, tv loss=44468496.0000
L-BFGS | iteration: 015, total loss=97709904688578560.0000, content_loss=3094379101.5625, style loss=97709904000000000.0000, tv loss=49213736.0000
L-BFGS | iteration: 016, total loss=80331032489885696.0000, content_loss=3414750781.2500, style loss=80331028800000000.0000, tv loss=53056520.0000
L-BFGS | iteration: 017, total loss=67113627118731264.0000, content_loss=3366055859.3750, style loss=67113624000000000.0000, tv loss=54013960.0000
L-BFGS | iteration: 018, total loss=57429579672846336.0000, content_loss=3506007812.5000, style loss=57429576000000000.0000, tv loss=55667784.0000
