C:\Users\user\AppData\Roaming\Python\Python313\site-packages\torchvision\models\_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
C:\Users\user\AppData\Roaming\Python\Python313\site-packages\torchvision\models\_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=VGG19_Weights.IMAGENET1K_V1`. You can also use `weights=VGG19_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
Using VGG19 in the optimization procedure.
L-BFGS | iteration: 000, total loss=76547733237792768.0000, content_loss=      0.0000, style loss=76547736000000000.0000, tv loss=3956215.0000
L-BFGS | iteration: 001, total loss=76547750417661952.0000, content_loss=     34.9502, style loss=76547750400000000.0000, tv loss=3956216.0000
L-BFGS | iteration: 002, total loss=76547750417661952.0000, content_loss=     29.4653, style loss=76547750400000000.0000, tv loss=3956215.0000
L-BFGS | iteration: 003, total loss=76547724647858176.0000, content_loss=     24.5603, style loss=76547726400000000.0000, tv loss=3956215.0000
L-BFGS | iteration: 004, total loss=76547750417661952.0000, content_loss=     27.2963, style loss=76547750400000000.0000, tv loss=3956215.0000
L-BFGS | iteration: 005, total loss=76547724647858176.0000, content_loss=     24.9218, style loss=76547726400000000.0000, tv loss=3956215.0000
L-BFGS | iteration: 006, total loss=76547741827727360.0000, content_loss=     24.8169, style loss=76547745600000000.0000, tv loss=3956215.0000
L-BFGS | iteration: 007, total loss=76547750417661952.0000, content_loss=     24.4372, style loss=76547750400000000.0000, tv loss=3956215.0000
L-BFGS | iteration: 008, total loss=76547733237792768.0000, content_loss=     24.4838, style loss=76547736000000000.0000, tv loss=3956215.0000
L-BFGS | iteration: 009, total loss=76547724647858176.0000, content_loss=     24.7406, style loss=76547726400000000.0000, tv loss=3956215.0000
L-BFGS | iteration: 010, total loss=76547724647858176.0000, content_loss=     24.8173, style loss=76547726400000000.0000, tv loss=3956215.0000
L-BFGS | iteration: 011, total loss=76547733237792768.0000, content_loss=     24.5034, style loss=76547736000000000.0000, tv loss=3956215.0000
L-BFGS | iteration: 012, total loss=76547733237792768.0000, content_loss=     24.5650, style loss=76547736000000000.0000, tv loss=3956215.0000
L-BFGS | iteration: 013, total loss=76547724647858176.0000, content_loss=     24.6501, style loss=76547726400000000.0000, tv loss=3956215.0000
L-BFGS | iteration: 014, total loss=76547724647858176.0000, content_loss=     24.5603, style loss=76547726400000000.0000, tv loss=3956215.0000
L-BFGS | iteration: 015, total loss=76547724647858176.0000, content_loss=     24.5603, style loss=76547726400000000.0000, tv loss=3956215.0000
L-BFGS | iteration: 016, total loss=76547724647858176.0000, content_loss=     24.5603, style loss=76547726400000000.0000, tv loss=3956215.0000
L-BFGS | iteration: 017, total loss=76547724647858176.0000, content_loss=     24.5603, style loss=76547726400000000.0000, tv loss=3956215.0000
L-BFGS | iteration: 018, total loss=76547724647858176.0000, content_loss=     24.5603, style loss=76547726400000000.0000, tv loss=3956215.0000
L-BFGS | iteration: 019, total loss=76547200661848064.0000, content_loss=     59.5683, style loss=76547198400000000.0000, tv loss=3956229.5000
L-BFGS | iteration: 020, total loss=76544211364610048.0000, content_loss=    110.1709, style loss=76544212800000000.0000, tv loss=3956294.5000
L-BFGS | iteration: 021, total loss=76542433248149504.0000, content_loss=    143.2561, style loss=76542436800000000.0000, tv loss=3956339.7500
L-BFGS | iteration: 022, total loss=76520855332454400.0000, content_loss=   1451.4899, style loss=76520856000000000.0000, tv loss=3956902.2500
L-BFGS | iteration: 023, total loss=76111716747837440.0000, content_loss= 433028.3642, style loss=76111713600000000.0000, tv loss=3969308.0000
L-BFGS | iteration: 024, total loss=74608100237115392.0000, content_loss=10099391.1743, style loss=74608099200000000.0000, tv loss=4041607.2500
L-BFGS | iteration: 025, total loss=71260710100795392.0000, content_loss=47769485.4736, style loss=71260708800000000.0000, tv loss=4285535.0000
L-BFGS | iteration: 026, total loss=59543811684040704.0000, content_loss=232003759.7656, style loss=59543812800000000.0000, tv loss=5695316.5000
L-BFGS | iteration: 027, total loss=126948925348249600.0000, content_loss=1951298632.8125, style loss=126948921600000000.0000, tv loss=16237502.0000
L-BFGS | iteration: 028, total loss=41465276427927552.0000, content_loss=802912451.1719, style loss=41465275200000000.0000, tv loss=9993224.0000
L-BFGS | iteration: 029, total loss=33282451048497152.0000, content_loss=1036393750.0000, style loss=33282451200000000.0000, tv loss=11592293.0000
L-BFGS | iteration: 030, total loss=21343021786202112.0000, content_loss=1194576757.8125, style loss=21343020000000000.0000, tv loss=12062384.0000
L-BFGS | iteration: 031, total loss=15765739390631936.0000, content_loss=1409637695.3125, style loss=15765738000000000.0000, tv loss=12262501.0000
L-BFGS | iteration: 032, total loss=11953732577132544.0000, content_loss=1401219140.6250, style loss=11953731600000000.0000, tv loss=12358919.0000
L-BFGS | iteration: 033, total loss=10241246438096896.0000, content_loss=1732724609.3750, style loss=10241244000000000.0000, tv loss=13158913.0000
L-BFGS | iteration: 034, total loss=8745164910624768.0000, content_loss=1486086718.7500, style loss=8745163200000000.0000, tv loss=12828028.0000
L-BFGS | iteration: 035, total loss=7782249348988928.0000, content_loss=1583730175.7812, style loss=7782247800000000.0000, tv loss=13090619.0000
L-BFGS | iteration: 036, total loss=6782771267633152.0000, content_loss=1707765234.3750, style loss=6782769600000000.0000, tv loss=13409073.0000
L-BFGS | iteration: 037, total loss=5916149946515456.0000, content_loss=1693069726.5625, style loss=5916148200000000.0000, tv loss=13524979.0000
L-BFGS | iteration: 038, total loss=5126311366361088.0000, content_loss=1708344726.5625, style loss=5126310000000000.0000, tv loss=13799944.0000
L-BFGS | iteration: 039, total loss=4494119560806400.0000, content_loss=1784408789.0625, style loss=4494117600000000.0000, tv loss=14199022.0000
L-BFGS | iteration: 040, total loss=4034370960621568.0000, content_loss=1718373437.5000, style loss=4034369400000000.0000, tv loss=14189076.0000
L-BFGS | iteration: 041, total loss=3675627911643136.0000, content_loss=1818035937.5000, style loss=3675626100000000.0000, tv loss=14353890.0000
L-BFGS | iteration: 042, total loss=3462020665966592.0000, content_loss=1805300000.0000, style loss=3462018900000000.0000, tv loss=14391906.0000
L-BFGS | iteration: 043, total loss=3175408371499008.0000, content_loss=1790645312.5000, style loss=3175406400000000.0000, tv loss=14421217.0000
L-BFGS | iteration: 044, total loss=2954473643180032.0000, content_loss=1880876757.8125, style loss=2954471700000000.0000, tv loss=14545201.0000
L-BFGS | iteration: 045, total loss=2840945577951232.0000, content_loss=1803076953.1250, style loss=2840943600000000.0000, tv loss=14490690.0000
L-BFGS | iteration: 046, total loss=2720032316456960.0000, content_loss=1833043945.3125, style loss=2720030400000000.0000, tv loss=14497349.0000
L-BFGS | iteration: 047, total loss=2570548395638784.0000, content_loss=1866753710.9375, style loss=2570546400000000.0000, tv loss=14646174.0000
L-BFGS | iteration: 048, total loss=2422692804296704.0000, content_loss=1854346875.0000, style loss=2422690800000000.0000, tv loss=14665617.0000
L-BFGS | iteration: 049, total loss=2286528650805248.0000, content_loss=1892173437.5000, style loss=2286526650000000.0000, tv loss=14770286.0000
L-BFGS | iteration: 050, total loss=2185047834624000.0000, content_loss=1855516992.1875, style loss=2185045950000000.0000, tv loss=14747994.0000
L-BFGS | iteration: 051, total loss=2100510530207744.0000, content_loss=1896164453.1250, style loss=2100508650000000.0000, tv loss=14746824.0000
L-BFGS | iteration: 052, total loss=2054231318069248.0000, content_loss=1860950585.9375, style loss=2054229450000000.0000, tv loss=14838909.0000
L-BFGS | iteration: 053, total loss=1971314290065408.0000, content_loss=1895925195.3125, style loss=1971312450000000.0000, tv loss=14862723.0000
L-BFGS | iteration: 054, total loss=1909597757505536.0000, content_loss=1893660742.1875, style loss=1909595850000000.0000, tv loss=14817226.0000
L-BFGS | iteration: 055, total loss=1837448615165952.0000, content_loss=1881983984.3750, style loss=1837446750000000.0000, tv loss=14972723.0000
L-BFGS | iteration: 056, total loss=1767920610836480.0000, content_loss=1919566015.6250, style loss=1767918750000000.0000, tv loss=14933855.0000
L-BFGS | iteration: 057, total loss=1717553395138560.0000, content_loss=1893054687.5000, style loss=1717551450000000.0000, tv loss=14995985.0000
L-BFGS | iteration: 058, total loss=1668827125383168.0000, content_loss=1909420312.5000, style loss=1668825300000000.0000, tv loss=15055928.0000
L-BFGS | iteration: 059, total loss=1643030075408384.0000, content_loss=1877246679.6875, style loss=1643028150000000.0000, tv loss=15030660.0000
L-BFGS | iteration: 060, total loss=1590292574633984.0000, content_loss=1914028125.0000, style loss=1590290700000000.0000, tv loss=15066475.0000
L-BFGS | iteration: 061, total loss=1556271467593728.0000, content_loss=1918605078.1250, style loss=1556269650000000.0000, tv loss=15129440.0000
L-BFGS | iteration: 062, total loss=1508787919781888.0000, content_loss=1898619531.2500, style loss=1508786100000000.0000, tv loss=15176185.0000
L-BFGS | iteration: 063, total loss=1466815486099456.0000, content_loss=1932117187.5000, style loss=1466813550000000.0000, tv loss=15243980.0000
L-BFGS | iteration: 064, total loss=1436237600653312.0000, content_loss=1914902148.4375, style loss=1436235750000000.0000, tv loss=15230921.0000
L-BFGS | iteration: 065, total loss=1393990289063936.0000, content_loss=1909919140.6250, style loss=1393988400000000.0000, tv loss=15298712.0000
L-BFGS | iteration: 066, total loss=1353071732981760.0000, content_loss=1928967773.4375, style loss=1353069900000000.0000, tv loss=15320945.0000
L-BFGS | iteration: 067, total loss=1321759139692544.0000, content_loss=1917120507.8125, style loss=1321757250000000.0000, tv loss=15461376.0000
L-BFGS | iteration: 068, total loss=1280327871889408.0000, content_loss=1933904492.1875, style loss=1280326050000000.0000, tv loss=15430351.0000
L-BFGS | iteration: 069, total loss=1246908060270592.0000, content_loss=1939567578.1250, style loss=1246906125000000.0000, tv loss=15522432.0000
L-BFGS | iteration: 070, total loss=1214476225347584.0000, content_loss=1916998828.1250, style loss=1214474325000000.0000, tv loss=15521164.0000
L-BFGS | iteration: 071, total loss=1189499648344064.0000, content_loss=1954868359.3750, style loss=1189497600000000.0000, tv loss=15594353.0000
L-BFGS | iteration: 072, total loss=1169096674639872.0000, content_loss=1943272656.2500, style loss=1169094825000000.0000, tv loss=15604300.0000
L-BFGS | iteration: 073, total loss=1142987836882944.0000, content_loss=1933562500.0000, style loss=1142985975000000.0000, tv loss=15615233.0000
L-BFGS | iteration: 074, total loss=1115849482043392.0000, content_loss=1948663476.5625, style loss=1115847525000000.0000, tv loss=15670590.0000
L-BFGS | iteration: 075, total loss=1089006137769984.0000, content_loss=1947429687.5000, style loss=1089004200000000.0000, tv loss=15723760.0000
L-BFGS | iteration: 076, total loss=1057159894794240.0000, content_loss=1946281640.6250, style loss=1057157925000000.0000, tv loss=15814626.0000
L-BFGS | iteration: 077, total loss=1027420266168320.0000, content_loss=1959935156.2500, style loss=1027418325000000.0000, tv loss=15842068.0000
L-BFGS | iteration: 078, total loss=1010225096163328.0000, content_loss=1939101171.8750, style loss=1010223150000000.0000, tv loss=15931120.0000
L-BFGS | iteration: 079, total loss=988091519074304.0000, content_loss=1957327148.4375, style loss=988089600000000.0000, tv loss=15912780.0000
L-BFGS | iteration: 080, total loss=969365662990336.0000, content_loss=1959087109.3750, style loss=969363750000000.0000, tv loss=15949646.0000
L-BFGS | iteration: 081, total loss=945665093926912.0000, content_loss=1955126757.8125, style loss=945663150000000.0000, tv loss=15985184.0000
L-BFGS | iteration: 082, total loss=923691839913984.0000, content_loss=1970482617.1875, style loss=923689875000000.0000, tv loss=16140929.0000
L-BFGS | iteration: 083, total loss=910701442891776.0000, content_loss=1950388671.8750, style loss=910699500000000.0000, tv loss=15975126.0000
L-BFGS | iteration: 084, total loss=889178757791744.0000, content_loss=1971578906.2500, style loss=889176825000000.0000, tv loss=16074639.0000
L-BFGS | iteration: 085, total loss=880436687405056.0000, content_loss=1957864843.7500, style loss=880434750000000.0000, tv loss=16272532.0000
L-BFGS | iteration: 086, total loss=860385565474816.0000, content_loss=1973341601.5625, style loss=860383650000000.0000, tv loss=16246908.0000
L-BFGS | iteration: 087, total loss=843507686178816.0000, content_loss=1967912695.3125, style loss=843505725000000.0000, tv loss=16226620.0000
L-BFGS | iteration: 088, total loss=824131209658368.0000, content_loss=1966683789.0625, style loss=824129250000000.0000, tv loss=16265690.0000
L-BFGS | iteration: 089, total loss=803997879369728.0000, content_loss=1976606250.0000, style loss=803995950000000.0000, tv loss=16329454.0000
L-BFGS | iteration: 090, total loss=785289740025856.0000, content_loss=1970425781.2500, style loss=785287800000000.0000, tv loss=16372544.0000
L-BFGS | iteration: 091, total loss=765959971274752.0000, content_loss=1982762304.6875, style loss=765957975000000.0000, tv loss=16425693.0000
L-BFGS | iteration: 092, total loss=759162313113600.0000, content_loss=1952708203.1250, style loss=759160350000000.0000, tv loss=16521608.0000
L-BFGS | iteration: 093, total loss=742227928154112.0000, content_loss=1973164453.1250, style loss=742225950000000.0000, tv loss=16466978.0000
L-BFGS | iteration: 094, total loss=732221392551936.0000, content_loss=1983005859.3750, style loss=732219375000000.0000, tv loss=16513463.0000
L-BFGS | iteration: 095, total loss=717517102252032.0000, content_loss=1976758007.8125, style loss=717515175000000.0000, tv loss=16560228.0000
L-BFGS | iteration: 096, total loss=702288154853376.0000, content_loss=1984649414.0625, style loss=702286125000000.0000, tv loss=16630559.0000
L-BFGS | iteration: 097, total loss=688107447910400.0000, content_loss=1981887695.3125, style loss=688105425000000.0000, tv loss=16593194.0000
L-BFGS | iteration: 098, total loss=672411825471488.0000, content_loss=1977572070.3125, style loss=672409875000000.0000, tv loss=16714977.0000
L-BFGS | iteration: 099, total loss=659485114761216.0000, content_loss=1996516210.9375, style loss=659483100000000.0000, tv loss=16688344.0000
L-BFGS | iteration: 100, total loss=651763635978240.0000, content_loss=1969962304.6875, style loss=651761700000000.0000, tv loss=16750286.0000
L-BFGS | iteration: 101, total loss=640614370639872.0000, content_loss=1982103906.2500, style loss=640612350000000.0000, tv loss=16770020.0000
L-BFGS | iteration: 102, total loss=631492933844992.0000, content_loss=1986304492.1875, style loss=631490925000000.0000, tv loss=16776088.0000
L-BFGS | iteration: 103, total loss=618219807178752.0000, content_loss=1982928320.3125, style loss=618217762500000.0000, tv loss=16831564.0000
L-BFGS | iteration: 104, total loss=604019772882944.0000, content_loss=1992596679.6875, style loss=604017787500000.0000, tv loss=16858464.0000
L-BFGS | iteration: 105, total loss=591687311163392.0000, content_loss=1988184179.6875, style loss=591685312500000.0000, tv loss=16878896.0000
L-BFGS | iteration: 106, total loss=577655384571904.0000, content_loss=1994616406.2500, style loss=577653375000000.0000, tv loss=16926578.0000
L-BFGS | iteration: 107, total loss=567102314381312.0000, content_loss=1981797851.5625, style loss=567100312500000.0000, tv loss=16945906.0000
L-BFGS | iteration: 108, total loss=558298134740992.0000, content_loss=2002436132.8125, style loss=558296100000000.0000, tv loss=16944096.0000
L-BFGS | iteration: 109, total loss=551716600676352.0000, content_loss=1991045312.5000, style loss=551714587500000.0000, tv loss=17040202.0000
L-BFGS | iteration: 110, total loss=542315621908480.0000, content_loss=1989936132.8125, style loss=542313600000000.0000, tv loss=17014672.0000
L-BFGS | iteration: 111, total loss=531125051064320.0000, content_loss=1997587109.3750, style loss=531123000000000.0000, tv loss=17056376.0000
L-BFGS | iteration: 112, total loss=520437696036864.0000, content_loss=1994159570.3125, style loss=520435687500000.0000, tv loss=17037512.0000
L-BFGS | iteration: 113, total loss=509120322994176.0000, content_loss=1997657421.8750, style loss=509118262500000.0000, tv loss=17138430.0000
L-BFGS | iteration: 114, total loss=498973563420672.0000, content_loss=2000412109.3750, style loss=498971512500000.0000, tv loss=17064150.0000
L-BFGS | iteration: 115, total loss=488918508109824.0000, content_loss=1996642187.5000, style loss=488916450000000.0000, tv loss=17164056.0000
L-BFGS | iteration: 116, total loss=480540805300224.0000, content_loss=2012870117.1875, style loss=480538762500000.0000, tv loss=17195590.0000
L-BFGS | iteration: 117, total loss=480220125593600.0000, content_loss=1984295117.1875, style loss=480218100000000.0000, tv loss=17210586.0000
L-BFGS | iteration: 118, total loss=476032096272384.0000, content_loss=1998813476.5625, style loss=476030062500000.0000, tv loss=17201372.0000
L-BFGS | iteration: 119, total loss=470400588840960.0000, content_loss=1998266601.5625, style loss=470398537500000.0000, tv loss=17175976.0000
L-BFGS | iteration: 120, total loss=461033902702592.0000, content_loss=1998263671.8750, style loss=461031862500000.0000, tv loss=17196156.0000
L-BFGS | iteration: 121, total loss=451598933295104.0000, content_loss=2004579492.1875, style loss=451596900000000.0000, tv loss=17243432.0000
L-BFGS | iteration: 122, total loss=442606244855808.0000, content_loss=2009559375.0000, style loss=442604212500000.0000, tv loss=17262940.0000
