C:\Users\user\AppData\Roaming\Python\Python313\site-packages\torchvision\models\_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
C:\Users\user\AppData\Roaming\Python\Python313\site-packages\torchvision\models\_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=VGG19_Weights.IMAGENET1K_V1`. You can also use `weights=VGG19_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
Using VGG19 in the optimization procedure.
L-BFGS | iteration: 000, total loss=114429602486550528.0000, content_loss=      0.0000, style loss=114429600000000000.0000, tv loss=5634247.0000
L-BFGS | iteration: 001, total loss=114429568126812160.0000, content_loss=     41.7344, style loss=114429571200000000.0000, tv loss=5634248.0000
L-BFGS | iteration: 002, total loss=114429439277793280.0000, content_loss=     54.3236, style loss=114429436800000000.0000, tv loss=5634254.0000
L-BFGS | iteration: 003, total loss=114428743493091328.0000, content_loss=     72.9937, style loss=114428745600000000.0000, tv loss=5634287.0000
L-BFGS | iteration: 004, total loss=114424860842655744.0000, content_loss=    129.4427, style loss=114424857600000000.0000, tv loss=5634466.0000
L-BFGS | iteration: 005, total loss=114403798323036160.0000, content_loss=   1069.6972, style loss=114403795200000000.0000, tv loss=5635453.5000
L-BFGS | iteration: 006, total loss=114287859975847936.0000, content_loss=  27145.3291, style loss=114287856000000000.0000, tv loss=5640887.0000
L-BFGS | iteration: 007, total loss=113660150505537536.0000, content_loss= 705678.5583, style loss=113660150400000000.0000, tv loss=5670793.5000
L-BFGS | iteration: 008, total loss=110868146885230592.0000, content_loss=10703624.7253, style loss=110868144000000000.0000, tv loss=5843611.0000
L-BFGS | iteration: 009, total loss=99576291316989952.0000, content_loss=120146936.0352, style loss=99576288000000000.0000, tv loss=7119703.0000
L-BFGS | iteration: 010, total loss=70463310767587328.0000, content_loss=434614648.4375, style loss=70463308800000000.0000, tv loss=11532815.0000
L-BFGS | iteration: 011, total loss=987476271988473856.0000, content_loss=3780644921.8750, style loss=987476275200000000.0000, tv loss=42204968.0000
L-BFGS | iteration: 012, total loss=40121432700616704.0000, content_loss=1169983691.4062, style loss=40121431200000000.0000, tv loss=20612696.0000
L-BFGS | iteration: 013, total loss=24100354283012096.0000, content_loss=1317153613.2812, style loss=24100351200000000.0000, tv loss=21829150.0000
L-BFGS | iteration: 014, total loss=17452567395041280.0000, content_loss=1350793750.0000, style loss=17452566000000000.0000, tv loss=23154454.0000
L-BFGS | iteration: 015, total loss=9529063551008768.0000, content_loss=1398237011.7188, style loss=9529062000000000.0000, tv loss=25363976.0000
L-BFGS | iteration: 016, total loss=6044008438562816.0000, content_loss=1392682128.9062, style loss=6044007000000000.0000, tv loss=25670728.0000
L-BFGS | iteration: 017, total loss=10036659965919232.0000, content_loss=1731201171.8750, style loss=10036657800000000.0000, tv loss=29142688.0000
L-BFGS | iteration: 018, total loss=4929838087405568.0000, content_loss=1505061914.0625, style loss=4929836700000000.0000, tv loss=26841060.0000
L-BFGS | iteration: 019, total loss=4207836099772416.0000, content_loss=1491082128.9062, style loss=4207834500000000.0000, tv loss=26962372.0000
L-BFGS | iteration: 020, total loss=2789321413230592.0000, content_loss=1497895507.8125, style loss=2789319900000000.0000, tv loss=27381600.0000
L-BFGS | iteration: 021, total loss=2117206276046848.0000, content_loss=1589138085.9375, style loss=2117204700000000.0000, tv loss=27705620.0000
L-BFGS | iteration: 022, total loss=1773855718768640.0000, content_loss=1619458300.7812, style loss=1773854100000000.0000, tv loss=28243768.0000
L-BFGS | iteration: 023, total loss=1577801199124480.0000, content_loss=1582561328.1250, style loss=1577799600000000.0000, tv loss=27950814.0000
L-BFGS | iteration: 024, total loss=1408787122487296.0000, content_loss=1607008300.7812, style loss=1408785450000000.0000, tv loss=28108816.0000
L-BFGS | iteration: 025, total loss=1213230953267200.0000, content_loss=1685592578.1250, style loss=1213229175000000.0000, tv loss=28694780.0000
L-BFGS | iteration: 026, total loss=1053898001350656.0000, content_loss=1672460351.5625, style loss=1053896325000000.0000, tv loss=28467742.0000
L-BFGS | iteration: 027, total loss=956861201252352.0000, content_loss=1673750195.3125, style loss=956859525000000.0000, tv loss=28578468.0000
L-BFGS | iteration: 028, total loss=862193813815296.0000, content_loss=1682057421.8750, style loss=862192125000000.0000, tv loss=28965908.0000
L-BFGS | iteration: 029, total loss=744917517205504.0000, content_loss=1653110546.8750, style loss=744915825000000.0000, tv loss=28776468.0000
L-BFGS | iteration: 030, total loss=672509737304064.0000, content_loss=1659849414.0625, style loss=672508050000000.0000, tv loss=28893392.0000
L-BFGS | iteration: 031, total loss=585958428770304.0000, content_loss=1696721679.6875, style loss=585956775000000.0000, tv loss=29218418.0000
L-BFGS | iteration: 032, total loss=527163816148992.0000, content_loss=1693144726.5625, style loss=527162100000000.0000, tv loss=28994302.0000
L-BFGS | iteration: 033, total loss=485716979089408.0000, content_loss=1690883007.8125, style loss=485715262500000.0000, tv loss=29123582.0000
L-BFGS | iteration: 034, total loss=461689589858304.0000, content_loss=1698909570.3125, style loss=461687850000000.0000, tv loss=29225142.0000
L-BFGS | iteration: 035, total loss=423612624404480.0000, content_loss=1704833398.4375, style loss=423610875000000.0000, tv loss=29206544.0000
L-BFGS | iteration: 036, total loss=383838878433280.0000, content_loss=1739594140.6250, style loss=383837100000000.0000, tv loss=29361866.0000
L-BFGS | iteration: 037, total loss=349609096380416.0000, content_loss=1752234960.9375, style loss=349607325000000.0000, tv loss=29267176.0000
L-BFGS | iteration: 038, total loss=329926502776832.0000, content_loss=1767881835.9375, style loss=329924700000000.0000, tv loss=29444328.0000
L-BFGS | iteration: 039, total loss=314851737993216.0000, content_loss=1769074609.3750, style loss=314849925000000.0000, tv loss=29425540.0000
L-BFGS | iteration: 040, total loss=285269915860992.0000, content_loss=1776665234.3750, style loss=285268087500000.0000, tv loss=29454300.0000
L-BFGS | iteration: 041, total loss=262437836161024.0000, content_loss=1791379687.5000, style loss=262436006250000.0000, tv loss=29537940.0000
L-BFGS | iteration: 042, total loss=246872337809408.0000, content_loss=1785524218.7500, style loss=246870525000000.0000, tv loss=29622040.0000
L-BFGS | iteration: 043, total loss=242094388019200.0000, content_loss=1772624023.4375, style loss=242092575000000.0000, tv loss=29435944.0000
L-BFGS | iteration: 044, total loss=225677999603712.0000, content_loss=1785308398.4375, style loss=225676181250000.0000, tv loss=29543902.0000
L-BFGS | iteration: 045, total loss=219409863933952.0000, content_loss=1790746093.7500, style loss=219408037500000.0000, tv loss=29611620.0000
L-BFGS | iteration: 046, total loss=212084478443520.0000, content_loss=1794466015.6250, style loss=212082656250000.0000, tv loss=29652482.0000
L-BFGS | iteration: 047, total loss=198223243247616.0000, content_loss=1801072656.2500, style loss=198221418750000.0000, tv loss=29751602.0000
L-BFGS | iteration: 048, total loss=182393252085760.0000, content_loss=1796157421.8750, style loss=182391431250000.0000, tv loss=29775676.0000
