C:\Users\user\AppData\Roaming\Python\Python313\site-packages\torchvision\models\_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
C:\Users\user\AppData\Roaming\Python\Python313\site-packages\torchvision\models\_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=VGG19_Weights.IMAGENET1K_V1`. You can also use `weights=VGG19_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
Using VGG19 in the optimization procedure.
L-BFGS | iteration: 000, total loss=56332198348849152.0000, content_loss=      0.0000, style loss=56332200000000000.0000, tv loss=5634247.0000
L-BFGS | iteration: 001, total loss=56332198348849152.0000, content_loss=     44.8356, style loss=56332200000000000.0000, tv loss=5634247.5000
L-BFGS | iteration: 002, total loss=56332103859568640.0000, content_loss=     57.9298, style loss=56332104000000000.0000, tv loss=5634251.5000
L-BFGS | iteration: 003, total loss=56331747377283072.0000, content_loss=     76.0945, style loss=56331748800000000.0000, tv loss=5634271.0000
L-BFGS | iteration: 004, total loss=56329745922523136.0000, content_loss=    152.0465, style loss=56329747200000000.0000, tv loss=5634379.0000
L-BFGS | iteration: 005, total loss=56318755101212672.0000, content_loss=   1422.1526, style loss=56318755200000000.0000, tv loss=5634974.0000
L-BFGS | iteration: 006, total loss=56258784472858624.0000, content_loss=  37466.8270, style loss=56258784000000000.0000, tv loss=5638246.0000
L-BFGS | iteration: 007, total loss=55937233156308992.0000, content_loss=1029697.2275, style loss=55937232000000000.0000, tv loss=5656259.0000
L-BFGS | iteration: 008, total loss=54492217179373568.0000, content_loss=18973654.1748, style loss=54492216000000000.0000, tv loss=5761894.0000
L-BFGS | iteration: 009, total loss=49829781071462400.0000, content_loss=163198059.0820, style loss=49829779200000000.0000, tv loss=6669861.0000
L-BFGS | iteration: 010, total loss=42342368879312896.0000, content_loss=487864550.7812, style loss=42342369600000000.0000, tv loss=8769421.0000
L-BFGS | iteration: 011, total loss=32357173359017984.0000, content_loss=1544187304.6875, style loss=32357172000000000.0000, tv loss=15152640.0000
L-BFGS | iteration: 012, total loss=24569575165132800.0000, content_loss=1829877929.6875, style loss=24569572800000000.0000, tv loss=16283702.0000
L-BFGS | iteration: 013, total loss=17607070253580288.0000, content_loss=1981575976.5625, style loss=17607068400000000.0000, tv loss=16594234.0000
L-BFGS | iteration: 014, total loss=14193672912371712.0000, content_loss=2579351953.1250, style loss=14193670800000000.0000, tv loss=18506382.0000
L-BFGS | iteration: 015, total loss=12546183587168256.0000, content_loss=1912723632.8125, style loss=12546181200000000.0000, tv loss=17636774.0000
