C:\Users\user\AppData\Roaming\Python\Python313\site-packages\torchvision\models\_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
C:\Users\user\AppData\Roaming\Python\Python313\site-packages\torchvision\models\_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=VGG19_Weights.IMAGENET1K_V1`. You can also use `weights=VGG19_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
Using VGG19 in the optimization procedure.
L-BFGS | iteration: 000, total loss=8942073055019008.0000, content_loss=      0.0000, style loss=8942073000000000.0000, tv loss=6729606.0000
L-BFGS | iteration: 001, total loss=8942073055019008.0000, content_loss=     18.1650, style loss=8942073000000000.0000, tv loss=6729607.0000
L-BFGS | iteration: 002, total loss=8942052653924352.0000, content_loss=     27.1265, style loss=8942052600000000.0000, tv loss=6729610.5000
L-BFGS | iteration: 003, total loss=8941946890354688.0000, content_loss=     35.8156, style loss=8941947000000000.0000, tv loss=6729630.0000
L-BFGS | iteration: 004, total loss=8941364922286080.0000, content_loss=     71.8111, style loss=8941365000000000.0000, tv loss=6729737.5000
L-BFGS | iteration: 005, total loss=8938163024166912.0000, content_loss=    780.0123, style loss=8938162800000000.0000, tv loss=6730330.0000
L-BFGS | iteration: 006, total loss=8920649221275648.0000, content_loss=  20921.3838, style loss=8920649400000000.0000, tv loss=6733590.0000
L-BFGS | iteration: 007, total loss=8824650796630016.0000, content_loss= 608357.2388, style loss=8824650600000000.0000, tv loss=6751533.0000
L-BFGS | iteration: 008, total loss=8315927489675264.0000, content_loss=14711888.1226, style loss=8315927400000000.0000, tv loss=6854452.5000
L-BFGS | iteration: 009, total loss=6370108125478912.0000, content_loss=162064355.4688, style loss=6370108200000000.0000, tv loss=7694587.0000
L-BFGS | iteration: 010, total loss=7257658822230016.0000, content_loss=814997998.0469, style loss=7257657600000000.0000, tv loss=10775210.0000
L-BFGS | iteration: 011, total loss=5016949150973952.0000, content_loss=477644970.7031, style loss=5016948600000000.0000, tv loss=8998298.0000
L-BFGS | iteration: 012, total loss=3869674802511872.0000, content_loss=616375439.4531, style loss=3869674200000000.0000, tv loss=9872829.0000
L-BFGS | iteration: 013, total loss=2742696322007040.0000, content_loss=799228515.6250, style loss=2742695400000000.0000, tv loss=11086176.0000
L-BFGS | iteration: 014, total loss=2042114812674048.0000, content_loss=822852441.4062, style loss=2042113950000000.0000, tv loss=11502252.0000
L-BFGS | iteration: 015, total loss=1633975344824320.0000, content_loss=994350781.2500, style loss=1633974450000000.0000, tv loss=12077864.0000
L-BFGS | iteration: 016, total loss=1298521890226176.0000, content_loss=883820019.5312, style loss=1298520900000000.0000, tv loss=12037793.0000
L-BFGS | iteration: 017, total loss=1093367811276800.0000, content_loss=997156738.2812, style loss=1093366800000000.0000, tv loss=12270788.0000
L-BFGS | iteration: 018, total loss=905647407235072.0000, content_loss=1035276074.2188, style loss=905646375000000.0000, tv loss=12271036.0000
L-BFGS | iteration: 019, total loss=727146284711936.0000, content_loss=1008695214.8438, style loss=727145250000000.0000, tv loss=12362484.0000
L-BFGS | iteration: 020, total loss=612171083939840.0000, content_loss=1150860058.5938, style loss=612169912500000.0000, tv loss=12398492.0000
L-BFGS | iteration: 021, total loss=561400007098368.0000, content_loss=1011559960.9375, style loss=561399000000000.0000, tv loss=12324630.0000
L-BFGS | iteration: 022, total loss=519522800893952.0000, content_loss=1051317871.0938, style loss=519521775000000.0000, tv loss=12372865.0000
L-BFGS | iteration: 023, total loss=475620484055040.0000, content_loss=1089113769.5312, style loss=475619400000000.0000, tv loss=12382230.0000
L-BFGS | iteration: 024, total loss=422770676596736.0000, content_loss=1091294335.9375, style loss=422769562500000.0000, tv loss=12352495.0000
L-BFGS | iteration: 025, total loss=370768823189504.0000, content_loss=1066026464.8438, style loss=370767750000000.0000, tv loss=12361673.0000
L-BFGS | iteration: 026, total loss=347721659580416.0000, content_loss=1193330566.4062, style loss=347720437500000.0000, tv loss=12427823.0000
L-BFGS | iteration: 027, total loss=318537893675008.0000, content_loss=1120913867.1875, style loss=318536775000000.0000, tv loss=12430756.0000
L-BFGS | iteration: 028, total loss=305945955532800.0000, content_loss=1094991406.2500, style loss=305944856250000.0000, tv loss=12373940.0000
L-BFGS | iteration: 029, total loss=290263922638848.0000, content_loss=1083122070.3125, style loss=290262843750000.0000, tv loss=12507237.0000
L-BFGS | iteration: 030, total loss=267267124232192.0000, content_loss=1101560839.8438, style loss=267266006250000.0000, tv loss=12476474.0000
L-BFGS | iteration: 031, total loss=247987049594880.0000, content_loss=1146620214.8438, style loss=247985887500000.0000, tv loss=12474601.0000
L-BFGS | iteration: 032, total loss=235638028763136.0000, content_loss=1121943457.0312, style loss=235636893750000.0000, tv loss=12429205.0000
L-BFGS | iteration: 033, total loss=224935003815936.0000, content_loss=1122234082.0312, style loss=224933868750000.0000, tv loss=12378615.0000
L-BFGS | iteration: 034, total loss=213950943723520.0000, content_loss=1119262597.6562, style loss=213949800000000.0000, tv loss=12472848.0000
L-BFGS | iteration: 035, total loss=196324314054656.0000, content_loss=1147761816.4062, style loss=196323150000000.0000, tv loss=12368249.0000
L-BFGS | iteration: 036, total loss=188766966775808.0000, content_loss=1121385546.8750, style loss=188765831250000.0000, tv loss=12335416.0000
L-BFGS | iteration: 037, total loss=181776035086336.0000, content_loss=1128902246.0938, style loss=181774893750000.0000, tv loss=12345929.0000
L-BFGS | iteration: 038, total loss=169628995158016.0000, content_loss=1140856054.6875, style loss=169627837500000.0000, tv loss=12358740.0000
L-BFGS | iteration: 039, total loss=161084593930240.0000, content_loss=1157041894.5312, style loss=161083425000000.0000, tv loss=12366131.0000
L-BFGS | iteration: 040, total loss=154021402771456.0000, content_loss=1139260839.8438, style loss=154020253125000.0000, tv loss=12395898.0000
L-BFGS | iteration: 041, total loss=151394963161088.0000, content_loss=1154588378.9062, style loss=151393790625000.0000, tv loss=12325686.0000
L-BFGS | iteration: 042, total loss=145139544621056.0000, content_loss=1155208691.4062, style loss=145138378125000.0000, tv loss=12362299.0000
L-BFGS | iteration: 043, total loss=140723403882496.0000, content_loss=1149460839.8438, style loss=140722246875000.0000, tv loss=12388266.0000
L-BFGS | iteration: 044, total loss=137237433942016.0000, content_loss=1156977441.4062, style loss=137236265625000.0000, tv loss=12384986.0000
L-BFGS | iteration: 045, total loss=129834730651648.0000, content_loss=1142754296.8750, style loss=129833578125000.0000, tv loss=12363670.0000
L-BFGS | iteration: 046, total loss=123369739517952.0000, content_loss=1176563867.1875, style loss=123368559375000.0000, tv loss=12355289.0000
L-BFGS | iteration: 047, total loss=120075960975360.0000, content_loss=1159295214.8438, style loss=120074793750000.0000, tv loss=12338101.0000
L-BFGS | iteration: 048, total loss=117172084932608.0000, content_loss=1153494042.9688, style loss=117170915625000.0000, tv loss=12330402.0000
L-BFGS | iteration: 049, total loss=112170914283520.0000, content_loss=1160362792.9688, style loss=112169746875000.0000, tv loss=12329744.0000
L-BFGS | iteration: 050, total loss=108804666556416.0000, content_loss=1155380273.4375, style loss=108803503125000.0000, tv loss=12250798.0000
L-BFGS | iteration: 051, total loss=107430486736896.0000, content_loss=1168932421.8750, style loss=107429315625000.0000, tv loss=12374316.0000
L-BFGS | iteration: 052, total loss=104788276543488.0000, content_loss=1164919238.2812, style loss=104787103125000.0000, tv loss=12314518.0000
