C:\Users\user\AppData\Roaming\Python\Python313\site-packages\torchvision\models\_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
C:\Users\user\AppData\Roaming\Python\Python313\site-packages\torchvision\models\_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=VGG19_Weights.IMAGENET1K_V1`. You can also use `weights=VGG19_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
Using VGG19 in the optimization procedure.
L-BFGS | iteration: 000, total loss=111255217927880704.0000, content_loss=      0.0000, style loss=111255216000000000.0000, tv loss=6729606.0000
L-BFGS | iteration: 001, total loss=111255200748011520.0000, content_loss=     19.3927, style loss=111255196800000000.0000, tv loss=6729607.0000
L-BFGS | iteration: 002, total loss=111255123438600192.0000, content_loss=     25.7149, style loss=111255120000000000.0000, tv loss=6729612.0000
L-BFGS | iteration: 003, total loss=111254582272720896.0000, content_loss=     33.8242, style loss=111254582400000000.0000, tv loss=6729638.5000
L-BFGS | iteration: 004, total loss=111251283737837568.0000, content_loss=     55.4061, style loss=111251280000000000.0000, tv loss=6729785.0000
L-BFGS | iteration: 005, total loss=111233554112839680.0000, content_loss=    287.8504, style loss=111233558400000000.0000, tv loss=6730589.5000
L-BFGS | iteration: 006, total loss=111135809247117312.0000, content_loss=   6370.7843, style loss=111135811200000000.0000, tv loss=6735019.0000
L-BFGS | iteration: 007, total loss=110594488748998656.0000, content_loss= 184437.9783, style loss=110594486400000000.0000, tv loss=6759397.0000
L-BFGS | iteration: 008, total loss=107558479446671360.0000, content_loss=4807781.9824, style loss=107558476800000000.0000, tv loss=6896260.0000
L-BFGS | iteration: 009, total loss=91041280766771200.0000, content_loss=74121142.5781, style loss=91041283200000000.0000, tv loss=7855193.5000
L-BFGS | iteration: 010, total loss=34145610625974272.0000, content_loss=749128759.7656, style loss=34145611200000000.0000, tv loss=15410644.0000
L-BFGS | iteration: 011, total loss=12636272673685504.0000, content_loss=767752099.6094, style loss=12636271200000000.0000, tv loss=19481872.0000
L-BFGS | iteration: 012, total loss=8533975463100416.0000, content_loss=850636035.1562, style loss=8533974600000000.0000, tv loss=20706328.0000
L-BFGS | iteration: 013, total loss=12105352438874112.0000, content_loss=1281596289.0625, style loss=12105351600000000.0000, tv loss=25785720.0000
L-BFGS | iteration: 014, total loss=5614935836983296.0000, content_loss=1031840625.0000, style loss=5614935000000000.0000, tv loss=22894576.0000
L-BFGS | iteration: 015, total loss=4734425128501248.0000, content_loss=1000446875.0000, style loss=4734423900000000.0000, tv loss=23266668.0000
L-BFGS | iteration: 016, total loss=3275488088817664.0000, content_loss=994841308.5938, style loss=3275487000000000.0000, tv loss=24297546.0000
L-BFGS | iteration: 017, total loss=2444499427000320.0000, content_loss=1036700683.5938, style loss=2444498400000000.0000, tv loss=24489830.0000
L-BFGS | iteration: 018, total loss=1967900462153728.0000, content_loss=1113434863.2812, style loss=1967899350000000.0000, tv loss=24969436.0000
L-BFGS | iteration: 019, total loss=1627374382743552.0000, content_loss=1123619042.9688, style loss=1627373250000000.0000, tv loss=24925208.0000
L-BFGS | iteration: 020, total loss=1358321793630208.0000, content_loss=1170130078.1250, style loss=1358320650000000.0000, tv loss=25256448.0000
L-BFGS | iteration: 021, total loss=1074205009379328.0000, content_loss=1226144042.9688, style loss=1074203775000000.0000, tv loss=25771164.0000
L-BFGS | iteration: 022, total loss=1103143559495680.0000, content_loss=1203359960.9375, style loss=1103142375000000.0000, tv loss=26275168.0000
L-BFGS | iteration: 023, total loss=973333608792064.0000, content_loss=1211847265.6250, style loss=973332375000000.0000, tv loss=25998772.0000
L-BFGS | iteration: 024, total loss=905658010435584.0000, content_loss=1189129589.8438, style loss=905656800000000.0000, tv loss=25814754.0000
L-BFGS | iteration: 025, total loss=806778602258432.0000, content_loss=1217911621.0938, style loss=806777400000000.0000, tv loss=26009428.0000
L-BFGS | iteration: 026, total loss=745876771307520.0000, content_loss=1243794238.2812, style loss=745875525000000.0000, tv loss=26089156.0000
L-BFGS | iteration: 027, total loss=655437577846784.0000, content_loss=1268671777.3438, style loss=655436325000000.0000, tv loss=26066236.0000
L-BFGS | iteration: 028, total loss=590582162391040.0000, content_loss=1273962207.0312, style loss=590580900000000.0000, tv loss=26216634.0000
L-BFGS | iteration: 029, total loss=514510305624064.0000, content_loss=1267410839.8438, style loss=514509000000000.0000, tv loss=26015668.0000
L-BFGS | iteration: 030, total loss=482969743523840.0000, content_loss=1281634472.6562, style loss=482968425000000.0000, tv loss=26085716.0000
L-BFGS | iteration: 031, total loss=456609750843392.0000, content_loss=1291869628.9062, style loss=456608400000000.0000, tv loss=26130204.0000
L-BFGS | iteration: 032, total loss=406466980741120.0000, content_loss=1301350390.6250, style loss=406465650000000.0000, tv loss=26185152.0000
L-BFGS | iteration: 033, total loss=349504104562688.0000, content_loss=1297983105.4688, style loss=349502775000000.0000, tv loss=26219044.0000
L-BFGS | iteration: 034, total loss=330187522703360.0000, content_loss=1318785742.1875, style loss=330186187500000.0000, tv loss=26231184.0000
L-BFGS | iteration: 035, total loss=318737307664384.0000, content_loss=1318298925.7812, style loss=318735975000000.0000, tv loss=26311168.0000
L-BFGS | iteration: 036, total loss=301477679595520.0000, content_loss=1306507910.1562, style loss=301476337500000.0000, tv loss=26179090.0000
L-BFGS | iteration: 037, total loss=289867376361472.0000, content_loss=1312261035.1562, style loss=289866037500000.0000, tv loss=26199760.0000
L-BFGS | iteration: 038, total loss=279359537545216.0000, content_loss=1317736132.8125, style loss=279358181250000.0000, tv loss=26218490.0000
L-BFGS | iteration: 039, total loss=269628735488000.0000, content_loss=1319717187.5000, style loss=269627381250000.0000, tv loss=26209768.0000
L-BFGS | iteration: 040, total loss=248570309509120.0000, content_loss=1323170605.4688, style loss=248568956250000.0000, tv loss=26225742.0000
L-BFGS | iteration: 041, total loss=232349409214464.0000, content_loss=1329664550.7812, style loss=232348050000000.0000, tv loss=26186820.0000
L-BFGS | iteration: 042, total loss=222079722979328.0000, content_loss=1333758691.4062, style loss=222078356250000.0000, tv loss=26250556.0000
L-BFGS | iteration: 043, total loss=212225591607296.0000, content_loss=1333291503.9062, style loss=212224237500000.0000, tv loss=26236598.0000
L-BFGS | iteration: 044, total loss=199406389297152.0000, content_loss=1334177148.4375, style loss=199405012500000.0000, tv loss=26254884.0000
L-BFGS | iteration: 045, total loss=189694075731968.0000, content_loss=1337539355.4688, style loss=189692700000000.0000, tv loss=26256848.0000
L-BFGS | iteration: 046, total loss=178165662089216.0000, content_loss=1339921289.0625, style loss=178164281250000.0000, tv loss=26267788.0000
L-BFGS | iteration: 047, total loss=169266003312640.0000, content_loss=1340855664.0625, style loss=169264631250000.0000, tv loss=26266102.0000
L-BFGS | iteration: 048, total loss=161439381716992.0000, content_loss=1341087988.2812, style loss=161438006250000.0000, tv loss=26302708.0000
L-BFGS | iteration: 049, total loss=152143075999744.0000, content_loss=1339459960.9375, style loss=152141700000000.0000, tv loss=26291814.0000
L-BFGS | iteration: 050, total loss=150517749645312.0000, content_loss=1341581542.9688, style loss=150516375000000.0000, tv loss=26377854.0000
L-BFGS | iteration: 051, total loss=147934444257280.0000, content_loss=1341010839.8438, style loss=147933065625000.0000, tv loss=26339306.0000
L-BFGS | iteration: 052, total loss=142918073450496.0000, content_loss=1344274511.7188, style loss=142916700000000.0000, tv loss=26342588.0000
L-BFGS | iteration: 053, total loss=136626072190976.0000, content_loss=1347970312.5000, style loss=136624696875000.0000, tv loss=26367684.0000
L-BFGS | iteration: 054, total loss=131976459714560.0000, content_loss=1360505371.0938, style loss=131975071875000.0000, tv loss=26379520.0000
L-BFGS | iteration: 055, total loss=127529499230208.0000, content_loss=1362635449.2188, style loss=127528115625000.0000, tv loss=26380010.0000
L-BFGS | iteration: 056, total loss=121245634920448.0000, content_loss=1365834863.2812, style loss=121244240625000.0000, tv loss=26390804.0000
L-BFGS | iteration: 057, total loss=117355602509824.0000, content_loss=1362051855.4688, style loss=117354215625000.0000, tv loss=26387198.0000
L-BFGS | iteration: 058, total loss=114014310891520.0000, content_loss=1363934277.3438, style loss=114012918750000.0000, tv loss=26386884.0000
L-BFGS | iteration: 059, total loss=111173995331584.0000, content_loss=1367306738.2812, style loss=111172603125000.0000, tv loss=26437844.0000
L-BFGS | iteration: 060, total loss=112103444709376.0000, content_loss=1366891406.2500, style loss=112102050000000.0000, tv loss=26361508.0000
L-BFGS | iteration: 061, total loss=108841760980992.0000, content_loss=1366877636.7188, style loss=108840365625000.0000, tv loss=26403598.0000
L-BFGS | iteration: 062, total loss=106991955476480.0000, content_loss=1365286523.4375, style loss=106990565625000.0000, tv loss=26404968.0000
L-BFGS | iteration: 063, total loss=103273168109568.0000, content_loss=1363725878.9062, style loss=103271775000000.0000, tv loss=26429776.0000
L-BFGS | iteration: 064, total loss=100744061517824.0000, content_loss=1364939843.7500, style loss=100742671875000.0000, tv loss=26446952.0000
L-BFGS | iteration: 065, total loss=95651715088384.0000, content_loss=1367998632.8125, style loss=95650321875000.0000, tv loss=26492404.0000
L-BFGS | iteration: 066, total loss=93687564468224.0000, content_loss=1376112011.7188, style loss=93686165625000.0000, tv loss=26518740.0000
L-BFGS | iteration: 067, total loss=90901279932416.0000, content_loss=1372936621.0938, style loss=90899878125000.0000, tv loss=26536480.0000
L-BFGS | iteration: 068, total loss=89023599083520.0000, content_loss=1368824707.0312, style loss=89022206250000.0000, tv loss=26526044.0000
L-BFGS | iteration: 069, total loss=86564201824256.0000, content_loss=1369140917.9688, style loss=86562806250000.0000, tv loss=26552076.0000
L-BFGS | iteration: 070, total loss=83681507016704.0000, content_loss=1365602246.0938, style loss=83680115625000.0000, tv loss=26544774.0000
L-BFGS | iteration: 071, total loss=81969786388480.0000, content_loss=1370512304.6875, style loss=81968390625000.0000, tv loss=26650494.0000
L-BFGS | iteration: 072, total loss=80185101647872.0000, content_loss=1373484863.2812, style loss=80183700000000.0000, tv loss=26622236.0000
L-BFGS | iteration: 073, total loss=78943973539840.0000, content_loss=1372048632.8125, style loss=78942571875000.0000, tv loss=26625994.0000
L-BFGS | iteration: 074, total loss=77346522529792.0000, content_loss=1370955957.0312, style loss=77345132812500.0000, tv loss=26652602.0000
L-BFGS | iteration: 075, total loss=75481063882752.0000, content_loss=1371595703.1250, style loss=75479662500000.0000, tv loss=26672478.0000
L-BFGS | iteration: 076, total loss=72924736258048.0000, content_loss=1375733886.7188, style loss=72923339062500.0000, tv loss=26712640.0000
L-BFGS | iteration: 077, total loss=71389260283904.0000, content_loss=1377166894.5312, style loss=71387859375000.0000, tv loss=26703184.0000
L-BFGS | iteration: 078, total loss=70191086043136.0000, content_loss=1377995312.5000, style loss=70189682812500.0000, tv loss=26713368.0000
L-BFGS | iteration: 079, total loss=68773226741760.0000, content_loss=1379406542.9688, style loss=68771821875000.0000, tv loss=26750696.0000
L-BFGS | iteration: 080, total loss=67507901693952.0000, content_loss=1379537109.3750, style loss=67506496875000.0000, tv loss=26749446.0000
L-BFGS | iteration: 081, total loss=66092839993344.0000, content_loss=1380061621.0938, style loss=66091434375000.0000, tv loss=26808386.0000
L-BFGS | iteration: 082, total loss=64865376927744.0000, content_loss=1379131445.3125, style loss=64863970312500.0000, tv loss=26803928.0000
L-BFGS | iteration: 083, total loss=62967693443072.0000, content_loss=1380325488.2812, style loss=62966287500000.0000, tv loss=26824944.0000
L-BFGS | iteration: 084, total loss=61949584867328.0000, content_loss=1382914453.1250, style loss=61948176562500.0000, tv loss=26835056.0000
L-BFGS | iteration: 085, total loss=60750034894848.0000, content_loss=1384610839.8438, style loss=60748626562500.0000, tv loss=26835824.0000
L-BFGS | iteration: 086, total loss=60009283059712.0000, content_loss=1387744921.8750, style loss=60007870312500.0000, tv loss=26869348.0000
L-BFGS | iteration: 087, total loss=59346767577088.0000, content_loss=1389080761.7188, style loss=59345353125000.0000, tv loss=26853992.0000
L-BFGS | iteration: 088, total loss=58534163120128.0000, content_loss=1390528906.2500, style loss=58532746875000.0000, tv loss=26870728.0000
L-BFGS | iteration: 089, total loss=57078244704256.0000, content_loss=1393107031.2500, style loss=57076828125000.0000, tv loss=26919304.0000
L-BFGS | iteration: 090, total loss=56125814734848.0000, content_loss=1395096679.6875, style loss=56124393750000.0000, tv loss=26924704.0000
L-BFGS | iteration: 091, total loss=54669283950592.0000, content_loss=1397758593.7500, style loss=54667860937500.0000, tv loss=26958800.0000
L-BFGS | iteration: 092, total loss=53583240232960.0000, content_loss=1401954492.1875, style loss=53581814062500.0000, tv loss=26985424.0000
L-BFGS | iteration: 093, total loss=52701698195456.0000, content_loss=1401247656.2500, style loss=52700273437500.0000, tv loss=26983012.0000
L-BFGS | iteration: 094, total loss=52088251875328.0000, content_loss=1402479882.8125, style loss=52086825000000.0000, tv loss=27030152.0000
L-BFGS | iteration: 095, total loss=51335063928832.0000, content_loss=1401465039.0625, style loss=51333637500000.0000, tv loss=27020676.0000
L-BFGS | iteration: 096, total loss=50450791399424.0000, content_loss=1401830761.7188, style loss=50449364062500.0000, tv loss=27032010.0000
L-BFGS | iteration: 097, total loss=49212641247232.0000, content_loss=1405676074.2188, style loss=49211212500000.0000, tv loss=27067390.0000
L-BFGS | iteration: 098, total loss=48364167102464.0000, content_loss=1407800488.2812, style loss=48362732812500.0000, tv loss=27084160.0000
L-BFGS | iteration: 099, total loss=47676351578112.0000, content_loss=1409534667.9688, style loss=47674917187500.0000, tv loss=27085142.0000
L-BFGS | iteration: 100, total loss=46837239119872.0000, content_loss=1411501660.1562, style loss=46835798437500.0000, tv loss=27144140.0000
L-BFGS | iteration: 101, total loss=45891176103936.0000, content_loss=1411740527.3438, style loss=45889739062500.0000, tv loss=27123692.0000
L-BFGS | iteration: 102, total loss=45358742765568.0000, content_loss=1411228808.5938, style loss=45357309375000.0000, tv loss=27136668.0000
L-BFGS | iteration: 103, total loss=44549787353088.0000, content_loss=1410327636.7188, style loss=44548354687500.0000, tv loss=27176648.0000
L-BFGS | iteration: 104, total loss=43996109864960.0000, content_loss=1410671386.7188, style loss=43994676562500.0000, tv loss=27178836.0000
L-BFGS | iteration: 105, total loss=43117860356096.0000, content_loss=1411786328.1250, style loss=43116421875000.0000, tv loss=27207630.0000
L-BFGS | iteration: 106, total loss=42292983365632.0000, content_loss=1408583984.3750, style loss=42291548437500.0000, tv loss=27217406.0000
L-BFGS | iteration: 107, total loss=41558044835840.0000, content_loss=1410086230.4688, style loss=41556609375000.0000, tv loss=27249296.0000
L-BFGS | iteration: 108, total loss=41175750803456.0000, content_loss=1410700488.2812, style loss=41174315625000.0000, tv loss=27240090.0000
L-BFGS | iteration: 109, total loss=40700146089984.0000, content_loss=1410183398.4375, style loss=40698707812500.0000, tv loss=27271108.0000
L-BFGS | iteration: 110, total loss=40184632573952.0000, content_loss=1409973339.8438, style loss=40183195312500.0000, tv loss=27279518.0000
L-BFGS | iteration: 111, total loss=39352910479360.0000, content_loss=1411700488.2812, style loss=39351468750000.0000, tv loss=27291052.0000
