C:\Users\user\AppData\Roaming\Python\Python313\site-packages\torchvision\models\_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
C:\Users\user\AppData\Roaming\Python\Python313\site-packages\torchvision\models\_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=VGG19_Weights.IMAGENET1K_V1`. You can also use `weights=VGG19_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
Using VGG19 in the optimization procedure.
L-BFGS | iteration: 000, total loss=45648647588675584.0000, content_loss=      0.0000, style loss=45648648000000000.0000, tv loss=19590112.0000
L-BFGS | iteration: 001, total loss=45648587459133440.0000, content_loss=     86.2403, style loss=45648585600000000.0000, tv loss=19590112.0000
L-BFGS | iteration: 002, total loss=45648475789983744.0000, content_loss=    112.9444, style loss=45648475200000000.0000, tv loss=19590112.0000
L-BFGS | iteration: 003, total loss=45647840134823936.0000, content_loss=    152.2897, style loss=45647841600000000.0000, tv loss=19590120.0000
L-BFGS | iteration: 004, total loss=45644610319417344.0000, content_loss=    247.1399, style loss=45644611200000000.0000, tv loss=19590160.0000
L-BFGS | iteration: 005, total loss=45626614406447104.0000, content_loss=   1655.0576, style loss=45626616000000000.0000, tv loss=19590372.0000
L-BFGS | iteration: 006, total loss=45528908195430400.0000, content_loss=  39378.7563, style loss=45528907200000000.0000, tv loss=19591550.0000
L-BFGS | iteration: 007, total loss=45036430065401856.0000, content_loss= 840768.1465, style loss=45036432000000000.0000, tv loss=19598034.0000
L-BFGS | iteration: 008, total loss=41264963448209408.0000, content_loss=37133987.4268, style loss=41264961600000000.0000, tv loss=19702500.0000
L-BFGS | iteration: 009, total loss=33591909884624896.0000, content_loss=239496752.9297, style loss=33591909600000000.0000, tv loss=20070180.0000
L-BFGS | iteration: 010, total loss=29734500971839488.0000, content_loss=748020703.1250, style loss=29734500000000000.0000, tv loss=20932480.0000
L-BFGS | iteration: 011, total loss=23501408208683008.0000, content_loss=727300537.1094, style loss=23501407200000000.0000, tv loss=20616362.0000
L-BFGS | iteration: 012, total loss=18381667605413888.0000, content_loss=889854394.5312, style loss=18381667200000000.0000, tv loss=20446488.0000
L-BFGS | iteration: 013, total loss=14078983326924800.0000, content_loss=1170299707.0312, style loss=14078982000000000.0000, tv loss=20579726.0000
L-BFGS | iteration: 014, total loss=11177740434669568.0000, content_loss=1312406054.6875, style loss=11177739600000000.0000, tv loss=20626284.0000
L-BFGS | iteration: 015, total loss=9059575307173888.0000, content_loss=1365533398.4375, style loss=9059574600000000.0000, tv loss=20461472.0000
L-BFGS | iteration: 016, total loss=7644291241345024.0000, content_loss=1485062402.3438, style loss=7644289800000000.0000, tv loss=20515922.0000
L-BFGS | iteration: 017, total loss=6594118587252736.0000, content_loss=1480289550.7812, style loss=6594117000000000.0000, tv loss=20353990.0000
L-BFGS | iteration: 018, total loss=5775454870962176.0000, content_loss=1583691210.9375, style loss=5775453000000000.0000, tv loss=20394948.0000
L-BFGS | iteration: 019, total loss=5143365070880768.0000, content_loss=1598177441.4062, style loss=5143363200000000.0000, tv loss=20254096.0000
L-BFGS | iteration: 020, total loss=4563788762185728.0000, content_loss=1659017773.4375, style loss=4563787200000000.0000, tv loss=20230322.0000
L-BFGS | iteration: 021, total loss=4101145622478848.0000, content_loss=1693565429.6875, style loss=4101144000000000.0000, tv loss=20154338.0000
L-BFGS | iteration: 022, total loss=3714578164744192.0000, content_loss=1736302734.3750, style loss=3714576600000000.0000, tv loss=20101754.0000
L-BFGS | iteration: 023, total loss=3389005685063680.0000, content_loss=1756763671.8750, style loss=3389003700000000.0000, tv loss=20047178.0000
