C:\Users\user\AppData\Roaming\Python\Python313\site-packages\torchvision\models\_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
C:\Users\user\AppData\Roaming\Python\Python313\site-packages\torchvision\models\_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=VGG19_Weights.IMAGENET1K_V1`. You can also use `weights=VGG19_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
Using VGG19 in the optimization procedure.
L-BFGS | iteration: 000, total loss=39179447588356096.0000, content_loss=      0.0000, style loss=39179448000000000.0000, tv loss=19590112.0000
L-BFGS | iteration: 001, total loss=39179443293388800.0000, content_loss=     81.9348, style loss=39179443200000000.0000, tv loss=19590112.0000
L-BFGS | iteration: 002, total loss=39179297264500736.0000, content_loss=    119.1974, style loss=39179296800000000.0000, tv loss=19590116.0000
L-BFGS | iteration: 003, total loss=39178498400583680.0000, content_loss=    157.8543, style loss=39178500000000000.0000, tv loss=19590146.0000
L-BFGS | iteration: 004, total loss=39174310807470080.0000, content_loss=    227.4701, style loss=39174309600000000.0000, tv loss=19590294.0000
L-BFGS | iteration: 005, total loss=39150551048388608.0000, content_loss=    578.0168, style loss=39150552000000000.0000, tv loss=19591114.0000
L-BFGS | iteration: 006, total loss=39021787928854528.0000, content_loss=   7756.3047, style loss=39021789600000000.0000, tv loss=19595636.0000
L-BFGS | iteration: 007, total loss=38318856401321984.0000, content_loss= 209785.0561, style loss=38318858400000000.0000, tv loss=19620516.0000
L-BFGS | iteration: 008, total loss=34630845293658112.0000, content_loss=4951291.6565, style loss=34630845600000000.0000, tv loss=19758746.0000
L-BFGS | iteration: 009, total loss=18807565152419840.0000, content_loss=102928930.6641, style loss=18807565200000000.0000, tv loss=20615668.0000
L-BFGS | iteration: 010, total loss=49398063843770368.0000, content_loss=658443408.2031, style loss=49398062400000000.0000, tv loss=24185772.0000
L-BFGS | iteration: 011, total loss=9226506727325696.0000, content_loss=291131958.0078, style loss=9226506600000000.0000, tv loss=21804296.0000
L-BFGS | iteration: 012, total loss=5966779557871616.0000, content_loss=391519116.2109, style loss=5966779200000000.0000, tv loss=22297268.0000
L-BFGS | iteration: 013, total loss=3106415090597888.0000, content_loss=638684814.4531, style loss=3106414500000000.0000, tv loss=23278804.0000
L-BFGS | iteration: 014, total loss=1949294126956544.0000, content_loss=777466406.2500, style loss=1949293350000000.0000, tv loss=23814754.0000
L-BFGS | iteration: 015, total loss=1622897550426112.0000, content_loss=938552246.0938, style loss=1622896650000000.0000, tv loss=24369294.0000
