C:\Users\user\AppData\Roaming\Python\Python313\site-packages\torchvision\models\_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
C:\Users\user\AppData\Roaming\Python\Python313\site-packages\torchvision\models\_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=VGG19_Weights.IMAGENET1K_V1`. You can also use `weights=VGG19_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
Using VGG19 in the optimization procedure.
L-BFGS | iteration: 000, total loss=122912789961375744.0000, content_loss=      0.0000, style loss=122912793600000000.0000, tv loss=3572966.0000
L-BFGS | iteration: 001, total loss=122912128536412160.0000, content_loss=    152.6275, style loss=122912131200000000.0000, tv loss=3572967.0000
L-BFGS | iteration: 002, total loss=122911827888701440.0000, content_loss=    198.5843, style loss=122911824000000000.0000, tv loss=3572974.5000
L-BFGS | iteration: 003, total loss=122907524331470848.0000, content_loss=    263.6698, style loss=122907523200000000.0000, tv loss=3573011.7500
L-BFGS | iteration: 004, total loss=122889399569481728.0000, content_loss=    481.0898, style loss=122889398400000000.0000, tv loss=3573217.5000
L-BFGS | iteration: 005, total loss=122787024729014272.0000, content_loss=   4975.3156, style loss=122787024000000000.0000, tv loss=3574350.7500
L-BFGS | iteration: 006, total loss=122224667481079808.0000, content_loss= 137108.1948, style loss=122224665600000000.0000, tv loss=3580587.0000
L-BFGS | iteration: 007, total loss=119313779166019584.0000, content_loss=4074638.7482, style loss=119313782400000000.0000, tv loss=3614913.5000
L-BFGS | iteration: 008, total loss=92350412568395776.0000, content_loss=210805224.6094, style loss=92350416000000000.0000, tv loss=4032412.5000
L-BFGS | iteration: 009, total loss=53824332584976384.0000, content_loss=755164550.7812, style loss=53824334400000000.0000, tv loss=5194941.0000
L-BFGS | iteration: 010, total loss=40330288370286592.0000, content_loss=1069169042.9688, style loss=40330286400000000.0000, tv loss=5834498.0000
