C:\Users\user\AppData\Roaming\Python\Python313\site-packages\torchvision\models\_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
C:\Users\user\AppData\Roaming\Python\Python313\site-packages\torchvision\models\_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=VGG19_Weights.IMAGENET1K_V1`. You can also use `weights=VGG19_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
Using VGG19 in the optimization procedure.
L-BFGS | iteration: 000, total loss=116189199048114176.0000, content_loss=      0.0000, style loss=116189203200000000.0000, tv loss=3572966.0000
L-BFGS | iteration: 001, total loss=116188735191646208.0000, content_loss=    140.5980, style loss=116188732800000000.0000, tv loss=3572967.0000
L-BFGS | iteration: 002, total loss=116188331464720384.0000, content_loss=    195.7149, style loss=116188329600000000.0000, tv loss=3572974.5000
L-BFGS | iteration: 003, total loss=116185067289575424.0000, content_loss=    256.3221, style loss=116185065600000000.0000, tv loss=3573012.5000
L-BFGS | iteration: 004, total loss=116169313349533696.0000, content_loss=    487.5856, style loss=116169312000000000.0000, tv loss=3573223.0000
L-BFGS | iteration: 005, total loss=116081610117349376.0000, content_loss=   5271.2217, style loss=116081606400000000.0000, tv loss=3574381.0000
L-BFGS | iteration: 006, total loss=115600453521113088.0000, content_loss= 148260.2596, style loss=115600454400000000.0000, tv loss=3580754.7500
L-BFGS | iteration: 007, total loss=106322722866331648.0000, content_loss=43775738.5254, style loss=106322726400000000.0000, tv loss=3723282.0000
L-BFGS | iteration: 008, total loss=76328629776154624.0000, content_loss=405820874.0234, style loss=76328625600000000.0000, tv loss=4437103.5000
L-BFGS | iteration: 009, total loss=58166170859077632.0000, content_loss=771051416.0156, style loss=58166169600000000.0000, tv loss=5329812.0000
L-BFGS | iteration: 010, total loss=48799740539699200.0000, content_loss=1093635449.2188, style loss=48799742400000000.0000, tv loss=6061265.0000
L-BFGS | iteration: 011, total loss=39446311086325760.0000, content_loss=1595882519.5312, style loss=39446311200000000.0000, tv loss=7453356.0000
L-BFGS | iteration: 012, total loss=32115433272246272.0000, content_loss=2176129882.8125, style loss=32115432000000000.0000, tv loss=9433342.0000
L-BFGS | iteration: 013, total loss=26754914654879744.0000, content_loss=2761136328.1250, style loss=26754912000000000.0000, tv loss=11638550.0000
L-BFGS | iteration: 014, total loss=22552370760122368.0000, content_loss=3246078710.9375, style loss=22552365600000000.0000, tv loss=13815152.0000
L-BFGS | iteration: 015, total loss=18915914292396032.0000, content_loss=3683794531.2500, style loss=18915909600000000.0000, tv loss=15807689.0000
L-BFGS | iteration: 016, total loss=15585338953039872.0000, content_loss=3989046484.3750, style loss=15585334800000000.0000, tv loss=16958936.0000
L-BFGS | iteration: 017, total loss=12733673942024192.0000, content_loss=4101185156.2500, style loss=12733669200000000.0000, tv loss=17420522.0000
L-BFGS | iteration: 018, total loss=10738660559290368.0000, content_loss=4391260546.8750, style loss=10738656000000000.0000, tv loss=18063434.0000
L-BFGS | iteration: 019, total loss=9810506315464704.0000, content_loss=4073434375.0000, style loss=9810502200000000.0000, tv loss=18103674.0000
L-BFGS | iteration: 020, total loss=8481411505848320.0000, content_loss=4335861718.7500, style loss=8481407400000000.0000, tv loss=18621056.0000
L-BFGS | iteration: 021, total loss=7669160712601600.0000, content_loss=4490232031.2500, style loss=7669156200000000.0000, tv loss=18899480.0000
L-BFGS | iteration: 022, total loss=6781274471530496.0000, content_loss=4455057812.5000, style loss=6781270200000000.0000, tv loss=19258368.0000
L-BFGS | iteration: 023, total loss=5949001614491648.0000, content_loss=4611251562.5000, style loss=5948997000000000.0000, tv loss=20142736.0000
L-BFGS | iteration: 024, total loss=5349807505801216.0000, content_loss=4485466796.8750, style loss=5349803400000000.0000, tv loss=20551184.0000
L-BFGS | iteration: 025, total loss=4794662044827648.0000, content_loss=4695046093.7500, style loss=4794657300000000.0000, tv loss=21109712.0000
L-BFGS | iteration: 026, total loss=4501065059794944.0000, content_loss=4667703515.6250, style loss=4501060500000000.0000, tv loss=21167016.0000
L-BFGS | iteration: 027, total loss=4072518054838272.0000, content_loss=4677110937.5000, style loss=4072513500000000.0000, tv loss=21539668.0000
L-BFGS | iteration: 028, total loss=3691086035812352.0000, content_loss=4794774609.3750, style loss=3691081200000000.0000, tv loss=21854394.0000
L-BFGS | iteration: 029, total loss=3517362661752832.0000, content_loss=4659415234.3750, style loss=3517358100000000.0000, tv loss=21790882.0000
L-BFGS | iteration: 030, total loss=3268470112256000.0000, content_loss=4730995312.5000, style loss=3268465200000000.0000, tv loss=21837138.0000
L-BFGS | iteration: 031, total loss=3061078489563136.0000, content_loss=4812665625.0000, style loss=3061073700000000.0000, tv loss=22194064.0000
L-BFGS | iteration: 032, total loss=2836623230238720.0000, content_loss=4801407031.2500, style loss=2836618500000000.0000, tv loss=22278918.0000
L-BFGS | iteration: 033, total loss=2658452149108736.0000, content_loss=4900896093.7500, style loss=2658447300000000.0000, tv loss=22528348.0000
L-BFGS | iteration: 034, total loss=2503877349867520.0000, content_loss=4861316406.2500, style loss=2503872450000000.0000, tv loss=22508688.0000
L-BFGS | iteration: 035, total loss=2382313132392448.0000, content_loss=4867248828.1250, style loss=2382308250000000.0000, tv loss=22532028.0000
L-BFGS | iteration: 036, total loss=2247211580653568.0000, content_loss=4892698828.1250, style loss=2247206700000000.0000, tv loss=22773758.0000
L-BFGS | iteration: 037, total loss=2129821802954752.0000, content_loss=4990226562.5000, style loss=2129816850000000.0000, tv loss=22801304.0000
L-BFGS | iteration: 038, total loss=2047345814405120.0000, content_loss=4913311328.1250, style loss=2047340850000000.0000, tv loss=22709372.0000
L-BFGS | iteration: 039, total loss=1978636403998720.0000, content_loss=4913617968.7500, style loss=1978631400000000.0000, tv loss=22849806.0000
L-BFGS | iteration: 040, total loss=1867187237158912.0000, content_loss=4945514062.5000, style loss=1867182300000000.0000, tv loss=22970338.0000
L-BFGS | iteration: 041, total loss=1755319713660928.0000, content_loss=4977001953.1250, style loss=1755314700000000.0000, tv loss=23045360.0000
L-BFGS | iteration: 042, total loss=1673422203518976.0000, content_loss=4991073828.1250, style loss=1673417250000000.0000, tv loss=23105868.0000
L-BFGS | iteration: 043, total loss=1562542656716800.0000, content_loss=5011423046.8750, style loss=1562537700000000.0000, tv loss=23248600.0000
L-BFGS | iteration: 044, total loss=1504099962978304.0000, content_loss=5098300781.2500, style loss=1504094850000000.0000, tv loss=23310538.0000
L-BFGS | iteration: 045, total loss=1456628360544256.0000, content_loss=5009168359.3750, style loss=1456623450000000.0000, tv loss=23166366.0000
L-BFGS | iteration: 046, total loss=1422488605032448.0000, content_loss=5029855859.3750, style loss=1422483600000000.0000, tv loss=23286188.0000
L-BFGS | iteration: 047, total loss=1383660490063872.0000, content_loss=5061035546.8750, style loss=1383655350000000.0000, tv loss=23482284.0000
L-BFGS | iteration: 048, total loss=1328804899323904.0000, content_loss=5061655078.1250, style loss=1328799750000000.0000, tv loss=23419060.0000
L-BFGS | iteration: 049, total loss=1272808189460480.0000, content_loss=5080666015.6250, style loss=1272803100000000.0000, tv loss=23547240.0000
L-BFGS | iteration: 050, total loss=1200360546893824.0000, content_loss=5078625390.6250, style loss=1200355425000000.0000, tv loss=23572488.0000
L-BFGS | iteration: 051, total loss=1136191722225664.0000, content_loss=5121111718.7500, style loss=1136186625000000.0000, tv loss=23687356.0000
L-BFGS | iteration: 052, total loss=1090824452440064.0000, content_loss=5082580468.7500, style loss=1090819350000000.0000, tv loss=23653942.0000
L-BFGS | iteration: 053, total loss=1057355315806208.0000, content_loss=5124400000.0000, style loss=1057350225000000.0000, tv loss=23603148.0000
L-BFGS | iteration: 054, total loss=1029673714712576.0000, content_loss=5120416406.2500, style loss=1029668625000000.0000, tv loss=23814478.0000
L-BFGS | iteration: 055, total loss=1006224870998016.0000, content_loss=5130192578.1250, style loss=1006219800000000.0000, tv loss=23810348.0000
L-BFGS | iteration: 056, total loss=962381442187264.0000, content_loss=5120326171.8750, style loss=962376375000000.0000, tv loss=23818968.0000
L-BFGS | iteration: 057, total loss=913631751438336.0000, content_loss=5146437500.0000, style loss=913626600000000.0000, tv loss=23996804.0000
L-BFGS | iteration: 058, total loss=878260615380992.0000, content_loss=5147471875.0000, style loss=878255475000000.0000, tv loss=23890904.0000
L-BFGS | iteration: 059, total loss=849863700905984.0000, content_loss=5156526562.5000, style loss=849858525000000.0000, tv loss=23978552.0000
L-BFGS | iteration: 060, total loss=840370346786816.0000, content_loss=5150307031.2500, style loss=840365175000000.0000, tv loss=24196068.0000
L-BFGS | iteration: 061, total loss=800105095495680.0000, content_loss=5186457421.8750, style loss=800099925000000.0000, tv loss=24097312.0000
L-BFGS | iteration: 062, total loss=783193460441088.0000, content_loss=5173185937.5000, style loss=783188325000000.0000, tv loss=24081028.0000
L-BFGS | iteration: 063, total loss=759597044334592.0000, content_loss=5185626562.5000, style loss=759591900000000.0000, tv loss=24279426.0000
L-BFGS | iteration: 064, total loss=742532870832128.0000, content_loss=5142993359.3750, style loss=742527675000000.0000, tv loss=24089468.0000
L-BFGS | iteration: 065, total loss=722269886218240.0000, content_loss=5201784375.0000, style loss=722264625000000.0000, tv loss=24204708.0000
L-BFGS | iteration: 066, total loss=711397243617280.0000, content_loss=5216678125.0000, style loss=711392025000000.0000, tv loss=24339292.0000
L-BFGS | iteration: 067, total loss=693912364646400.0000, content_loss=5212025390.6250, style loss=693907125000000.0000, tv loss=24351778.0000
L-BFGS | iteration: 068, total loss=665547796643840.0000, content_loss=5201891015.6250, style loss=665542575000000.0000, tv loss=24322454.0000
L-BFGS | iteration: 069, total loss=639242933895168.0000, content_loss=5227144531.2500, style loss=639237675000000.0000, tv loss=24415868.0000
L-BFGS | iteration: 070, total loss=619151412428800.0000, content_loss=5218108203.1250, style loss=619146187500000.0000, tv loss=24384296.0000
L-BFGS | iteration: 071, total loss=595631030665216.0000, content_loss=5239112890.6250, style loss=595625775000000.0000, tv loss=24421292.0000
L-BFGS | iteration: 072, total loss=592290217197568.0000, content_loss=5242832421.8750, style loss=592285012500000.0000, tv loss=24645234.0000
L-BFGS | iteration: 073, total loss=586284712067072.0000, content_loss=5242502343.7500, style loss=586279500000000.0000, tv loss=24545500.0000
L-BFGS | iteration: 074, total loss=565870866726912.0000, content_loss=5256626171.8750, style loss=565865662500000.0000, tv loss=24601048.0000
L-BFGS | iteration: 075, total loss=548125672472576.0000, content_loss=5244870312.5000, style loss=548120400000000.0000, tv loss=24623820.0000
L-BFGS | iteration: 076, total loss=533052518301696.0000, content_loss=5271769531.2500, style loss=533047200000000.0000, tv loss=24662748.0000
L-BFGS | iteration: 077, total loss=527199887163392.0000, content_loss=5268626953.1250, style loss=527194575000000.0000, tv loss=24720586.0000
L-BFGS | iteration: 078, total loss=514630598262784.0000, content_loss=5267591015.6250, style loss=514625287500000.0000, tv loss=24717396.0000
L-BFGS | iteration: 079, total loss=500878247198720.0000, content_loss=5286123046.8750, style loss=500872912500000.0000, tv loss=24796174.0000
L-BFGS | iteration: 080, total loss=486474201956352.0000, content_loss=5288088671.8750, style loss=486468862500000.0000, tv loss=24764446.0000
L-BFGS | iteration: 081, total loss=486570872274944.0000, content_loss=5286046093.7500, style loss=486565537500000.0000, tv loss=24927516.0000
L-BFGS | iteration: 082, total loss=477048460017664.0000, content_loss=5289802343.7500, style loss=477043125000000.0000, tv loss=24843268.0000
L-BFGS | iteration: 083, total loss=463677018865664.0000, content_loss=5311579296.8750, style loss=463671675000000.0000, tv loss=24898156.0000
L-BFGS | iteration: 084, total loss=453900431785984.0000, content_loss=5289048437.5000, style loss=453895087500000.0000, tv loss=24862644.0000
L-BFGS | iteration: 085, total loss=446676632338432.0000, content_loss=5297192968.7500, style loss=446671312500000.0000, tv loss=24878268.0000
L-BFGS | iteration: 086, total loss=440890271203328.0000, content_loss=5302151562.5000, style loss=440884950000000.0000, tv loss=25021552.0000
L-BFGS | iteration: 087, total loss=428914929303552.0000, content_loss=5316327343.7500, style loss=428909587500000.0000, tv loss=24974032.0000
L-BFGS | iteration: 088, total loss=421766895763456.0000, content_loss=5318318750.0000, style loss=421761562500000.0000, tv loss=25014216.0000
L-BFGS | iteration: 089, total loss=414229026832384.0000, content_loss=5310626562.5000, style loss=414223687500000.0000, tv loss=25136444.0000
L-BFGS | iteration: 090, total loss=409401349373952.0000, content_loss=5317025781.2500, style loss=409396012500000.0000, tv loss=25085686.0000
L-BFGS | iteration: 091, total loss=398532498423808.0000, content_loss=5328588281.2500, style loss=398527125000000.0000, tv loss=25174364.0000
L-BFGS | iteration: 092, total loss=390922051256320.0000, content_loss=5333311718.7500, style loss=390916687500000.0000, tv loss=25148054.0000
L-BFGS | iteration: 093, total loss=382995521339392.0000, content_loss=5343016406.2500, style loss=382990162500000.0000, tv loss=25102968.0000
L-BFGS | iteration: 094, total loss=376701750083584.0000, content_loss=5338548437.5000, style loss=376696387500000.0000, tv loss=25269636.0000
L-BFGS | iteration: 095, total loss=370471564476416.0000, content_loss=5348678906.2500, style loss=370466212500000.0000, tv loss=25263420.0000
L-BFGS | iteration: 096, total loss=364349860347904.0000, content_loss=5351465234.3750, style loss=364344487500000.0000, tv loss=25240936.0000
L-BFGS | iteration: 097, total loss=360095661686784.0000, content_loss=5344814453.1250, style loss=360090300000000.0000, tv loss=25317782.0000
L-BFGS | iteration: 098, total loss=356122347175936.0000, content_loss=5349652343.7500, style loss=356116987500000.0000, tv loss=25283256.0000
L-BFGS | iteration: 099, total loss=347952581181440.0000, content_loss=5355600390.6250, style loss=347947162500000.0000, tv loss=25283944.0000
L-BFGS | iteration: 100, total loss=340824713854976.0000, content_loss=5356218750.0000, style loss=340819312500000.0000, tv loss=25374062.0000
L-BFGS | iteration: 101, total loss=333613128220672.0000, content_loss=5370398046.8750, style loss=333607725000000.0000, tv loss=25422552.0000
L-BFGS | iteration: 102, total loss=330440288239616.0000, content_loss=5360772265.6250, style loss=330434887500000.0000, tv loss=25462230.0000
L-BFGS | iteration: 103, total loss=326108243296256.0000, content_loss=5359503125.0000, style loss=326102850000000.0000, tv loss=25399694.0000
L-BFGS | iteration: 104, total loss=319798030368768.0000, content_loss=5377952343.7500, style loss=319792612500000.0000, tv loss=25462756.0000
L-BFGS | iteration: 105, total loss=316537848201216.0000, content_loss=5365938281.2500, style loss=316532437500000.0000, tv loss=25500502.0000
