C:\Users\user\AppData\Roaming\Python\Python313\site-packages\torchvision\models\_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
C:\Users\user\AppData\Roaming\Python\Python313\site-packages\torchvision\models\_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=VGG19_Weights.IMAGENET1K_V1`. You can also use `weights=VGG19_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
Using VGG19 in the optimization procedure.
L-BFGS | iteration: 000, total loss=68593805992919040.0000, content_loss=      0.0000, style loss=68593804800000000.0000, tv loss=7292753.0000
L-BFGS | iteration: 001, total loss=68593788813049856.0000, content_loss=     40.8763, style loss=68593790400000000.0000, tv loss=7292753.5000
L-BFGS | iteration: 002, total loss=68593711503638528.0000, content_loss=     56.9295, style loss=68593713600000000.0000, tv loss=7292759.0000
L-BFGS | iteration: 003, total loss=68593282006908928.0000, content_loss=     76.6322, style loss=68593281600000000.0000, tv loss=7292786.0000
L-BFGS | iteration: 004, total loss=68590511753003008.0000, content_loss=    123.4859, style loss=68590512000000000.0000, tv loss=7292935.5000
L-BFGS | iteration: 005, total loss=68576076367921152.0000, content_loss=    790.2435, style loss=68576078400000000.0000, tv loss=7293758.0000
L-BFGS | iteration: 006, total loss=68499604475215872.0000, content_loss=  17214.7065, style loss=68499604800000000.0000, tv loss=7298282.5000
L-BFGS | iteration: 007, total loss=68128897257963520.0000, content_loss= 357030.9401, style loss=68128896000000000.0000, tv loss=7323189.0000
L-BFGS | iteration: 008, total loss=66153817892192256.0000, content_loss=9025244.9036, style loss=66153816000000000.0000, tv loss=7511157.0000
L-BFGS | iteration: 009, total loss=61854409600008192.0000, content_loss=78230737.3047, style loss=61854408000000000.0000, tv loss=8068488.0000
L-BFGS | iteration: 010, total loss=48065941082210304.0000, content_loss=416397021.4844, style loss=48065942400000000.0000, tv loss=10736014.0000
L-BFGS | iteration: 011, total loss=71744641245904896.0000, content_loss=1749082421.8750, style loss=71744640000000000.0000, tv loss=21821110.0000
L-BFGS | iteration: 012, total loss=33612564382351360.0000, content_loss=1003640625.0000, style loss=33612564000000000.0000, tv loss=15661129.0000
L-BFGS | iteration: 013, total loss=27509007832842240.0000, content_loss=1285006542.9688, style loss=27509006400000000.0000, tv loss=17047016.0000
L-BFGS | iteration: 014, total loss=18810994683805696.0000, content_loss=1493875781.2500, style loss=18810992400000000.0000, tv loss=17284420.0000
L-BFGS | iteration: 015, total loss=14236953297813504.0000, content_loss=1669224218.7500, style loss=14236951200000000.0000, tv loss=17933276.0000
L-BFGS | iteration: 016, total loss=11412301483606016.0000, content_loss=1640636328.1250, style loss=11412298800000000.0000, tv loss=17486940.0000
L-BFGS | iteration: 017, total loss=9752387891757056.0000, content_loss=1939272656.2500, style loss=9752385600000000.0000, tv loss=18430370.0000
L-BFGS | iteration: 018, total loss=8431498617159680.0000, content_loss=1823045117.1875, style loss=8431497000000000.0000, tv loss=17977466.0000
L-BFGS | iteration: 019, total loss=7407228373958656.0000, content_loss=1815897851.5625, style loss=7407226800000000.0000, tv loss=17748568.0000
L-BFGS | iteration: 020, total loss=6277102756167680.0000, content_loss=1847998437.5000, style loss=6277101000000000.0000, tv loss=17862512.0000
L-BFGS | iteration: 021, total loss=5529062797737984.0000, content_loss=1953747851.5625, style loss=5529060600000000.0000, tv loss=18186408.0000
L-BFGS | iteration: 022, total loss=4998680507580416.0000, content_loss=1909139062.5000, style loss=4998678300000000.0000, tv loss=18093702.0000
L-BFGS | iteration: 023, total loss=4492078109163520.0000, content_loss=1960552539.0625, style loss=4492076100000000.0000, tv loss=18172832.0000
L-BFGS | iteration: 024, total loss=4038282333650944.0000, content_loss=1987924804.6875, style loss=4038280500000000.0000, tv loss=18414604.0000
L-BFGS | iteration: 025, total loss=3658688023756800.0000, content_loss=2022458789.0625, style loss=3658686000000000.0000, tv loss=18532384.0000
L-BFGS | iteration: 026, total loss=3339636915044352.0000, content_loss=2011977929.6875, style loss=3339635100000000.0000, tv loss=18686608.0000
L-BFGS | iteration: 027, total loss=3077943215521792.0000, content_loss=2082240039.0625, style loss=3077941200000000.0000, tv loss=18765792.0000
L-BFGS | iteration: 028, total loss=2953727124176896.0000, content_loss=1987917773.4375, style loss=2953725300000000.0000, tv loss=18768948.0000
L-BFGS | iteration: 029, total loss=2787501152403456.0000, content_loss=2042378906.2500, style loss=2787498900000000.0000, tv loss=18792280.0000
L-BFGS | iteration: 030, total loss=2670940303392768.0000, content_loss=2076468750.0000, style loss=2670938100000000.0000, tv loss=18770658.0000
L-BFGS | iteration: 031, total loss=2529274296795136.0000, content_loss=2084283593.7500, style loss=2529272100000000.0000, tv loss=18858760.0000
L-BFGS | iteration: 032, total loss=2382490568228864.0000, content_loss=2091272070.3125, style loss=2382488400000000.0000, tv loss=18997400.0000
L-BFGS | iteration: 033, total loss=2261582407008256.0000, content_loss=2155736914.0625, style loss=2261580300000000.0000, tv loss=19049212.0000
L-BFGS | iteration: 034, total loss=2314334537515008.0000, content_loss=2034687695.3125, style loss=2314332300000000.0000, tv loss=18967220.0000
L-BFGS | iteration: 035, total loss=2216950583263232.0000, content_loss=2106694140.6250, style loss=2216948400000000.0000, tv loss=19001756.0000
L-BFGS | iteration: 036, total loss=2167784616230912.0000, content_loss=2105755859.3750, style loss=2167782450000000.0000, tv loss=18987444.0000
L-BFGS | iteration: 037, total loss=2075009564540928.0000, content_loss=2108508984.3750, style loss=2075007450000000.0000, tv loss=19075380.0000
L-BFGS | iteration: 038, total loss=1981954534670336.0000, content_loss=2143630273.4375, style loss=1981952400000000.0000, tv loss=19113848.0000
L-BFGS | iteration: 039, total loss=1917087375163392.0000, content_loss=2148868554.6875, style loss=1917085200000000.0000, tv loss=19153306.0000
L-BFGS | iteration: 040, total loss=1831343721807872.0000, content_loss=2137977539.0625, style loss=1831341600000000.0000, tv loss=19205168.0000
L-BFGS | iteration: 041, total loss=1782907362344960.0000, content_loss=2204133789.0625, style loss=1782905250000000.0000, tv loss=19348308.0000
L-BFGS | iteration: 042, total loss=1751630336753664.0000, content_loss=2147478906.2500, style loss=1751628150000000.0000, tv loss=19111762.0000
L-BFGS | iteration: 043, total loss=1717588425965568.0000, content_loss=2166992968.7500, style loss=1717586250000000.0000, tv loss=19125148.0000
L-BFGS | iteration: 044, total loss=1679530586537984.0000, content_loss=2167952539.0625, style loss=1679528400000000.0000, tv loss=19350124.0000
L-BFGS | iteration: 045, total loss=1624752439427072.0000, content_loss=2178316992.1875, style loss=1624750350000000.0000, tv loss=19353884.0000
L-BFGS | iteration: 046, total loss=1565836896632832.0000, content_loss=2188733789.0625, style loss=1565834700000000.0000, tv loss=19423674.0000
L-BFGS | iteration: 047, total loss=1526893220200448.0000, content_loss=2186601953.1250, style loss=1526891100000000.0000, tv loss=19371072.0000
L-BFGS | iteration: 048, total loss=1470189182910464.0000, content_loss=2196010156.2500, style loss=1470187050000000.0000, tv loss=19432792.0000
L-BFGS | iteration: 049, total loss=1421167231500288.0000, content_loss=2222633789.0625, style loss=1421164950000000.0000, tv loss=19475604.0000
L-BFGS | iteration: 050, total loss=1440867306962944.0000, content_loss=2153903710.9375, style loss=1440865200000000.0000, tv loss=19507610.0000
L-BFGS | iteration: 051, total loss=1405622805331968.0000, content_loss=2196297656.2500, style loss=1405620600000000.0000, tv loss=19481890.0000
L-BFGS | iteration: 052, total loss=1380737630601216.0000, content_loss=2202144531.2500, style loss=1380735450000000.0000, tv loss=19455828.0000
L-BFGS | iteration: 053, total loss=1345392197238784.0000, content_loss=2208262304.6875, style loss=1345390050000000.0000, tv loss=19562972.0000
L-BFGS | iteration: 054, total loss=1304589336838144.0000, content_loss=2214787109.3750, style loss=1304587050000000.0000, tv loss=19594968.0000
L-BFGS | iteration: 055, total loss=1263342752628736.0000, content_loss=2227294726.5625, style loss=1263340500000000.0000, tv loss=19666996.0000
L-BFGS | iteration: 056, total loss=1229592631181312.0000, content_loss=2216782617.1875, style loss=1229590350000000.0000, tv loss=19645180.0000
L-BFGS | iteration: 057, total loss=1200628042825728.0000, content_loss=2249411132.8125, style loss=1200625725000000.0000, tv loss=19735158.0000
L-BFGS | iteration: 058, total loss=1188692328710144.0000, content_loss=2218466796.8750, style loss=1188690000000000.0000, tv loss=19783304.0000
L-BFGS | iteration: 059, total loss=1166653509337088.0000, content_loss=2225115234.3750, style loss=1166651175000000.0000, tv loss=19686772.0000
L-BFGS | iteration: 060, total loss=1139853450280960.0000, content_loss=2239529296.8750, style loss=1139851200000000.0000, tv loss=19833664.0000
L-BFGS | iteration: 061, total loss=1114925460094976.0000, content_loss=2237811718.7500, style loss=1114923225000000.0000, tv loss=19826788.0000
L-BFGS | iteration: 062, total loss=1087416127455232.0000, content_loss=2248987890.6250, style loss=1087413825000000.0000, tv loss=19929104.0000
L-BFGS | iteration: 063, total loss=1067266422603776.0000, content_loss=2239090429.6875, style loss=1067264175000000.0000, tv loss=19941444.0000
L-BFGS | iteration: 064, total loss=1041842296586240.0000, content_loss=2251920507.8125, style loss=1041840000000000.0000, tv loss=19923340.0000
L-BFGS | iteration: 065, total loss=1026858363650048.0000, content_loss=2232925000.0000, style loss=1026856125000000.0000, tv loss=20109396.0000
L-BFGS | iteration: 066, total loss=1006545181605888.0000, content_loss=2263170898.4375, style loss=1006542900000000.0000, tv loss=20066892.0000
L-BFGS | iteration: 067, total loss=994036424900608.0000, content_loss=2251525390.6250, style loss=994034175000000.0000, tv loss=20056174.0000
L-BFGS | iteration: 068, total loss=981277150806016.0000, content_loss=2259314843.7500, style loss=981274875000000.0000, tv loss=20092150.0000
L-BFGS | iteration: 069, total loss=959437443432448.0000, content_loss=2252236132.8125, style loss=959435175000000.0000, tv loss=20165134.0000
L-BFGS | iteration: 070, total loss=936770954854400.0000, content_loss=2263803125.0000, style loss=936768675000000.0000, tv loss=20246316.0000
L-BFGS | iteration: 071, total loss=919952198467584.0000, content_loss=2250065625.0000, style loss=919949925000000.0000, tv loss=20233028.0000
L-BFGS | iteration: 072, total loss=902541676118016.0000, content_loss=2266869726.5625, style loss=902539425000000.0000, tv loss=20283084.0000
L-BFGS | iteration: 073, total loss=892061284827136.0000, content_loss=2258198046.8750, style loss=892059000000000.0000, tv loss=20368204.0000
L-BFGS | iteration: 074, total loss=874575399223296.0000, content_loss=2269689843.7500, style loss=874573125000000.0000, tv loss=20375516.0000
L-BFGS | iteration: 075, total loss=857220107468800.0000, content_loss=2269422656.2500, style loss=857217825000000.0000, tv loss=20467380.0000
L-BFGS | iteration: 076, total loss=841099618811904.0000, content_loss=2262932812.5000, style loss=841097325000000.0000, tv loss=20391540.0000
L-BFGS | iteration: 077, total loss=825435604647936.0000, content_loss=2277102343.7500, style loss=825433350000000.0000, tv loss=20558210.0000
L-BFGS | iteration: 078, total loss=813874425102336.0000, content_loss=2264967578.1250, style loss=813872175000000.0000, tv loss=20564466.0000
L-BFGS | iteration: 079, total loss=800662904373248.0000, content_loss=2273402734.3750, style loss=800660625000000.0000, tv loss=20511348.0000
L-BFGS | iteration: 080, total loss=801027641049088.0000, content_loss=2252788671.8750, style loss=801025350000000.0000, tv loss=20748650.0000
L-BFGS | iteration: 081, total loss=792102631899136.0000, content_loss=2265032812.5000, style loss=792100350000000.0000, tv loss=20628442.0000
L-BFGS | iteration: 082, total loss=780068267753472.0000, content_loss=2281076757.8125, style loss=780066000000000.0000, tv loss=20730508.0000
L-BFGS | iteration: 083, total loss=767775802916864.0000, content_loss=2279906250.0000, style loss=767773500000000.0000, tv loss=20707508.0000
L-BFGS | iteration: 084, total loss=751906368520192.0000, content_loss=2277472656.2500, style loss=751904100000000.0000, tv loss=20728396.0000
L-BFGS | iteration: 085, total loss=736613734809600.0000, content_loss=2282074414.0625, style loss=736611450000000.0000, tv loss=20796870.0000
L-BFGS | iteration: 086, total loss=722749379051520.0000, content_loss=2277361132.8125, style loss=722747100000000.0000, tv loss=20867764.0000
L-BFGS | iteration: 087, total loss=710780580265984.0000, content_loss=2292313085.9375, style loss=710778300000000.0000, tv loss=20875788.0000
L-BFGS | iteration: 088, total loss=708122935033856.0000, content_loss=2267310937.5000, style loss=708120675000000.0000, tv loss=21007820.0000
L-BFGS | iteration: 089, total loss=696504377409536.0000, content_loss=2283910937.5000, style loss=696502125000000.0000, tv loss=20978840.0000
L-BFGS | iteration: 090, total loss=689146293125120.0000, content_loss=2287300781.2500, style loss=689144025000000.0000, tv loss=20969672.0000
L-BFGS | iteration: 091, total loss=678443301732352.0000, content_loss=2276485742.1875, style loss=678441000000000.0000, tv loss=21083768.0000
L-BFGS | iteration: 092, total loss=667154181521408.0000, content_loss=2296761328.1250, style loss=667151925000000.0000, tv loss=21083174.0000
L-BFGS | iteration: 093, total loss=660370683330560.0000, content_loss=2288696289.0625, style loss=660368400000000.0000, tv loss=21104520.0000
L-BFGS | iteration: 094, total loss=650760492679168.0000, content_loss=2281396679.6875, style loss=650758200000000.0000, tv loss=21168864.0000
L-BFGS | iteration: 095, total loss=640542094393344.0000, content_loss=2288972460.9375, style loss=640539825000000.0000, tv loss=21181414.0000
L-BFGS | iteration: 096, total loss=630864996204544.0000, content_loss=2291436132.8125, style loss=630862725000000.0000, tv loss=21261204.0000
L-BFGS | iteration: 097, total loss=619163424915456.0000, content_loss=2278523046.8750, style loss=619161112500000.0000, tv loss=21288224.0000
L-BFGS | iteration: 098, total loss=610643753304064.0000, content_loss=2306627343.7500, style loss=610641487500000.0000, tv loss=21381444.0000
L-BFGS | iteration: 099, total loss=605783326720000.0000, content_loss=2295294335.9375, style loss=605781075000000.0000, tv loss=21404856.0000
L-BFGS | iteration: 100, total loss=599931769323520.0000, content_loss=2285719726.5625, style loss=599929462500000.0000, tv loss=21352756.0000
L-BFGS | iteration: 101, total loss=593302017540096.0000, content_loss=2286422070.3125, style loss=593299762500000.0000, tv loss=21410124.0000
L-BFGS | iteration: 102, total loss=582188252790784.0000, content_loss=2290308007.8125, style loss=582185962500000.0000, tv loss=21476766.0000
