C:\Users\user\AppData\Roaming\Python\Python313\site-packages\torchvision\models\_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
C:\Users\user\AppData\Roaming\Python\Python313\site-packages\torchvision\models\_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=VGG19_Weights.IMAGENET1K_V1`. You can also use `weights=VGG19_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
Using VGG19 in the optimization procedure.
L-BFGS | iteration: 000, total loss=38360229821284352.0000, content_loss=      0.0000, style loss=38360229600000000.0000, tv loss=7292753.0000
L-BFGS | iteration: 001, total loss=38360247001153536.0000, content_loss=     46.1866, style loss=38360248800000000.0000, tv loss=7292753.0000
L-BFGS | iteration: 002, total loss=38360238411218944.0000, content_loss=     38.7162, style loss=38360236800000000.0000, tv loss=7292753.0000
L-BFGS | iteration: 003, total loss=38360234116251648.0000, content_loss=     27.8677, style loss=38360234400000000.0000, tv loss=7292753.0000
L-BFGS | iteration: 004, total loss=38360225526317056.0000, content_loss=     21.5503, style loss=38360224800000000.0000, tv loss=7292753.0000
L-BFGS | iteration: 005, total loss=38360234116251648.0000, content_loss=     25.3571, style loss=38360234400000000.0000, tv loss=7292753.0000
L-BFGS | iteration: 006, total loss=38360221231349760.0000, content_loss=     22.5990, style loss=38360222400000000.0000, tv loss=7292753.0000
L-BFGS | iteration: 007, total loss=38360229821284352.0000, content_loss=     25.2519, style loss=38360229600000000.0000, tv loss=7292753.0000
L-BFGS | iteration: 008, total loss=38360204051480576.0000, content_loss=     24.3518, style loss=38360205600000000.0000, tv loss=7292753.0000
L-BFGS | iteration: 009, total loss=38360225526317056.0000, content_loss=     24.7998, style loss=38360224800000000.0000, tv loss=7292753.0000
L-BFGS | iteration: 010, total loss=38360204051480576.0000, content_loss=     24.3343, style loss=38360205600000000.0000, tv loss=7292753.0000
L-BFGS | iteration: 011, total loss=38360204051480576.0000, content_loss=     24.4009, style loss=38360205600000000.0000, tv loss=7292753.0000
L-BFGS | iteration: 012, total loss=38360204051480576.0000, content_loss=     24.2738, style loss=38360203200000000.0000, tv loss=7292753.0000
L-BFGS | iteration: 013, total loss=38360204051480576.0000, content_loss=     24.2828, style loss=38360205600000000.0000, tv loss=7292753.0000
L-BFGS | iteration: 014, total loss=38360204051480576.0000, content_loss=     24.2828, style loss=38360205600000000.0000, tv loss=7292753.0000
L-BFGS | iteration: 015, total loss=38360204051480576.0000, content_loss=     24.2828, style loss=38360205600000000.0000, tv loss=7292753.0000
L-BFGS | iteration: 016, total loss=38360204051480576.0000, content_loss=     24.2828, style loss=38360205600000000.0000, tv loss=7292753.0000
L-BFGS | iteration: 017, total loss=38360204051480576.0000, content_loss=     24.2828, style loss=38360205600000000.0000, tv loss=7292753.0000
L-BFGS | iteration: 018, total loss=38360204051480576.0000, content_loss=     24.3518, style loss=38360205600000000.0000, tv loss=7292753.0000
L-BFGS | iteration: 019, total loss=38359688655405056.0000, content_loss=     89.7590, style loss=38359687200000000.0000, tv loss=7292789.0000
L-BFGS | iteration: 020, total loss=38357141739798528.0000, content_loss=    242.6672, style loss=38357143200000000.0000, tv loss=7292949.0000
L-BFGS | iteration: 021, total loss=38348646294487040.0000, content_loss=   1837.0606, style loss=38348647200000000.0000, tv loss=7293488.0000
L-BFGS | iteration: 022, total loss=38303244195201024.0000, content_loss=  40345.7522, style loss=38303244000000000.0000, tv loss=7296420.0000
L-BFGS | iteration: 023, total loss=38058912095666176.0000, content_loss=1081678.2951, style loss=38058912000000000.0000, tv loss=7312946.0000
L-BFGS | iteration: 024, total loss=36992209723064320.0000, content_loss=20298112.4878, style loss=36992210400000000.0000, tv loss=7409261.0000
L-BFGS | iteration: 025, total loss=33809971816693760.0000, content_loss=200384033.2031, style loss=33809971200000000.0000, tv loss=8031307.5000
L-BFGS | iteration: 026, total loss=29607131569192960.0000, content_loss=631008691.4062, style loss=29607132000000000.0000, tv loss=9381290.0000
L-BFGS | iteration: 027, total loss=26054203625439232.0000, content_loss=1381447656.2500, style loss=26054200800000000.0000, tv loss=11755804.0000
L-BFGS | iteration: 028, total loss=23102472318877696.0000, content_loss=1406597070.3125, style loss=23102469600000000.0000, tv loss=12505676.0000
L-BFGS | iteration: 029, total loss=19970257896603648.0000, content_loss=1468745214.8438, style loss=19970256000000000.0000, tv loss=12610165.0000
L-BFGS | iteration: 030, total loss=17473124182261760.0000, content_loss=1733514843.7500, style loss=17473122000000000.0000, tv loss=13269224.0000
L-BFGS | iteration: 031, total loss=15578170652622848.0000, content_loss=1864673632.8125, style loss=15578168400000000.0000, tv loss=13946653.0000
L-BFGS | iteration: 032, total loss=13937934453440512.0000, content_loss=1870719335.9375, style loss=13937932800000000.0000, tv loss=14465977.0000
L-BFGS | iteration: 033, total loss=12520170043998208.0000, content_loss=1997137695.3125, style loss=12520167600000000.0000, tv loss=15044216.0000
L-BFGS | iteration: 034, total loss=11333468432629760.0000, content_loss=1928916015.6250, style loss=11333466000000000.0000, tv loss=15296029.0000
L-BFGS | iteration: 035, total loss=10402534271221760.0000, content_loss=2105559570.3125, style loss=10402532400000000.0000, tv loss=15906757.0000
L-BFGS | iteration: 036, total loss=9617859852369920.0000, content_loss=1946138281.2500, style loss=9617857800000000.0000, tv loss=15970634.0000
L-BFGS | iteration: 037, total loss=8885315062202368.0000, content_loss=2084513085.9375, style loss=8885313000000000.0000, tv loss=16382376.0000
L-BFGS | iteration: 038, total loss=8278755084599296.0000, content_loss=2069454296.8750, style loss=8278753200000000.0000, tv loss=16570044.0000
L-BFGS | iteration: 039, total loss=7711499963334656.0000, content_loss=2098219140.6250, style loss=7711497600000000.0000, tv loss=16980856.0000
L-BFGS | iteration: 040, total loss=7208770283241472.0000, content_loss=2127138476.5625, style loss=7208768400000000.0000, tv loss=17328288.0000
L-BFGS | iteration: 041, total loss=6745444780605440.0000, content_loss=2141745898.4375, style loss=6745442400000000.0000, tv loss=17541790.0000
L-BFGS | iteration: 042, total loss=6335165345300480.0000, content_loss=2172169140.6250, style loss=6335163000000000.0000, tv loss=17795280.0000
L-BFGS | iteration: 043, total loss=5965703131693056.0000, content_loss=2175878515.6250, style loss=5965701000000000.0000, tv loss=18013828.0000
L-BFGS | iteration: 044, total loss=5628670605524992.0000, content_loss=2194139062.5000, style loss=5628668400000000.0000, tv loss=18277812.0000
L-BFGS | iteration: 045, total loss=5324734560468992.0000, content_loss=2200256640.6250, style loss=5324732400000000.0000, tv loss=18467148.0000
L-BFGS | iteration: 046, total loss=5047960425463808.0000, content_loss=2217571093.7500, style loss=5047958400000000.0000, tv loss=18654164.0000
L-BFGS | iteration: 047, total loss=4801635461103616.0000, content_loss=2222152343.7500, style loss=4801633500000000.0000, tv loss=18825806.0000
L-BFGS | iteration: 048, total loss=4576070221168640.0000, content_loss=2239794140.6250, style loss=4576068000000000.0000, tv loss=19013432.0000
L-BFGS | iteration: 049, total loss=4370705017733120.0000, content_loss=2240992578.1250, style loss=4370703000000000.0000, tv loss=19126332.0000
L-BFGS | iteration: 050, total loss=4179613869670400.0000, content_loss=2275297265.6250, style loss=4179611700000000.0000, tv loss=19329648.0000
L-BFGS | iteration: 051, total loss=4009933670449152.0000, content_loss=2229920507.8125, style loss=4009931400000000.0000, tv loss=19325206.0000
L-BFGS | iteration: 052, total loss=3865841812635648.0000, content_loss=2323567382.8125, style loss=3865839300000000.0000, tv loss=19657760.0000
L-BFGS | iteration: 053, total loss=3740925104750592.0000, content_loss=2237177343.7500, style loss=3740922900000000.0000, tv loss=19480552.0000
L-BFGS | iteration: 054, total loss=3605466131202048.0000, content_loss=2275565429.6875, style loss=3605463900000000.0000, tv loss=19671592.0000
L-BFGS | iteration: 055, total loss=3484067001532416.0000, content_loss=2301664648.4375, style loss=3484064700000000.0000, tv loss=19797906.0000
L-BFGS | iteration: 056, total loss=3366148942856192.0000, content_loss=2293773437.5000, style loss=3366146400000000.0000, tv loss=19925972.0000
L-BFGS | iteration: 057, total loss=3251228234481664.0000, content_loss=2326194726.5625, style loss=3251225700000000.0000, tv loss=20057920.0000
L-BFGS | iteration: 058, total loss=3141441354203136.0000, content_loss=2318017187.5000, style loss=3141438900000000.0000, tv loss=20102784.0000
L-BFGS | iteration: 059, total loss=3037305577144320.0000, content_loss=2334279492.1875, style loss=3037303200000000.0000, tv loss=20238072.0000
L-BFGS | iteration: 060, total loss=2941656923897856.0000, content_loss=2325275781.2500, style loss=2941654500000000.0000, tv loss=20273000.0000
L-BFGS | iteration: 061, total loss=2850100032307200.0000, content_loss=2347239062.5000, style loss=2850097500000000.0000, tv loss=20426952.0000
L-BFGS | iteration: 062, total loss=2760460306743296.0000, content_loss=2332725781.2500, style loss=2760457800000000.0000, tv loss=20402116.0000
L-BFGS | iteration: 063, total loss=2683046205587456.0000, content_loss=2369348437.5000, style loss=2683043700000000.0000, tv loss=20686016.0000
L-BFGS | iteration: 064, total loss=2608138754719744.0000, content_loss=2343349609.3750, style loss=2608136400000000.0000, tv loss=20525996.0000
L-BFGS | iteration: 065, total loss=2531676257255424.0000, content_loss=2376456835.9375, style loss=2531673900000000.0000, tv loss=20772044.0000
L-BFGS | iteration: 066, total loss=2461747210354688.0000, content_loss=2366900976.5625, style loss=2461744800000000.0000, tv loss=20761822.0000
L-BFGS | iteration: 067, total loss=2395247157968896.0000, content_loss=2379810351.5625, style loss=2395244700000000.0000, tv loss=20889380.0000
L-BFGS | iteration: 068, total loss=2330807884578816.0000, content_loss=2386247460.9375, style loss=2330805600000000.0000, tv loss=20938648.0000
L-BFGS | iteration: 069, total loss=2268349664854016.0000, content_loss=2387161914.0625, style loss=2268347250000000.0000, tv loss=21061100.0000
L-BFGS | iteration: 070, total loss=2208284815654912.0000, content_loss=2390407226.5625, style loss=2208282450000000.0000, tv loss=21081868.0000
L-BFGS | iteration: 071, total loss=2153996294815744.0000, content_loss=2396352929.6875, style loss=2153993850000000.0000, tv loss=21217420.0000
L-BFGS | iteration: 072, total loss=2100124788457472.0000, content_loss=2399135546.8750, style loss=2100122400000000.0000, tv loss=21189488.0000
L-BFGS | iteration: 073, total loss=2050228676984832.0000, content_loss=2410438867.1875, style loss=2050226250000000.0000, tv loss=21403200.0000
L-BFGS | iteration: 074, total loss=1999903337218048.0000, content_loss=2406848828.1250, style loss=1999900950000000.0000, tv loss=21325732.0000
L-BFGS | iteration: 075, total loss=1951759706619904.0000, content_loss=2419713867.1875, style loss=1951757250000000.0000, tv loss=21546392.0000
L-BFGS | iteration: 076, total loss=1902862711914496.0000, content_loss=2412533007.8125, style loss=1902860250000000.0000, tv loss=21505768.0000
L-BFGS | iteration: 077, total loss=1857670529155072.0000, content_loss=2426593554.6875, style loss=1857668100000000.0000, tv loss=21619604.0000
L-BFGS | iteration: 078, total loss=1813524439367680.0000, content_loss=2418833203.1250, style loss=1813522050000000.0000, tv loss=21666680.0000
L-BFGS | iteration: 079, total loss=1771312695476224.0000, content_loss=2433775976.5625, style loss=1771310250000000.0000, tv loss=21751492.0000
L-BFGS | iteration: 080, total loss=1730200194777088.0000, content_loss=2424645312.5000, style loss=1730197800000000.0000, tv loss=21840124.0000
L-BFGS | iteration: 081, total loss=1691090356797440.0000, content_loss=2442694726.5625, style loss=1691088000000000.0000, tv loss=21887504.0000
L-BFGS | iteration: 082, total loss=1654457506988032.0000, content_loss=2427683398.4375, style loss=1654455150000000.0000, tv loss=21979216.0000
L-BFGS | iteration: 083, total loss=1616990225563648.0000, content_loss=2445939453.1250, style loss=1616987850000000.0000, tv loss=22001658.0000
L-BFGS | iteration: 084, total loss=1582605925351424.0000, content_loss=2443257812.5000, style loss=1582603500000000.0000, tv loss=22144696.0000
L-BFGS | iteration: 085, total loss=1547523827171328.0000, content_loss=2448586914.0625, style loss=1547521350000000.0000, tv loss=22104198.0000
L-BFGS | iteration: 086, total loss=1515734224076800.0000, content_loss=2468980664.0625, style loss=1515731850000000.0000, tv loss=22344584.0000
L-BFGS | iteration: 087, total loss=1482961341906944.0000, content_loss=2436106835.9375, style loss=1482958950000000.0000, tv loss=22234920.0000
L-BFGS | iteration: 088, total loss=1453268353941504.0000, content_loss=2475305859.3750, style loss=1453266000000000.0000, tv loss=22378094.0000
L-BFGS | iteration: 089, total loss=1427635318030336.0000, content_loss=2461600390.6250, style loss=1427632950000000.0000, tv loss=22426850.0000
L-BFGS | iteration: 090, total loss=1396772891000832.0000, content_loss=2464203710.9375, style loss=1396770450000000.0000, tv loss=22473836.0000
L-BFGS | iteration: 091, total loss=1367804812984320.0000, content_loss=2476496875.0000, style loss=1367802450000000.0000, tv loss=22566832.0000
L-BFGS | iteration: 092, total loss=1338035589349376.0000, content_loss=2476797070.3125, style loss=1338033150000000.0000, tv loss=22625784.0000
L-BFGS | iteration: 093, total loss=1307616215040000.0000, content_loss=2483853320.3125, style loss=1307613600000000.0000, tv loss=22703026.0000
L-BFGS | iteration: 094, total loss=1279449282641920.0000, content_loss=2484720507.8125, style loss=1279446750000000.0000, tv loss=22775194.0000
L-BFGS | iteration: 095, total loss=1250650587398144.0000, content_loss=2496815429.6875, style loss=1250648025000000.0000, tv loss=22857044.0000
L-BFGS | iteration: 096, total loss=1223278760820736.0000, content_loss=2485556445.3125, style loss=1223276175000000.0000, tv loss=22892332.0000
L-BFGS | iteration: 097, total loss=1198717990338560.0000, content_loss=2512116992.1875, style loss=1198715400000000.0000, tv loss=23014150.0000
L-BFGS | iteration: 098, total loss=1176384965705728.0000, content_loss=2490166015.6250, style loss=1176382350000000.0000, tv loss=22950984.0000
L-BFGS | iteration: 099, total loss=1155950048182272.0000, content_loss=2508853515.6250, style loss=1155947550000000.0000, tv loss=23204208.0000
L-BFGS | iteration: 100, total loss=1132397387055104.0000, content_loss=2522591406.2500, style loss=1132394775000000.0000, tv loss=23091348.0000
L-BFGS | iteration: 101, total loss=1110027049893888.0000, content_loss=2496368750.0000, style loss=1110024600000000.0000, tv loss=23221320.0000
L-BFGS | iteration: 102, total loss=1089601661829120.0000, content_loss=2515231054.6875, style loss=1089599175000000.0000, tv loss=23273074.0000
L-BFGS | iteration: 103, total loss=1068828918284288.0000, content_loss=2516036132.8125, style loss=1068826425000000.0000, tv loss=23290376.0000
L-BFGS | iteration: 104, total loss=1046470862045184.0000, content_loss=2524742382.8125, style loss=1046468325000000.0000, tv loss=23393592.0000
L-BFGS | iteration: 105, total loss=1023447756963840.0000, content_loss=2529225195.3125, style loss=1023445200000000.0000, tv loss=23422732.0000
L-BFGS | iteration: 106, total loss=1000474044006400.0000, content_loss=2537126562.5000, style loss=1000471500000000.0000, tv loss=23510860.0000
L-BFGS | iteration: 107, total loss=979134029234176.0000, content_loss=2531947851.5625, style loss=979131450000000.0000, tv loss=23537580.0000
L-BFGS | iteration: 108, total loss=960436157546496.0000, content_loss=2557544531.2500, style loss=960433575000000.0000, tv loss=23662094.0000
L-BFGS | iteration: 109, total loss=943146699587584.0000, content_loss=2532936523.4375, style loss=943144125000000.0000, tv loss=23615282.0000
L-BFGS | iteration: 110, total loss=926572555010048.0000, content_loss=2553799023.4375, style loss=926570025000000.0000, tv loss=23745120.0000
L-BFGS | iteration: 111, total loss=911155635683328.0000, content_loss=2551865820.3125, style loss=911153100000000.0000, tv loss=23717596.0000
L-BFGS | iteration: 112, total loss=897550320140288.0000, content_loss=2549194140.6250, style loss=897547800000000.0000, tv loss=23886300.0000
L-BFGS | iteration: 113, total loss=877548456116224.0000, content_loss=2564368945.3125, style loss=877545900000000.0000, tv loss=23867500.0000
L-BFGS | iteration: 114, total loss=862379705368576.0000, content_loss=2553870898.4375, style loss=862377150000000.0000, tv loss=23883164.0000
L-BFGS | iteration: 115, total loss=846678982656000.0000, content_loss=2564611718.7500, style loss=846676425000000.0000, tv loss=23944728.0000
L-BFGS | iteration: 116, total loss=830665398419456.0000, content_loss=2561388671.8750, style loss=830662875000000.0000, tv loss=24007700.0000
L-BFGS | iteration: 117, total loss=814754490744832.0000, content_loss=2573839257.8125, style loss=814751925000000.0000, tv loss=24024492.0000
L-BFGS | iteration: 118, total loss=799180066914304.0000, content_loss=2562877929.6875, style loss=799177500000000.0000, tv loss=24093368.0000
L-BFGS | iteration: 119, total loss=784457053241344.0000, content_loss=2583412695.3125, style loss=784454475000000.0000, tv loss=24124462.0000
L-BFGS | iteration: 120, total loss=771817568468992.0000, content_loss=2568074414.0625, style loss=771815025000000.0000, tv loss=24171102.0000
L-BFGS | iteration: 121, total loss=758166820225024.0000, content_loss=2581973632.8125, style loss=758164275000000.0000, tv loss=24218552.0000
L-BFGS | iteration: 122, total loss=745176423202816.0000, content_loss=2576055664.0625, style loss=745173900000000.0000, tv loss=24230644.0000
L-BFGS | iteration: 123, total loss=732219446394880.0000, content_loss=2591486718.7500, style loss=732216825000000.0000, tv loss=24346608.0000
L-BFGS | iteration: 124, total loss=720346344849408.0000, content_loss=2580540820.3125, style loss=720343800000000.0000, tv loss=24257644.0000
L-BFGS | iteration: 125, total loss=710174385897472.0000, content_loss=2596614648.4375, style loss=710171775000000.0000, tv loss=24475448.0000
L-BFGS | iteration: 126, total loss=697343036882944.0000, content_loss=2596811132.8125, style loss=697340400000000.0000, tv loss=24422596.0000
L-BFGS | iteration: 127, total loss=687000352980992.0000, content_loss=2587078710.9375, style loss=686997750000000.0000, tv loss=24404284.0000
L-BFGS | iteration: 128, total loss=674934380560384.0000, content_loss=2598545703.1250, style loss=674931750000000.0000, tv loss=24472236.0000
L-BFGS | iteration: 129, total loss=663196771811328.0000, content_loss=2594319335.9375, style loss=663194175000000.0000, tv loss=24508880.0000
L-BFGS | iteration: 130, total loss=651437755334656.0000, content_loss=2611922851.5625, style loss=651435150000000.0000, tv loss=24552716.0000
L-BFGS | iteration: 131, total loss=641642344218624.0000, content_loss=2595460351.5625, style loss=641639700000000.0000, tv loss=24572570.0000
L-BFGS | iteration: 132, total loss=632174491467776.0000, content_loss=2607925976.5625, style loss=632171850000000.0000, tv loss=24583596.0000
L-BFGS | iteration: 133, total loss=623287465934848.0000, content_loss=2608917968.7500, style loss=623284875000000.0000, tv loss=24657932.0000
L-BFGS | iteration: 134, total loss=611989218918400.0000, content_loss=2609179882.8125, style loss=611986575000000.0000, tv loss=24650960.0000
L-BFGS | iteration: 135, total loss=600783246589952.0000, content_loss=2621088867.1875, style loss=600780600000000.0000, tv loss=24746100.0000
L-BFGS | iteration: 136, total loss=591494910050304.0000, content_loss=2605997460.9375, style loss=591492262500000.0000, tv loss=24680216.0000
L-BFGS | iteration: 137, total loss=582314887217152.0000, content_loss=2621916796.8750, style loss=582312262500000.0000, tv loss=24710072.0000
L-BFGS | iteration: 138, total loss=574567101759488.0000, content_loss=2620685156.2500, style loss=574564462500000.0000, tv loss=24809436.0000
L-BFGS | iteration: 139, total loss=564379103789056.0000, content_loss=2623638671.8750, style loss=564376500000000.0000, tv loss=24800224.0000
L-BFGS | iteration: 140, total loss=554721366507520.0000, content_loss=2633651171.8750, style loss=554718712500000.0000, tv loss=24880964.0000
L-BFGS | iteration: 141, total loss=545518526660608.0000, content_loss=2626326171.8750, style loss=545515875000000.0000, tv loss=24851196.0000
L-BFGS | iteration: 142, total loss=538409684697088.0000, content_loss=2636508007.8125, style loss=538407000000000.0000, tv loss=24870932.0000
L-BFGS | iteration: 143, total loss=530860575031296.0000, content_loss=2634046093.7500, style loss=530857875000000.0000, tv loss=24894664.0000
L-BFGS | iteration: 144, total loss=522128268984320.0000, content_loss=2637148828.1250, style loss=522125587500000.0000, tv loss=24930952.0000
L-BFGS | iteration: 145, total loss=513578633265152.0000, content_loss=2638657812.5000, style loss=513575962500000.0000, tv loss=24948802.0000
L-BFGS | iteration: 146, total loss=506406776078336.0000, content_loss=2645881640.6250, style loss=506404087500000.0000, tv loss=25020148.0000
L-BFGS | iteration: 147, total loss=497879789600768.0000, content_loss=2649771093.7500, style loss=497877112500000.0000, tv loss=24992734.0000
L-BFGS | iteration: 148, total loss=492647915454464.0000, content_loss=2635748437.5000, style loss=492645225000000.0000, tv loss=25028556.0000
L-BFGS | iteration: 149, total loss=485036360990720.0000, content_loss=2645082421.8750, style loss=485033662500000.0000, tv loss=25034772.0000
L-BFGS | iteration: 150, total loss=477463125688320.0000, content_loss=2653527929.6875, style loss=477460425000000.0000, tv loss=25044776.0000
L-BFGS | iteration: 151, total loss=469919619612672.0000, content_loss=2650431835.9375, style loss=469916925000000.0000, tv loss=25073224.0000
L-BFGS | iteration: 152, total loss=462251358158848.0000, content_loss=2659958984.3750, style loss=462248662500000.0000, tv loss=25105616.0000
L-BFGS | iteration: 153, total loss=455471785836544.0000, content_loss=2650927929.6875, style loss=455469112500000.0000, tv loss=25095502.0000
L-BFGS | iteration: 154, total loss=449002927554560.0000, content_loss=2663929492.1875, style loss=449000250000000.0000, tv loss=25169408.0000
L-BFGS | iteration: 155, total loss=443087784509440.0000, content_loss=2659250781.2500, style loss=443085112500000.0000, tv loss=25111872.0000
L-BFGS | iteration: 156, total loss=437509662179328.0000, content_loss=2663637304.6875, style loss=437506987500000.0000, tv loss=25208392.0000
L-BFGS | iteration: 157, total loss=430001690247168.0000, content_loss=2676983789.0625, style loss=429998962500000.0000, tv loss=25238640.0000
L-BFGS | iteration: 158, total loss=425346985885696.0000, content_loss=2651894921.8750, style loss=425344312500000.0000, tv loss=25157296.0000
L-BFGS | iteration: 159, total loss=420057230344192.0000, content_loss=2663597656.2500, style loss=420054562500000.0000, tv loss=25159614.0000
L-BFGS | iteration: 160, total loss=415558252101632.0000, content_loss=2675594531.2500, style loss=415555537500000.0000, tv loss=25239002.0000
L-BFGS | iteration: 161, total loss=409521105141760.0000, content_loss=2674573828.1250, style loss=409518375000000.0000, tv loss=25294586.0000
L-BFGS | iteration: 162, total loss=402569901899776.0000, content_loss=2680637304.6875, style loss=402567187500000.0000, tv loss=25284490.0000
L-BFGS | iteration: 163, total loss=396189962862592.0000, content_loss=2671607226.5625, style loss=396187237500000.0000, tv loss=25321432.0000
L-BFGS | iteration: 164, total loss=391619446571008.0000, content_loss=2687461718.7500, style loss=391616737500000.0000, tv loss=25296766.0000
L-BFGS | iteration: 165, total loss=387595531976704.0000, content_loss=2686030664.0625, style loss=387592800000000.0000, tv loss=25276080.0000
L-BFGS | iteration: 166, total loss=382835668025344.0000, content_loss=2674691992.1875, style loss=382832962500000.0000, tv loss=25308920.0000
L-BFGS | iteration: 167, total loss=377998729543680.0000, content_loss=2689825781.2500, style loss=377996025000000.0000, tv loss=25306512.0000
L-BFGS | iteration: 168, total loss=374161478254592.0000, content_loss=2689413671.8750, style loss=374158762500000.0000, tv loss=25334192.0000
L-BFGS | iteration: 169, total loss=371493565366272.0000, content_loss=2677633203.1250, style loss=371490862500000.0000, tv loss=25335860.0000
